MarketCap,Date
129209685.0,2018-02-10
99283140.0,2018-02-11
105222975.0,2018-02-12
107723715.0,2018-02-13
101516250.0,2018-02-14
108319365.0,2018-02-15
109479810.0,2018-02-16
110539605.0,2018-02-17
109982070.0,2018-02-18
102084180.0,2018-02-19
99809325.0,2018-02-20
90785640.0,2018-02-21
86291535.0,2018-02-22
86684070.0,2018-02-23
88751520.0,2018-02-24
83738820.0,2018-02-25
82434000.0,2018-02-26
82765320.0,2018-02-27
95863185.0,2018-02-28
84935235.0,2018-03-01
91548270.0,2018-03-02
89151645.0,2018-03-03
84770565.0,2018-03-04
85257480.0,2018-03-05
83513265.0,2018-03-06
73470540.0,2018-03-07
62426595.0,2018-03-08
53669220.0,2018-03-09
63121575.0,2018-03-10
56104455.0,2018-03-11
64835100.0,2018-03-12
61436925.0,2018-03-13
60392805.0,2018-03-14
53491185.0,2018-03-15
53164320.0,2018-03-16
56347005.0,2018-03-17
51855210.0,2018-03-18
50020245.0,2018-03-19
53207385.0,2018-03-20
55941105.0,2018-03-21
57607275.0,2018-03-22
54861180.0,2018-03-23
52999980.0,2018-03-24
57427095.0,2018-03-25
60244635.0,2018-03-26
55011165.0,2018-03-27
52236195.0,2018-03-28
56138445.0,2018-03-29
49062750.0,2018-03-30
51135150.0,2018-03-31
50494785.0,2018-04-01
47503665.0,2018-04-02
48219930.0,2018-04-03
51872865.0,2018-04-04
45226665.0,2018-04-05
43933065.0,2018-04-06
42691935.0,2018-04-07
48204750.0,2018-04-08
48723345.0,2018-04-09
49352129.3560884,2018-04-10
58146570.11592633,2018-04-11
60727339.72693879,2018-04-12
71784575.76975115,2018-04-13
75571305.00340217,2018-04-14
73215975.65271679,2018-04-15
78745155.75001176,2018-04-16
75611943.50487877,2018-04-17
76490902.41794156,2018-04-18
86659682.3239114,2018-04-19
87586475.86922932,2018-04-20
91025798.51815233,2018-04-21
84293001.80124752,2018-04-22
90779248.20434676,2018-04-23
91946955.11497462,2018-04-24
98372533.3269812,2018-04-25
79174519.97751579,2018-04-26
88542561.230506,2018-04-27
83217152.80445285,2018-04-28
96682038.42287633,2018-04-29
120451350.10370165,2018-04-30
110283776.63869172,2018-05-01
107363143.17608938,2018-05-02
110571455.90285274,2018-05-03
112528595.43354477,2018-05-04
118736334.37066162,2018-05-05
115642636.26391484,2018-05-06
109873983.6402212,2018-05-07
116907782.05597346,2018-05-08
112775152.59223111,2018-05-09
118687084.36386003,2018-05-10
122839948.31325622,2018-05-11
105997105.91699414,2018-05-12
112727250.93465656,2018-05-13
112769708.95337613,2018-05-14
106293333.4323204,2018-05-15
104624530.7785404,2018-05-16
96612542.86112155,2018-05-17
89221293.08131875,2018-05-18
88367239.84022994,2018-05-19
89687127.09016839,2018-05-20
94375518.6309237,2018-05-21
91443084.0872295,2018-05-22
82187963.5769063,2018-05-23
74219946.9167581,2018-05-24
78865568.2040231,2018-05-25
74796264.31853561,2018-05-26
73609745.4438201,2018-05-27
73382401.47749281,2018-05-28
64924661.17814249,2018-05-29
73225660.1021562,2018-05-30
69851786.01890957,2018-05-31
73183096.45054466,2018-06-01
73769204.85013227,2018-06-02
79297780.49823706,2018-06-03
78163212.97124861,2018-06-04
73496178.04700607,2018-06-05
73097927.62178636,2018-06-06
81346579.30240916,2018-06-07
80263959.83310372,2018-06-08
76431178.27012189,2018-06-09
72893340.11475073,2018-06-10
62584473.79889813,2018-06-11
63432949.8269586,2018-06-12
55008363.2346,2018-06-13
51087343.08481037,2018-06-14
56161189.90960851,2018-06-15
52942790.79339646,2018-06-16
52703541.324143164,2018-06-17
52281616.29281729,2018-06-18
54552080.806135595,2018-06-19
54353346.854769304,2018-06-20
52276852.45837242,2018-06-21
51153537.32308421,2018-06-22
42263221.97541991,2018-06-23
41426447.13520451,2018-06-24
40698487.861132525,2018-06-25
