MarketCap,Date
0.0,2023-12-18
0.0,2023-12-19
0.0,2023-12-20
0.0,2023-12-22
0.0,2023-12-23
0.0,2023-12-24
0.0,2023-12-25
0.0,2023-12-26
0.0,2023-12-27
0.0,2023-12-28
0.0,2023-12-29
0.0,2023-12-30
0.0,2023-12-31
0.0,2024-01-01
0.0,2024-01-03
0.0,2024-01-04
0.0,2024-01-11
0.0,2024-01-12
0.0,2024-01-22
0.0,2024-01-23
0.0,2024-01-24
0.0,2024-01-25
0.0,2024-01-26
0.0,2024-01-27
0.0,2024-01-28
0.0,2024-02-01
0.0,2024-02-02
0.0,2024-02-04
0.0,2024-02-05
0.0,2024-02-11
0.0,2024-02-12
0.0,2024-02-13
0.0,2024-02-14
0.0,2024-02-15
0.0,2024-02-16
0.0,2024-02-17
0.0,2024-02-18
0.0,2024-02-19
0.0,2024-02-20
0.0,2024-02-21
0.0,2024-02-28
0.0,2024-02-29
