MarketCap,Date
240940944.2829299,2020-09-03
240940944.2829299,2020-09-04
241062547.84269914,2020-09-05
169349341.09694478,2020-09-06
183863788.01656428,2020-09-07
181561599.72110316,2020-09-08
190283602.1707181,2020-09-09
207293629.49697715,2020-09-10
190604495.1805387,2020-09-11
195989560.5515361,2020-09-12
190683594.1599731,2020-09-13
182109848.65007836,2020-09-14
191524850.31435037,2020-09-15
179119408.31587577,2020-09-16
173072364.0319511,2020-09-17
166281568.92694348,2020-09-18
153506130.42432815,2020-09-19
163445803.5118522,2020-09-20
146994813.69858405,2020-09-21
122100810.33981656,2020-09-22
119222371.50139481,2020-09-23
119548231.47351407,2020-09-24
125495658.54993951,2020-09-25
136856028.7455663,2020-09-26
142629125.4839149,2020-09-27
137356717.65115848,2020-09-28
136398895.61307716,2020-09-29
140588813.2175613,2020-09-30
141915258.18965623,2020-10-01
140981871.8469165,2020-10-02
129009390.92093523,2020-10-03
124997190.1065935,2020-10-04
124060671.659677,2020-10-05
115880300.37377232,2020-10-06
100109906.16142614,2020-10-07
112352119.07120186,2020-10-08
107680476.72387826,2020-10-09
114538189.53988652,2020-10-10
112575444.61455217,2020-10-11
118391878.81883185,2020-10-12
115660138.25523204,2020-10-13
115192282.06667094,2020-10-14
115753729.13796724,2020-10-15
114217134.58038053,2020-10-16
106946756.33032326,2020-10-17
109756982.81979902,2020-10-18
109738274.19369909,2020-10-19
106511944.56643313,2020-10-20
102207101.79541112,2020-10-21
107276732.5620007,2020-10-22
110795733.64903344,2020-10-23
126876801.27078804,2020-10-24
127211134.34555553,2020-10-25
134066712.58222091,2020-10-26
124898608.65525714,2020-10-27
123705757.37618276,2020-10-28
113661312.62124546,2020-10-29
106694348.6940213,2020-10-30
110647600.73361121,2020-10-31
105940574.97814102,2020-11-01
111011759.3172203,2020-11-02
106212451.0909944,2020-11-03
104967746.95220025,2020-11-04
103584638.71230944,2020-11-05
106916737.8238605,2020-11-06
120901728.07522628,2020-11-07
114251613.48229624,2020-11-08
120879445.42388637,2020-11-09
117188526.77149266,2020-11-10
124071215.47900589,2020-11-11
113864570.595688,2020-11-12
108222367.03556128,2020-11-13
112204609.12942632,2020-11-14
108895147.85838698,2020-11-15
109636298.85718654,2020-11-16
111357828.68022117,2020-11-17
113602229.51142608,2020-11-18
108155808.40681013,2020-11-19
109640088.0037109,2020-11-20
110035050.65841793,2020-11-21
118613543.97564214,2020-11-22
115959574.43998095,2020-11-23
130819288.2631868,2020-11-24
130500347.03347331,2020-11-25
139178472.9816813,2020-11-26
131648897.14575817,2020-11-27
127654695.00116116,2020-11-28
127162687.16490246,2020-11-29
128857174.41940704,2020-11-30
132729332.46888322,2020-12-01
137984518.43285707,2020-12-02
171436153.1782438,2020-12-03
191269870.49760273,2020-12-04
182473606.2815032,2020-12-05
205615047.23579133,2020-12-06
203901215.95678332,2020-12-07
195748330.7085982,2020-12-08
185725648.38757372,2020-12-09
208087091.8098429,2020-12-10
205286165.9963129,2020-12-11
221504981.9518045,2020-12-12
245808647.51902884,2020-12-13
251037997.075865,2020-12-14
