MarketCap,Date
0.0,2016-11-18 00:00:00.000
0.0,2016-11-19 00:00:00.000
0.0,2016-11-20 00:00:00.000
0.0,2016-11-21 00:00:00.000
0.0,2016-11-22 00:00:00.000
0.0,2016-11-23 00:00:00.000
0.0,2016-11-24 00:00:00.000
0.0,2016-11-25 00:00:00.000
0.0,2016-11-26 00:00:00.000
0.0,2016-11-27 00:00:00.000
0.0,2016-11-28 00:00:00.000
7228842.0,2016-11-29 00:00:00.000
9280994.0,2016-11-30 00:00:00.000
8766288.0,2016-12-01 00:00:00.000
8777525.0,2016-12-02 00:00:00.000
8604003.0,2016-12-03 00:00:00.000
7910191.0,2016-12-04 00:00:00.000
8779704.0,2016-12-05 00:00:00.000
8247087.0,2016-12-06 00:00:00.000
7546192.0,2016-12-07 00:00:00.000
7294423.0,2016-12-08 00:00:00.000
6560670.0,2016-12-09 00:00:00.000
7705003.0,2016-12-10 00:00:00.000
7469647.0,2016-12-11 00:00:00.000
6222740.0,2016-12-12 00:00:00.000
6877714.0,2016-12-13 00:00:00.000
8842697.0,2016-12-14 00:00:00.000
7697172.0,2016-12-15 00:00:00.000
7883360.195576,2016-12-16 00:00:00.000
7963719.257694,2016-12-17 00:00:00.000
8300137.704188,2016-12-18 00:00:00.000
8070637.6708510015,2016-12-19 00:00:00.000
8071999.688853,2016-12-20 00:00:00.000
8161211.867984,2016-12-21 00:00:00.000
8191176.264028,2016-12-22 00:00:00.000
8163935.903988001,2016-12-23 00:00:00.000
7162171.663517,2016-12-24 00:00:00.000
7803001.133458,2016-12-25 00:00:00.000
7295649.427713,2016-12-26 00:00:00.000
7888127.258583,2016-12-27 00:00:00.000
7262279.986664,2016-12-28 00:00:00.000
7115182.042448001,2016-12-29 00:00:00.000
7002134.548282,2016-12-30 00:00:00.000
6554711.634624999,2016-12-31 00:00:00.000
6719515.812867,2017-01-01 00:00:00.000
6336788.754305001,2017-01-02 00:00:00.000
7332423.913767,2017-01-03 00:00:00.000
8564369.196576,2017-01-04 00:00:00.000
7342639.048782,2017-01-05 00:00:00.000
7747158.395376,2017-01-06 00:00:00.000
8091067.940881,2017-01-07 00:00:00.000
7762821.602399,2017-01-08 00:00:00.000
8525551.683519,2017-01-09 00:00:00.000
9893698.766528,2017-01-10 00:00:00.000
9506885.65396,2017-01-11 00:00:00.000
11231200.444492,2017-01-12 00:00:00.000
11771240.582284998,2017-01-13 00:00:00.000
11233924.480496,2017-01-14 00:00:00.000
11098403.689297,2017-01-15 00:00:00.000
10098682.475829,2017-01-16 00:00:00.000
12392320.791197,2017-01-17 00:00:00.000
12073608.578729,2017-01-18 00:00:00.000
14564020.0,2017-01-19 00:00:00.000
15994920.0,2017-01-20 00:00:00.000
19609480.0,2017-01-21 00:00:00.000
18696000.0,2017-01-22 00:00:00.000
22212980.0,2017-01-23 00:00:00.000
22868980.0,2017-01-24 00:00:00.000
22978040.0,2017-01-25 00:00:00.000
24026000.0,2017-01-26 00:00:00.000
23401980.0,2017-01-27 00:00:00.000
23630760.0,2017-01-28 00:00:00.000
24209680.0,2017-01-29 00:00:00.000
23799680.0,2017-01-30 00:00:00.000
22462260.0,2017-01-31 00:00:00.000
21859560.0,2017-02-01 00:00:00.000
18800140.0,2017-02-02 00:00:00.000
19952240.0,2017-02-03 00:00:00.000
22642660.0,2017-02-04 00:00:00.000
24451580.0,2017-02-05 00:00:00.000
24830420.0,2017-02-06 00:00:00.000
24872240.0,2017-02-07 00:00:00.000
24985400.0,2017-02-08 00:00:00.000
22902600.0,2017-02-09 00:00:00.000
21421680.0,2017-02-10 00:00:00.000
20815700.0,2017-02-11 00:00:00.000
20817340.0,2017-02-12 00:00:00.000
20216280.0,2017-02-13 00:00:00.000
19010060.0,2017-02-14 00:00:00.000
19150280.0,2017-02-15 00:00:00.000
17697240.0,2017-02-16 00:00:00.000
18799320.0,2017-02-17 00:00:00.000
31465040.0,2017-02-18 00:00:00.000
23741460.0,2017-02-19 00:00:00.000
22680380.0,2017-02-20 00:00:00.000
22680380.0,2017-02-21 00:00:00.000
22680380.0,2017-02-22 00:00:00.000
22680380.0,2017-02-23 00:00:00.000
19814480.000000004,2017-02-24 00:00:00.000
19701320.0,2017-02-25 00:00:00.000
19565200.0,2017-02-26 00:00:00.000
18295839.999999993,2017-02-27 00:00:00.000
18410640.0,2017-02-28 00:00:00.000
18566440.0,2017-03-01 00:00:00.000
19126499.999999993,2017-03-02 00:00:00.000
20068680.0,2017-03-03 00:00:00.000
19598000.0,2017-03-04 00:00:00.000
18969880.0,2017-03-05 00:00:00.000
18833760.0,2017-03-06 00:00:00.000
17663620.0,2017-03-07 00:00:00.000
16263060.0,2017-03-08 00:00:00.000
16119560.0,2017-03-09 00:00:00.000
16397540.0,2017-03-10 00:00:00.000
19164220.0,2017-03-11 00:00:00.000
19484020.0,2017-03-12 00:00:00.000
21246200.0,2017-03-13 00:00:00.000
20376180.0,2017-03-14 00:00:00.000
21126480.0,2017-03-15 00:00:00.000
21479900.0,2017-03-16 00:00:00.000
33301840.0,2017-03-17 00:00:00.000
23288000.000000004,2017-03-18 00:00:00.000
29860300.0,2017-03-19 00:00:00.000
46540740.0,2017-03-20 00:00:00.000
41436240.0,2017-03-21 00:00:00.000
38940160.0,2017-03-22 00:00:00.000
39860200.00000001,2017-03-23 00:00:00.000
35780700.0,2017-03-24 00:00:00.000
34602360.0,2017-03-25 00:00:00.000
43477220.0,2017-03-26 00:00:00.000
42492400.0,2017-03-27 00:00:00.000
45696960.0,2017-03-28 00:00:00.000
53469740.0,2017-03-29 00:00:00.000
69021040.0,2017-03-30 00:00:00.000
72185419.99999999,2017-03-31 00:00:00.000
74696259.99999999,2017-04-01 00:00:00.000
