MarketCap,Date
0.0,2021-08-11
0.0,2021-08-12
0.0,2021-08-13
0.0,2021-08-14
0.0,2021-08-15
0.0,2021-08-16
0.0,2021-08-17
0.0,2021-08-18
0.0,2021-08-19
0.0,2021-08-20
0.0,2021-08-21
0.0,2021-08-22
0.0,2021-08-23
0.0,2021-08-24
0.0,2021-08-25
0.0,2021-08-26
0.0,2021-08-27
0.0,2021-08-28
0.0,2021-08-29
0.0,2021-08-30
7468715.380878072,2021-08-31
9654405.293474764,2021-09-01
12974002.809253136,2021-09-02
10023025.156263549,2021-09-03
12374406.853498496,2021-09-04
13849025.39808634,2021-09-05
13508999.529974887,2021-09-06
26303896.03152476,2021-09-07
28178722.09307915,2021-09-08
28905294.41783426,2021-09-09
35318611.89671834,2021-09-10
44243400.84417992,2021-09-11
58213513.59494708,2021-09-12
48814605.95147388,2021-09-13
45371367.52924004,2021-09-14
37522289.74419819,2021-09-15
42493276.068139,2021-09-16
36908359.73973678,2021-09-17
31015705.31395424,2021-09-18
37544687.22963397,2021-09-19
33035976.36218212,2021-09-20
24994038.353534967,2021-09-21
30426935.908620283,2021-09-22
36566464.00999003,2021-09-23
31482059.799747076,2021-09-24
34898736.840456285,2021-09-25
34880661.39627079,2021-09-26
32625124.300225016,2021-09-27
31631921.22564196,2021-09-28
25481950.050662328,2021-09-29
24689848.417921964,2021-09-30
25405159.323961824,2021-10-01
26099871.178244147,2021-10-02
24459218.64414844,2021-10-03
31593269.682336148,2021-10-04
29970943.30765999,2021-10-05
27826323.903125677,2021-10-06
30023220.50977556,2021-10-07
28205748.88160166,2021-10-08
29728053.271148235,2021-10-09
28657635.67554958,2021-10-10
26973915.197019383,2021-10-11
28820323.560841125,2021-10-12
28027353.61831737,2021-10-13
27520280.025231667,2021-10-14
27164145.09054684,2021-10-15
26390055.52585264,2021-10-16
26768320.00797725,2021-10-17
24757885.430396717,2021-10-18
24939457.808198612,2021-10-19
22548577.424071603,2021-10-20
23861965.616293404,2021-10-21
24915023.735600747,2021-10-22
23721383.101340827,2021-10-23
23369523.07638574,2021-10-24
21800895.120533902,2021-10-25
22379916.260888387,2021-10-26
21607524.9234802,2021-10-27
19108360.17208014,2021-10-28
16264942.061691804,2021-10-29
16573529.318127727,2021-10-30
16479951.315560376,2021-10-31
17529343.14649877,2021-11-01
20177652.519957177,2021-11-02
24723907.62401381,2021-11-03
23638579.60059492,2021-11-04
22796987.92126179,2021-11-05
25299704.001368247,2021-11-06
24281561.476285204,2021-11-07
25391377.31459303,2021-11-08
24628041.3335173,2021-11-09
24965535.59667349,2021-11-10
24428244.533656303,2021-11-11
22424811.763044924,2021-11-12
21183671.712979663,2021-11-13
20008817.485656902,2021-11-14
19903830.661352903,2021-11-15
18818487.01451435,2021-11-16
17338520.247224905,2021-11-17
17553704.1273574,2021-11-18
15953813.770073628,2021-11-19
16543978.59952414,2021-11-20
16452393.243986132,2021-11-21
17281762.504921116,2021-11-22
16250011.148010837,2021-11-23
15755035.411248216,2021-11-24
15269543.365601312,2021-11-25
15025227.075963056,2021-11-26
13779451.105225844,2021-11-27
13908211.00717548,2021-11-28
13203443.666425483,2021-11-29
13581689.605881104,2021-11-30
26788326.764192987,2021-12-01
24980238.669599365,2021-12-02
23846985.951008443,2021-12-03
21864013.437685333,2021-12-04
19603559.99266154,2021-12-05
18160393.23952584,2021-12-06
15523641.814985879,2021-12-07
15878495.213175785,2021-12-08
15951687.00514282,2021-12-09
15745111.080869365,2021-12-10
14168396.157557117,2021-12-11
14000882.941852653,2021-12-12
14253647.797958324,2021-12-13
12675165.41025623,2021-12-14
12533966.821782757,2021-12-15
12580578.089784397,2021-12-16
13374312.88475933,2021-12-17
12531741.07148735,2021-12-18
12498323.746940339,2021-12-19
11736365.599375047,2021-12-20
11238857.822009994,2021-12-21
12813630.581644718,2021-12-22
12439544.427766267,2021-12-23
12652555.541969245,2021-12-24
14059024.461269941,2021-12-25
13578258.837946838,2021-12-26
13289173.942602837,2021-12-27
13857937.886261966,2021-12-28
13153568.487890746,2021-12-29
12649600.400992457,2021-12-30
12317061.80418964,2021-12-31
12211805.167807749,2022-01-01
12993974.171990482,2022-01-02
13517579.532618882,2022-01-03
14400904.501237044,2022-01-04
13868595.444315696,2022-01-05
12369923.8413786,2022-01-06
12052521.863380047,2022-01-07
11392285.832753427,2022-01-08
10673529.781448219,2022-01-09
10687415.476431316,2022-01-10
10885225.408710064,2022-01-11
11506491.483864574,2022-01-12
11375177.283353478,2022-01-13
11306089.661319075,2022-01-14
11266313.321011867,2022-01-15
10983176.526247071,2022-01-16
10964201.482117716,2022-01-17
10610652.070412198,2022-01-18
10567820.678612057,2022-01-19
9968648.6781836,2022-01-20
9144961.017369652,2022-01-21
8378290.633489413,2022-01-22
7653851.069367104,2022-01-23
7656419.558336997,2022-01-24
6688992.332945929,2022-01-25
6895642.9646629235,2022-01-26
6451712.374704123,2022-01-27
6512857.6480421135,2022-01-28
6309207.051961192,2022-01-29
6463160.758779086,2022-01-30
6327186.833798325,2022-01-31
6018542.61436018,2022-02-01
6542937.718638555,2022-02-02
6047877.74456007,2022-02-03
6039395.794498595,2022-02-04
7332430.860017214,2022-02-05
8463425.4773611,2022-02-06
8987883.081489228,2022-02-07
8533548.770225191,2022-02-08
7637671.08923903,2022-02-09
7184628.870089454,2022-02-10
6833126.664944739,2022-02-11
6132834.569252338,2022-02-12
6056640.592111266,2022-02-13
6305755.0232820185,2022-02-14
6032039.920111816,2022-02-15
6092534.924674413,2022-02-16
6648211.33615944,2022-02-17
5968702.665922752,2022-02-18
6214919.084076537,2022-02-19
6024055.635661085,2022-02-20
5874120.23244097,2022-02-21
5858156.587586942,2022-02-22
5843696.557703624,2022-02-23
5784769.802989966,2022-02-24
5468973.491807678,2022-02-25
5536863.1214269465,2022-02-26
5535719.710196169,2022-02-27
5436579.611472111,2022-02-28
5389568.973180926,2022-03-01
5384004.559010025,2022-03-02
5367252.444395809,2022-03-03
5343838.197765913,2022-03-04
5238699.647738791,2022-03-05
5192508.508210179,2022-03-06
5157606.531903157,2022-03-07
4993142.138780008,2022-03-08
4987915.063750581,2022-03-09
5023339.27676004,2022-03-10
5024998.034875114,2022-03-11
4993226.185322491,2022-03-12
4923086.839927776,2022-03-13
4918185.849973726,2022-03-14
4838411.578979655,2022-03-15
4773878.298800267,2022-03-16
4799381.028795791,2022-03-17
4818223.161373167,2022-03-18
4737938.150524043,2022-03-19
4786828.521064781,2022-03-20
4823779.398458949,2022-03-21
4630609.667943889,2022-03-22
7329979.96971366,2022-03-23
6921720.222619506,2022-03-24
7017281.769520117,2022-03-25
6963355.612686195,2022-03-26
6916349.1864784695,2022-03-27
6751703.112876938,2022-03-28
7452616.8848476475,2022-03-29
7303950.21527483,2022-03-30
7294827.197268627,2022-03-31
7167035.606202231,2022-04-01
7236549.711687976,2022-04-02
7412471.366701359,2022-04-03
7345380.686276613,2022-04-04
7266429.765118122,2022-04-05
7736318.31182331,2022-04-06
7825302.432375483,2022-04-07
7818318.557082463,2022-04-08
8266449.874874081,2022-04-09
8386403.674583045,2022-04-10
8570934.439787872,2022-04-11
8157435.5195836825,2022-04-12
8378484.243183804,2022-04-13
8362140.735764939,2022-04-14
8128581.005301619,2022-04-15
7638816.99624692,2022-04-16
7662322.678498079,2022-04-17
7706739.1753640175,2022-04-18
8237638.191738623,2022-04-19
8069950.198899564,2022-04-20
7985256.40065311,2022-04-21
7787295.317597899,2022-04-22
7468462.991347731,2022-04-23
7415410.30660267,2022-04-24
7151644.949738112,2022-04-25
6941806.976611859,2022-04-26
6398394.700050705,2022-04-27
6421197.721047078,2022-04-28
6395438.275457621,2022-04-29
6239235.368478718,2022-04-30
6023749.945508956,2022-05-01
6100461.661215895,2022-05-02
6360864.698383503,2022-05-03
6224973.146025079,2022-05-04
6364095.6680214945,2022-05-05
6054586.451913186,2022-05-06
6035264.911990327,2022-05-07
6236591.126772995,2022-05-08
6093984.284316835,2022-05-09
