MarketCap,Date
0.0,2022-12-07
0.0,2022-12-08
0.0,2022-12-09
0.0,2022-12-10
0.0,2022-12-11
0.0,2022-12-12
0.0,2022-12-13
0.0,2022-12-14
0.0,2022-12-15
0.0,2022-12-16
0.0,2022-12-17
0.0,2022-12-18
0.0,2022-12-19
0.0,2022-12-20
0.0,2022-12-21
0.0,2022-12-22
0.0,2022-12-23
0.0,2022-12-24
0.0,2022-12-25
0.0,2022-12-26
0.0,2022-12-27
0.0,2022-12-28
0.0,2022-12-29
0.0,2022-12-30
0.0,2022-12-31
0.0,2023-01-01
0.0,2023-01-02
0.0,2023-01-03
0.0,2023-01-04
0.0,2023-01-05
0.0,2023-01-06
0.0,2023-01-07
0.0,2023-01-08
0.0,2023-01-09
0.0,2023-01-10
0.0,2023-01-11
0.0,2023-01-12
0.0,2023-01-13
0.0,2023-01-14
0.0,2023-01-15
0.0,2023-01-16
0.0,2023-01-17
0.0,2023-01-18
0.0,2023-01-19
0.0,2023-01-20
0.0,2023-01-21
0.0,2023-01-22
0.0,2023-01-23
0.0,2023-01-24
0.0,2023-01-25
0.0,2023-01-26
0.0,2023-01-27
0.0,2023-01-28
0.0,2023-01-29
0.0,2023-01-30
0.0,2023-01-31
0.0,2023-02-01
0.0,2023-02-02
0.0,2023-02-03
0.0,2023-02-04
0.0,2023-02-05
0.0,2023-02-06
0.0,2023-02-07
0.0,2023-02-08
0.0,2023-02-09
0.0,2023-02-10
0.0,2023-02-11
0.0,2023-02-12
0.0,2023-02-13
0.0,2023-02-14
0.0,2023-02-15
0.0,2023-02-16
0.0,2023-02-17
0.0,2023-02-18
0.0,2023-02-19
0.0,2023-02-20
0.0,2023-02-21
0.0,2023-02-22
0.0,2023-02-23
0.0,2023-02-24
0.0,2023-02-25
0.0,2023-02-26
0.0,2023-02-27
0.0,2023-02-28
0.0,2023-03-01
0.0,2023-03-02
0.0,2023-03-03
0.0,2023-03-04
0.0,2023-03-05
0.0,2023-03-06
0.0,2023-03-07
0.0,2023-03-08
0.0,2023-03-09
0.0,2023-03-10
0.0,2023-03-11
0.0,2023-03-12
0.0,2023-03-13
0.0,2023-03-14
0.0,2023-03-15
0.0,2023-03-16
0.0,2023-03-17
0.0,2023-03-18
0.0,2023-03-19
0.0,2023-03-20
0.0,2023-03-21
0.0,2023-03-22
0.0,2023-03-23
0.0,2023-03-24
0.0,2023-03-25
0.0,2023-03-26
0.0,2023-03-27
0.0,2023-03-28
0.0,2023-03-29
0.0,2023-03-30
0.0,2023-03-31
0.0,2023-04-01
0.0,2023-04-02
0.0,2023-04-03
0.0,2023-04-04
0.0,2023-04-05
0.0,2023-04-06
0.0,2023-04-07
0.0,2023-04-08
0.0,2023-04-09
0.0,2023-04-10
0.0,2023-04-11
0.0,2023-04-12
0.0,2023-04-13
0.0,2023-04-14
0.0,2023-04-15
0.0,2023-04-16
0.0,2023-04-17
0.0,2023-04-18
0.0,2023-04-19
0.0,2023-04-20
0.0,2023-04-21
0.0,2023-04-22
0.0,2023-04-23
0.0,2023-04-24
0.0,2023-04-25
0.0,2023-04-26
0.0,2023-04-27
0.0,2023-04-28
0.0,2023-04-29
0.0,2023-04-30
0.0,2023-05-01
0.0,2023-05-02
0.0,2023-05-03
0.0,2023-05-04
0.0,2023-05-05
0.0,2023-05-06
0.0,2023-05-07
0.0,2023-05-08
0.0,2023-05-09
0.0,2023-05-10
0.0,2023-05-11
0.0,2023-05-12
0.0,2023-05-13
0.0,2023-05-14
0.0,2023-05-15
0.0,2023-05-16
0.0,2023-05-17
0.0,2023-05-18
0.0,2023-05-19
0.0,2023-05-20
0.0,2023-05-21
0.0,2023-05-22
0.0,2023-05-23
0.0,2023-05-24
0.0,2023-05-25
0.0,2023-05-26
0.0,2023-05-27
0.0,2023-05-28
0.0,2023-05-29
0.0,2023-05-30
0.0,2023-05-31
0.0,2023-06-01
0.0,2023-06-02
0.0,2023-06-03
0.0,2023-06-04
0.0,2023-06-05
0.0,2023-06-06
0.0,2023-06-07
0.0,2023-06-08
0.0,2023-06-09
0.0,2023-06-10
0.0,2023-06-11
0.0,2023-06-12
0.0,2023-06-13
0.0,2023-06-14
0.0,2023-06-15
0.0,2023-06-16
0.0,2023-06-17
0.0,2023-06-18
0.0,2023-06-19
0.0,2023-06-20
0.0,2023-06-21
0.0,2023-06-22
0.0,2023-06-23
0.0,2023-06-24
0.0,2023-06-25
0.0,2023-06-26
0.0,2023-06-27
0.0,2023-06-28
0.0,2023-06-29
0.0,2023-06-30
0.0,2023-07-01
0.0,2023-07-02
0.0,2023-07-03
0.0,2023-07-04
0.0,2023-07-05
0.0,2023-07-06
0.0,2023-07-07
0.0,2023-07-08
0.0,2023-07-09
0.0,2023-07-10
0.0,2023-07-11
0.0,2023-07-12
0.0,2023-07-13
0.0,2023-07-14
0.0,2023-07-15
0.0,2023-07-16
0.0,2023-07-17
0.0,2023-07-18
0.0,2023-07-19
0.0,2023-07-20
0.0,2023-07-21
0.0,2023-07-22
0.0,2023-07-23
0.0,2023-07-24
0.0,2023-07-25
0.0,2023-07-26
0.0,2023-07-27
0.0,2023-07-28
0.0,2023-07-29
0.0,2023-07-30
0.0,2023-07-31
0.0,2023-08-01
0.0,2023-08-02
0.0,2023-08-03
1237518.7783949245,2023-08-04
1341353.751711616,2023-08-05
1361491.410082734,2023-08-06
1358270.0159592354,2023-08-07
1349990.4914545303,2023-08-08
1398533.4272186873,2023-08-09
1409184.364886047,2023-08-10
1345759.4992941031,2023-08-11
1440326.9895319177,2023-08-12
1423532.027762467,2023-08-13
1367232.4009892195,2023-08-14
1332749.160934466,2023-08-15
1399161.7241311318,2023-08-16
1405140.3954893874,2023-08-17
1219007.0011366997,2023-08-18
1198177.6298884132,2023-08-19
1226165.6209754352,2023-08-20
1234419.5565906141,2023-08-21
1198287.5012730323,2023-08-22
1200921.467264921,2023-08-23
1320421.6089185323,2023-08-24
1148022.975116028,2023-08-25
1260000.9622065434,2023-08-26
1190051.2140756878,2023-08-27
1225673.0264430803,2023-08-28
1132335.8661706669,2023-08-29
1228764.4019999085,2023-08-30
1127930.758565245,2023-08-31
1104424.3894091984,2023-09-01
1077732.7373101872,2023-09-02
1078647.3585694327,2023-09-03
1054023.824315711,2023-09-04
982168.1948846332,2023-09-05
1007182.0093076249,2023-09-06
974171.6103532317,2023-09-07
954776.8495869775,2023-09-08
867820.5912167811,2023-09-09
838782.8741765162,2023-09-10
832095.8239397074,2023-09-11
795505.6529569045,2023-09-12
733162.6959563222,2023-09-13
759923.9607976472,2023-09-14
826938.8118749327,2023-09-15
818038.2915501003,2023-09-16
779495.5696042113,2023-09-17
759257.1604929166,2023-09-18
752867.1619637121,2023-09-19
740920.4922895787,2023-09-20
660141.9265566138,2023-09-21
612899.6015227794,2023-09-22
632865.5685143129,2023-09-23
634306.4312647652,2023-09-24
612462.467597055,2023-09-25
615930.9793314544,2023-09-26
588876.5856675912,2023-09-27
543538.5464152204,2023-09-28
579645.9824798098,2023-09-29
553823.6233863174,2023-09-30
556258.9901234217,2023-10-01
580420.8956033922,2023-10-02
570051.2547963243,2023-10-03
562242.9185643916,2023-10-04
544152.3354258933,2023-10-05
541459.0696783278,2023-10-06
560707.4121754508,2023-10-07
549123.9125296837,2023-10-08
554403.399358853,2023-10-09
521660.37898831075,2023-10-10
498514.2300221727,2023-10-11
493394.3436229568,2023-10-12
496148.5867484313,2023-10-13
498372.97844075505,2023-10-14
521558.9681442129,2023-10-15
549718.6023255842,2023-10-16
571877.2272505224,2023-10-17
525059.5766365961,2023-10-18
530624.4941849055,2023-10-19
533874.2127593602,2023-10-20
548835.842463323,2023-10-21
604853.5678993033,2023-10-22
611789.0095574423,2023-10-23
651985.9530203695,2023-10-24
672725.1595450875,2023-10-25
565599.7422242673,2023-10-26
592524.673640591,2023-10-27
590139.1862650419,2023-10-28
592320.9025355941,2023-10-29
586857.2337604321,2023-10-30
582159.7365726404,2023-10-31
578732.0479308654,2023-11-01
576267.3158480516,2023-11-02
571236.9158337511,2023-11-03
607065.6786311689,2023-11-04
605707.0052097896,2023-11-05
639006.288495742,2023-11-06
719343.5118035928,2023-11-07
711115.9370572342,2023-11-08
880384.1661559856,2023-11-09
924310.6755945173,2023-11-10
761142.202253815,2023-11-11
647082.800670832,2023-11-12
654231.9543174024,2023-11-13
659683.9772203596,2023-11-14
635503.7904492012,2023-11-15
645577.7637874514,2023-11-16
677738.9984478052,2023-11-17
631119.1634529586,2023-11-18
601373.2914169069,2023-11-19
604376.520571308,2023-11-20
583072.0411358108,2023-11-21
560602.2281184206,2023-11-22
598324.4012133582,2023-11-23
596066.2580190093,2023-11-24
603772.6574754304,2023-11-25
603194.8244900614,2023-11-26
615275.9470189096,2023-11-27
634233.1512703173,2023-11-28
673324.4564164154,2023-11-29
697667.4797266055,2023-11-30
698860.8078112623,2023-12-01
737459.7123733844,2023-12-02
817579.5808545885,2023-12-03
817145.1993006213,2023-12-04
859623.7022063566,2023-12-05
843547.1147447526,2023-12-06
811323.3888598137,2023-12-07
802399.5810908028,2023-12-08
795061.1059296088,2023-12-09
890107.6588221538,2023-12-10
1003207.2349252154,2023-12-11
797831.3924628734,2023-12-12
835365.3163945557,2023-12-13
833865.6122633227,2023-12-14
828788.8876816668,2023-12-15
818833.1132676239,2023-12-16
814662.0127258174,2023-12-17
777415.1026742839,2023-12-18
791201.801995018,2023-12-19
773972.3483283666,2023-12-20
756406.0632991733,2023-12-21
767628.4320184244,2023-12-22
833152.7310252339,2023-12-23
790239.5503314546,2023-12-24
708916.4494351129,2023-12-25
671826.7128860913,2023-12-26
673546.3571171148,2023-12-27
729499.7665398653,2023-12-28
694609.2661718061,2023-12-29
667658.0388827474,2023-12-30
696018.1493577216,2023-12-31
661902.3610706927,2024-01-01
717698.9165931047,2024-01-02
785193.0714554185,2024-01-03
718160.38562082,2024-01-04
762648.2987741837,2024-01-05
729487.5825775983,2024-01-06
703281.7162008896,2024-01-07
706429.8979331687,2024-01-08
725791.2055859244,2024-01-09
709045.3545687672,2024-01-10
766891.1922620607,2024-01-11
820033.416211728,2024-01-12
792767.3568909226,2024-01-13
766348.3332758002,2024-01-14
828275.6187678596,2024-01-15
983355.0821285276,2024-01-16
1258009.0718253497,2024-01-17
1112803.7434995635,2024-01-18
1113964.5273544758,2024-01-19
1090988.3138962388,2024-01-20
1072623.065749482,2024-01-21
1121198.6300447562,2024-01-22
1091270.821114744,2024-01-23
950087.8362440197,2024-01-24
960870.6196028569,2024-01-25
907801.1559605404,2024-01-26
994309.7298293726,2024-01-27
940491.4043246425,2024-01-28
879528.7691165057,2024-01-29
901488.4267710595,2024-01-30
895161.4815710351,2024-01-31
894557.4226364604,2024-02-01
859249.900066796,2024-02-02
861798.769574791,2024-02-03
852742.0769150109,2024-02-04
848014.150178764,2024-02-05
868545.0811096374,2024-02-06
