MarketCap,Date
2140.6155737863646,2020-11-05
2140.6155737863646,2020-11-06
55649.32939694887,2020-11-07
858455.2692917717,2020-11-08
902734.1176404028,2020-11-09
2463246.613790527,2020-11-10
3126205.769864864,2020-11-11
2918418.458630209,2020-11-12
3596056.5680828313,2020-11-13
4792391.150301246,2020-11-14
4454066.280382616,2020-11-15
3774103.389135795,2020-11-16
3498347.943674441,2020-11-17
3464932.557279856,2020-11-18
3249979.721131075,2020-11-19
4100714.513703623,2020-11-20
4102309.8410919798,2020-11-21
3840916.1733839037,2020-11-22
3804958.825443836,2020-11-23
4789306.995144142,2020-11-24
3637349.697452677,2020-11-25
3288317.607114928,2020-11-26
3044709.7859131997,2020-11-27
3267795.284570104,2020-11-28
3200622.209346007,2020-11-29
3186455.5120369107,2020-11-30
2889142.9291991256,2020-12-01
2816551.458169818,2020-12-02
2957628.4233370423,2020-12-03
3012746.081358173,2020-12-04
2640291.1645125765,2020-12-05
3037322.967332877,2020-12-06
2830715.215415626,2020-12-07
2850534.9361812496,2020-12-08
2421009.5835877606,2020-12-09
2953507.7830186267,2020-12-10
2811433.0698806457,2020-12-11
2489977.5708644358,2020-12-12
2458835.588563565,2020-12-13
2545562.1948808813,2020-12-14
2637812.712469729,2020-12-15
2718833.847561564,2020-12-16
2432530.642457894,2020-12-17
2294772.9471007134,2020-12-18
2436640.551602024,2020-12-19
2981073.124958932,2020-12-20
2923006.32613768,2020-12-21
2667901.2550121862,2020-12-22
2611560.6558605595,2020-12-23
2271007.670467536,2020-12-24
2355605.956784282,2020-12-25
2384073.413121496,2020-12-26
2557602.189301508,2020-12-27
4625085.647071746,2020-12-28
3746885.723806377,2020-12-29
3902850.4879553188,2020-12-30
3927805.971657988,2020-12-31
4076843.611059551,2021-01-01
3819774.414909518,2021-01-02
3816663.38239867,2021-01-03
4206220.110768416,2021-01-04
4539171.510013976,2021-01-05
5390576.825361725,2021-01-06
4667915.360266844,2021-01-07
4529836.331181781,2021-01-08
5865503.313351847,2021-01-09
6629761.616285722,2021-01-10
5795043.838864141,2021-01-11
5319692.43131245,2021-01-12
5389441.12967199,2021-01-13
6084564.507103648,2021-01-14
6064560.479396095,2021-01-15
5944460.684132361,2021-01-16
5931824.865657298,2021-01-17
5901522.3366209585,2021-01-18
6213542.775711619,2021-01-19
