MarketCap,Date
0.0,2021-11-17
0.0,2021-11-18
0.0,2021-11-19
0.0,2021-11-20
0.0,2021-11-21
0.0,2021-11-22
0.0,2021-11-23
0.0,2021-11-24
0.0,2021-11-25
0.0,2021-11-26
0.0,2021-11-27
0.0,2021-11-28
0.0,2021-11-29
0.0,2021-11-30
0.0,2021-12-01
0.0,2021-12-02
1932237.477393116,2021-12-03
1347428.6330253058,2021-12-04
1915828.1568373416,2021-12-05
2532682.4105727547,2021-12-06
2355406.114797574,2021-12-07
2433136.5334150214,2021-12-08
1532773.96694494,2021-12-09
2074447.825104341,2021-12-10
2065377.8487466492,2021-12-11
1198949.3845078074,2021-12-12
3181456.336551624,2021-12-13
2200060.8583108843,2021-12-14
1112360.506980884,2021-12-15
1230166.2769737756,2021-12-16
1191666.9812588019,2021-12-17
1359220.6746735803,2021-12-18
1402106.2333817224,2021-12-19
2520555.123230005,2021-12-20
4191911.525533072,2021-12-21
1408600.6000207465,2021-12-22
3848169.59585147,2021-12-23
3103250.648683279,2021-12-24
3665204.6567476983,2021-12-25
1349788.052704708,2021-12-26
4524538.760474158,2021-12-27
4176304.353367773,2021-12-28
4712897.161457179,2021-12-29
2684648.2556935763,2021-12-30
3145590.88480644,2021-12-31
4458146.2220991,2022-01-01
4860900.582835197,2022-01-02
4051098.403446582,2022-01-03
5352307.634636762,2022-01-04
5772553.599852264,2022-01-05
4953978.960876224,2022-01-06
4045520.993694013,2022-01-07
640379.5002655622,2022-01-08
610871.5079636053,2022-01-09
636457.3516420744,2022-01-10
592138.824152443,2022-01-11
629332.6244777965,2022-01-12
640713.2353660812,2022-01-13
587513.5935573812,2022-01-14
581422.6638453805,2022-01-15
585961.9705334129,2022-01-16
614939.3192521675,2022-01-17
573506.2010917341,2022-01-18
564211.4034727106,2022-01-19
600889.4955590562,2022-01-20
550304.5238344311,2022-01-21
462346.47239203285,2022-01-22
392779.754712894,2022-01-23
374563.8364950388,2022-01-24
363247.15210877475,2022-01-25
392981.9453166364,2022-01-26
422641.89054999355,2022-01-27
407364.37834875006,2022-01-28
423499.9016416089,2022-01-29
450519.8024618142,2022-01-30
424209.1545443179,2022-01-31
436541.55608240794,2022-02-01
453309.01581641287,2022-02-02
422767.01638190914,2022-02-03
420859.29296534945,2022-02-04
580624.9801558865,2022-02-05
590265.6541930417,2022-02-06
587170.6545190602,2022-02-07
635269.5499817047,2022-02-08
754520.7607922851,2022-02-09
925411.0007980119,2022-02-10
987571.305821781,2022-02-11
885089.2632683794,2022-02-12
854583.6542169442,2022-02-13
845282.707836503,2022-02-14
868840.2660917763,2022-02-15
1004246.5951415452,2022-02-16
1024515.2186899001,2022-02-17
931667.2568676686,2022-02-18
884891.1057453168,2022-02-19
802850.8862667162,2022-02-20
734934.4955544538,2022-02-21
652266.1053750843,2022-02-22
701037.2859943961,2022-02-23
702065.5105729633,2022-02-24
721480.0818689489,2022-02-25
753321.3104348767,2022-02-26
735732.9239977961,2022-02-27
677715.4363754535,2022-02-28
743353.1037491823,2022-03-01
761824.5876099125,2022-03-02
725627.566995295,2022-03-03
676226.8961894357,2022-03-04
653753.3520666941,2022-03-05
657385.4137069356,2022-03-06
632217.6001030647,2022-03-07
661880.6408293989,2022-03-08
