MarketCap,Date
0.0,2018-09-19
0.0,2018-09-20
0.0,2018-09-21
0.0,2018-09-22
0.0,2018-09-23
0.0,2018-09-24
0.0,2018-09-25
0.0,2018-09-26
0.0,2018-09-27
0.0,2018-09-28
0.0,2018-09-29
0.0,2018-09-30
0.0,2018-10-01
0.0,2018-10-02
0.0,2018-10-03
464062.3583305349,2018-10-04
327403.3582041674,2018-10-05
660687.2167274771,2018-10-06
1033934.74632308,2018-10-07
960567.901688265,2018-10-08
1121502.591175519,2018-10-09
902944.3097441614,2018-10-10
910853.4060888086,2018-10-11
844298.5927802057,2018-10-12
939205.8862497293,2018-10-13
655793.9688670868,2018-10-14
646631.6874774329,2018-10-15
793842.5769603295,2018-10-16
830482.1075637965,2018-10-17
840638.4098301063,2018-10-18
748676.9856355144,2018-10-19
743693.0163872745,2018-10-20
602961.2679807331,2018-10-21
554755.0790352845,2018-10-22
454997.19966532674,2018-10-23
480660.9399705225,2018-10-24
575448.0765437899,2018-10-25
866308.7603239949,2018-10-26
801545.2720478851,2018-10-27
905715.5160113658,2018-10-28
1097357.444380917,2018-10-29
954338.9317873924,2018-10-30
1017774.1808856395,2018-10-31
1179367.5138350679,2018-11-01
1350977.9266326407,2018-11-02
1518476.0739855142,2018-11-03
1501138.0537034194,2018-11-04
1476956.8298452357,2018-11-05
1553326.7477277808,2018-11-06
1887596.0000025365,2018-11-07
1495917.2064923919,2018-11-08
1508543.7133795132,2018-11-09
1624638.0022737926,2018-11-10
1613910.1525436041,2018-11-11
1719148.8633060423,2018-11-12
1717046.1180084217,2018-11-13
1830595.748374106,2018-11-14
1817402.7884654235,2018-11-15
1859321.4802287903,2018-11-16
1992618.3728709791,2018-11-17
2299297.4581368007,2018-11-18
2676544.735729581,2018-11-19
2846124.1280581937,2018-11-20
2470244.2074546395,2018-11-21
3080635.939434899,2018-11-22
3453553.582991652,2018-11-23
3543425.166348565,2018-11-24
3315389.9686679807,2018-11-25
3170358.352027096,2018-11-26
2597212.425273819,2018-11-27
2229171.4181605093,2018-11-28
2179783.132315135,2018-11-29
2461585.7496808167,2018-11-30
2579420.3080358705,2018-12-01
2942982.51332814,2018-12-02
3341250.2889120285,2018-12-03
2969637.007096599,2018-12-04
2977703.075376675,2018-12-05
2871343.70567748,2018-12-06
2789839.1218645466,2018-12-07
2455877.5708108298,2018-12-08
2256872.1881634276,2018-12-09
2518064.2860801844,2018-12-10
2455545.213997215,2018-12-11
2513692.6276363656,2018-12-12
2505372.506515796,2018-12-13
2182587.049373282,2018-12-14
2024275.6117832705,2018-12-15
2094493.9566113616,2018-12-16
1873423.6567605427,2018-12-17
1849552.0919842531,2018-12-18
2647112.41410656,2018-12-19
2608993.421910797,2018-12-20
2586471.1891890327,2018-12-21
2534458.529007191,2018-12-22
2525701.6360190026,2018-12-23
2057418.354876299,2018-12-24
2222291.486831846,2018-12-25
1968710.52038161,2018-12-26
2086395.8397462345,2018-12-27
1916990.667253703,2018-12-28
2171990.28328648,2018-12-29
2064967.259286971,2018-12-30
1958982.8429867204,2018-12-31
1917538.1498603362,2019-01-01
2123152.712316755,2019-01-02
2096222.4682025386,2019-01-03
1842295.5534295177,2019-01-04
2107357.6148456917,2019-01-05
2198101.0576102072,2019-01-06
2162028.1132371435,2019-01-07
2072253.9756680217,2019-01-08
2137282.1818002774,2019-01-09
2153103.2625692636,2019-01-10
2053257.1199142088,2019-01-11
2007774.7433269196,2019-01-12
1932336.226731583,2019-01-13
1864599.558911435,2019-01-14
2007870.612478161,2019-01-15
2081840.852277736,2019-01-16
1954550.8486225777,2019-01-17
2072691.0065285233,2019-01-18
2108188.8922588523,2019-01-19
2118428.949908041,2019-01-20
1914052.064115173,2019-01-21
1620226.6810279472,2019-01-22
1387123.4553334964,2019-01-23
1439788.816052664,2019-01-24
1517168.5340541073,2019-01-25
1526901.6888673652,2019-01-26
1576836.716219513,2019-01-27
1561791.2621022153,2019-01-28
1506051.5765990422,2019-01-29
1501477.284866372,2019-01-30
1532996.426162805,2019-01-31
1256189.1567920605,2019-02-01
1237864.4356673677,2019-02-02
1320221.7758668123,2019-02-03
1226879.244537477,2019-02-04
1244315.9629826741,2019-02-05
1266353.4824268492,2019-02-06
1251078.5389463967,2019-02-07
1289499.6557919285,2019-02-08
1453306.3626674237,2019-02-09
1583475.8627451495,2019-02-10
1718795.4429806052,2019-02-11
1780923.8350057804,2019-02-12
1838437.0368873284,2019-02-13
1722002.993964888,2019-02-14
1552677.3702248612,2019-02-15
1520904.5713267024,2019-02-16
1603738.638558446,2019-02-17
1620308.1385349685,2019-02-18
1624653.3643908664,2019-02-19
1511939.4199749723,2019-02-20
1521834.8441232569,2019-02-21
1439688.036001045,2019-02-22
1428238.0782663287,2019-02-23
1404835.211217146,2019-02-24
1356359.5528561277,2019-02-25
1190228.7116664483,2019-02-26
1067189.3006632617,2019-02-27
986006.2169885783,2019-02-28
1152823.9937904135,2019-03-01
1329962.014054369,2019-03-02
1450397.7053676697,2019-03-03
1351941.0350230772,2019-03-04
1531690.419178622,2019-03-05
1487394.879027211,2019-03-06
1467909.7557308353,2019-03-07
1311289.1811529086,2019-03-08
1289989.1297736673,2019-03-09
1330368.5746318868,2019-03-10
1414625.9841869657,2019-03-11
1391890.5620062577,2019-03-12
1418866.8369632033,2019-03-13
1373626.582312728,2019-03-14
1402018.6605659574,2019-03-15
1355758.3947414772,2019-03-16
1380742.3613965234,2019-03-17
1320029.789109773,2019-03-18
1220111.285118951,2019-03-19
1189703.813546036,2019-03-20
1204599.1506472852,2019-03-21
1142959.4638563863,2019-03-22
1136507.025903364,2019-03-23
1107748.608448953,2019-03-24
1025035.1146362437,2019-03-25
958227.0237817552,2019-03-26
