MarketCap,Date
0.0,2023-04-22
0.0,2023-04-23
0.0,2023-04-24
0.0,2023-04-25
0.0,2023-04-26
0.0,2023-04-27
0.0,2023-04-28
0.0,2023-04-29
0.0,2023-04-30
0.0,2023-05-01
0.0,2023-05-02
0.0,2023-05-03
0.0,2023-05-04
0.0,2023-05-05
0.0,2023-05-06
0.0,2023-05-07
0.0,2023-05-08
50615861.84710476,2023-05-09
43955247.34363923,2023-05-10
32119750.028709747,2023-05-11
27372924.094596043,2023-05-12
27567536.987993564,2023-05-13
34254660.83515632,2023-05-14
49365157.379656814,2023-05-15
42930469.87853152,2023-05-16
33394967.463244166,2023-05-17
45797830.26456262,2023-05-18
38494307.588714786,2023-05-19
46381966.02560489,2023-05-20
46879476.04921576,2023-05-21
45247728.56523136,2023-05-22
34385278.98989525,2023-05-23
32291376.1308916,2023-05-24
28737542.66932411,2023-05-25
28374932.855083346,2023-05-26
27689304.32740876,2023-05-27
24536434.086187053,2023-05-28
23605282.388268873,2023-05-29
21456075.911536716,2023-05-30
17743455.721677925,2023-05-31
15385345.60313549,2023-06-01
13719335.972436968,2023-06-02
16695403.103340853,2023-06-03
16578443.829105051,2023-06-04
14555321.229378792,2023-06-05
14874748.513361573,2023-06-06
15768665.658550097,2023-06-07
14751143.406959392,2023-06-08
14883375.999317309,2023-06-09
15222803.678992648,2023-06-10
13013074.232785821,2023-06-11
14188679.089173188,2023-06-12
13223030.502173934,2023-06-13
13164244.272880632,2023-06-14
13795859.358073667,2023-06-15
14795942.367394537,2023-06-16
17336444.081993513,2023-06-17
20037226.633344147,2023-06-18
13562073.0431113,2023-06-19
14010824.349624706,2023-06-20
14122682.654652253,2023-06-21
14449568.894680493,2023-06-22
14170004.972134825,2023-06-23
14026229.936969597,2023-06-24
11195337.527428098,2023-06-25
11736909.614597503,2023-06-26
10603016.341040784,2023-06-27
9822097.753753904,2023-06-28
8608113.780300844,2023-06-29
8609450.333770884,2023-06-30
9710708.201580428,2023-07-01
10034328.493557623,2023-07-02
9364330.546583543,2023-07-03
8727346.704559315,2023-07-04
8110276.528381454,2023-07-05
7836000.876129933,2023-07-06
6799917.40272169,2023-07-07
6670503.700298529,2023-07-08
6782981.452130982,2023-07-09
7225040.687799641,2023-07-10
7176928.504911073,2023-07-11
6856183.168282523,2023-07-12
6505332.726663122,2023-07-13
6546181.035496021,2023-07-14
6382529.329551054,2023-07-15
6410986.34483927,2023-07-16
6415008.9119287105,2023-07-17
6169825.775326228,2023-07-18
5919007.289335447,2023-07-19
6174126.587602493,2023-07-20
5769831.337609827,2023-07-21
5621687.213976208,2023-07-22
5516461.882667427,2023-07-23
5623485.653424162,2023-07-24
4776546.16915501,2023-07-25
4907677.714808843,2023-07-26
4884397.304368584,2023-07-27
4851151.492888838,2023-07-28
4991542.368293358,2023-07-29
4849497.856921223,2023-07-30
4758317.141338337,2023-07-31
4680201.523718241,2023-08-01
4382910.682774511,2023-08-02
4423497.554284111,2023-08-03
4461045.056484842,2023-08-04
4718008.603273667,2023-08-05
4711980.048050535,2023-08-06
4795169.999632575,2023-08-07
4472017.853970911,2023-08-08
4532106.5942791905,2023-08-09
4526831.483024565,2023-08-10
4363693.536764232,2023-08-11
4273115.842463649,2023-08-12
4382694.664043759,2023-08-13
4340637.705156053,2023-08-14
3647751.3927156045,2023-08-15
3438452.7682451312,2023-08-16
2983777.416673867,2023-08-17
2554454.500760612,2023-08-18
2629131.9662186955,2023-08-19
3085780.2295900695,2023-08-20
3013424.782576032,2023-08-21
2758586.3285935284,2023-08-22
2725935.0804698667,2023-08-23
2830198.9373172023,2023-08-24
2701557.3146189633,2023-08-25
2656887.9084336567,2023-08-26
2659904.0178740136,2023-08-27
2778288.728525576,2023-08-28
2826234.41864194,2023-08-29
3332495.804411625,2023-08-30
3356305.4718073974,2023-08-31
4301976.007450563,2023-09-01
4033000.2323120483,2023-09-02
3492239.878482342,2023-09-03
3526707.504182392,2023-09-04
3428708.179443959,2023-09-05
3400931.0861484674,2023-09-06
3341741.620000523,2023-09-07
3299239.84939708,2023-09-08
2871967.2218886614,2023-09-09
2961649.6927772337,2023-09-10
3040789.6881214646,2023-09-11
3134464.772490909,2023-09-12
3357336.583381361,2023-09-13
3110418.594247959,2023-09-14
3027645.6045719376,2023-09-15
3055259.1272467445,2023-09-16
3048359.6273367824,2023-09-17
2927322.6718569472,2023-09-18
2905575.066637296,2023-09-19
2987647.647527406,2023-09-20
2949071.929469741,2023-09-21
2765595.989072377,2023-09-22
2847568.1716554593,2023-09-23
2887521.596972805,2023-09-24
2823693.925253639,2023-09-25
2784244.694318923,2023-09-26
2759178.8026460875,2023-09-27
2699345.59462108,2023-09-28
2837417.411179596,2023-09-29
2987125.820864798,2023-09-30
2892485.4126251214,2023-10-01
2882772.312997534,2023-10-02
2900380.728181344,2023-10-03
2893574.564359096,2023-10-04
2782876.9115080237,2023-10-05
2807672.7095001345,2023-10-06
2874603.3431347366,2023-10-07
2837751.089471186,2023-10-08
2798491.154331551,2023-10-09
2620388.2276404677,2023-10-10
2673155.893099253,2023-10-11
2558038.6882455815,2023-10-12
2500164.5988555686,2023-10-13
2628166.007980425,2023-10-14
2581092.8574631666,2023-10-15
2710927.2085701465,2023-10-16
2816916.005539379,2023-10-17
2697162.7031122297,2023-10-18
2948732.188788634,2023-10-19
2870214.003740948,2023-10-20
3505616.8299097754,2023-10-21
3816193.092450704,2023-10-22
3413886.5510087023,2023-10-23
3748405.551434345,2023-10-24
3848143.950617169,2023-10-25
5440454.007952755,2023-10-26
5465086.031745829,2023-10-27
4562258.297978263,2023-10-28
4655493.068467025,2023-10-29
4703849.356838401,2023-10-30
4835969.270835074,2023-10-31
4686003.367287913,2023-11-01
4705356.962134449,2023-11-02
4703898.57056544,2023-11-03
4399695.81000339,2023-11-04
4620498.15385213,2023-11-05
4664253.790745862,2023-11-06
4572545.920984528,2023-11-07
4568055.360617384,2023-11-08
4462574.089858749,2023-11-09
4435562.655170015,2023-11-10
4486248.007330899,2023-11-11
4308555.398244641,2023-11-12
4007074.956905503,2023-11-13
3684904.0472931354,2023-11-14
3631244.40043369,2023-11-15
3878481.130417162,2023-11-16
3656426.953842765,2023-11-17
3581089.8848912856,2023-11-18
3555273.7835069844,2023-11-19
3728509.566318314,2023-11-20
3903288.5242043613,2023-11-21
3595284.1585543905,2023-11-22
3861774.894179504,2023-11-23
3811604.1532245134,2023-11-24
3801883.822500367,2023-11-25
3816946.4831902613,2023-11-26
3621033.1661243313,2023-11-27
3524458.770154696,2023-11-28
3586359.561470905,2023-11-29
3573606.4760462376,2023-11-30
4135846.0742217395,2023-12-01
4092316.365237904,2023-12-02
4188018.481694335,2023-12-03
4241988.357419234,2023-12-04
4275478.867243848,2023-12-05
4624087.809075042,2023-12-06
5406213.953517039,2023-12-07
6299437.37486894,2023-12-08
10214179.25395096,2023-12-09
10778360.189429345,2023-12-10
21958344.713074766,2023-12-11
16140186.037648175,2023-12-12
23849406.67246053,2023-12-13
22579437.394986536,2023-12-14
21561942.945911832,2023-12-15
40662393.23037879,2023-12-16
46317028.27764971,2023-12-17
52713125.743299894,2023-12-18
50671460.63804285,2023-12-19
38827467.78700517,2023-12-20
35219268.97795792,2023-12-21
32657641.390944026,2023-12-22
29905339.509009484,2023-12-23
32871783.774603892,2023-12-24
29118556.82434111,2023-12-25
29165051.627668545,2023-12-26
25885819.153922345,2023-12-27
27526056.266000427,2023-12-28
24162431.006253198,2023-12-29
25795096.51590006,2023-12-30
26938376.604784794,2023-12-31
24366828.558012053,2024-01-01
25055186.45556563,2024-01-02
23574655.68315636,2024-01-03
20225204.275237728,2024-01-04
21564165.142114297,2024-01-05
19748114.010281324,2024-01-06
17304811.486798562,2024-01-07
17040320.434207633,2024-01-08
18540430.587380804,2024-01-09
17489421.44095606,2024-01-10
19519508.654163864,2024-01-11
25689972.678695653,2024-01-12
21702202.30026402,2024-01-13
21573591.159962654,2024-01-14
20714449.6487821,2024-01-15
19610747.73445429,2024-01-16
