MarketCap,Date
0.0,2023-09-13
0.0,2023-09-14
0.0,2023-09-15
0.0,2023-09-16
0.0,2023-09-17
0.0,2023-09-18
0.0,2023-09-19
0.0,2023-09-20
155604.56563932993,2023-09-21
141425.16816502722,2023-09-22
142071.4809575987,2023-09-23
135856.59350633752,2023-09-24
128621.87943813506,2023-09-25
117847.99276086099,2023-09-26
130113.79045099381,2023-09-27
105211.82695499214,2023-09-28
110837.77894915105,2023-09-29
110525.92272260088,2023-09-30
115392.0610536544,2023-10-01
116301.27543909226,2023-10-02
121759.67525784076,2023-10-03
133091.59516544637,2023-10-04
128271.42431314071,2023-10-05
117661.91019505737,2023-10-06
118069.29663493384,2023-10-07
99989.95820851317,2023-10-08
92756.78110524378,2023-10-09
82926.54561571484,2023-10-10
84648.92595566582,2023-10-11
89247.4917092231,2023-10-12
92577.43474314807,2023-10-13
102072.24219422448,2023-10-14
93354.7314787367,2023-10-15
103051.91171447892,2023-10-16
109919.15456577191,2023-10-17
110594.95771460909,2023-10-18
107174.8525772496,2023-10-19
109525.85159274073,2023-10-20
106381.07258048611,2023-10-21
114075.90765575324,2023-10-22
108105.2084729704,2023-10-23
100061.51699591504,2023-10-24
102622.51686154876,2023-10-25
127720.36023372125,2023-10-26
117218.99633330602,2023-10-27
135877.39822462693,2023-10-28
156977.94299193096,2023-10-29
161465.830391596,2023-10-30
145612.3964653998,2023-10-31
145702.23471751265,2023-11-01
153119.76664603714,2023-11-02
148156.73546418836,2023-11-03
146125.18748648078,2023-11-04
137210.20996072778,2023-11-05
147931.28362675878,2023-11-06
150730.74884860954,2023-11-07
139601.8405876425,2023-11-08
182069.94209589763,2023-11-09
210755.8286021037,2023-11-10
521016.98822305206,2023-11-11
516339.8532823903,2023-11-12
349227.13753509877,2023-11-13
423749.3012386144,2023-11-14
337817.9211963043,2023-11-15
458170.6617774241,2023-11-16
365489.80636198603,2023-11-17
449569.7605407684,2023-11-18
484514.16184810625,2023-11-19
628963.7478492841,2023-11-20
629927.0540437853,2023-11-21
696272.7506446086,2023-11-22
988677.9932284808,2023-11-23
924102.3417578867,2023-11-24
843030.5019546176,2023-11-25
1365593.7878403154,2023-11-26
1434100.9770813044,2023-11-27
1361690.6184418353,2023-11-28
1381928.633433428,2023-11-29
1224603.6480419347,2023-11-30
1164242.97484072,2023-12-01
1244050.148382687,2023-12-02
1354125.3432454115,2023-12-03
1258692.6199786325,2023-12-04
1322326.0713888248,2023-12-05
1296959.6360635702,2023-12-06
1151725.5340245382,2023-12-07
1176949.5476774757,2023-12-08
1156195.199796503,2023-12-09
1239595.7359996077,2023-12-10
1479275.4708426036,2023-12-11
1732219.1011862713,2023-12-12
2478657.0817207266,2023-12-13
2448108.0599009097,2023-12-14
1802963.6463706621,2023-12-15
2221405.025692436,2023-12-16
2142752.499113516,2023-12-17
1837745.6194606016,2023-12-18
1603886.6801040834,2023-12-19
1961977.690340494,2023-12-20
1614208.8758043025,2023-12-21
1784762.0316273405,2023-12-22
1593062.5841260692,2023-12-23
1382827.7080973568,2023-12-24
1424062.341781894,2023-12-25
1878593.8789186776,2023-12-26
1633936.976783562,2023-12-27
1605892.1914984277,2023-12-28
1132654.6480915584,2023-12-29
997896.6633886299,2023-12-30
764773.928551878,2023-12-31
870281.2778578463,2024-01-01
1154985.7220968222,2024-01-02
1240904.183034971,2024-01-03
1286010.9744352836,2024-01-04
1406257.4506157294,2024-01-05
1388950.6622931922,2024-01-06
1391397.3256238438,2024-01-07
1632555.7006424458,2024-01-08
1509952.6089218112,2024-01-09
1621569.3485673885,2024-01-10
1657432.3718088442,2024-01-11
1721896.5935398731,2024-01-12
1724052.7680153588,2024-01-13
1912966.9619960007,2024-01-14
2111504.5823505134,2024-01-15
2660027.840753167,2024-01-16
2364346.418293769,2024-01-17
1814104.271560519,2024-01-18
1685282.5589169469,2024-01-19
1947476.625594823,2024-01-20
2052503.3744232573,2024-01-21
2276183.547717108,2024-01-22
2182056.5405514766,2024-01-23
1915343.8796753655,2024-01-24
1973459.1339537199,2024-01-25
2011617.6052543437,2024-01-26
2158890.0967247416,2024-01-27
2104084.334869051,2024-01-28
2041953.4467021325,2024-01-29
1998742.4060973835,2024-01-30
1770006.238309494,2024-01-31
1788137.6887152873,2024-02-01
2231286.5158805638,2024-02-02
2487931.036307997,2024-02-03
2704097.9823337058,2024-02-04
3564431.933913518,2024-02-05
3907151.286618934,2024-02-06
3506741.9168212805,2024-02-07
3242027.7904035025,2024-02-08
3139597.689209186,2024-02-09
3333821.317232061,2024-02-10
3172245.073483834,2024-02-11
3214151.8756318777,2024-02-12
3283593.0174731887,2024-02-13
3483118.9386120876,2024-02-14
3408619.6416712166,2024-02-15
3414493.379568708,2024-02-16
3477201.3073038347,2024-02-17
4829643.256230127,2024-02-18
6840166.673859696,2024-02-19
6640144.631884878,2024-02-20
6404135.596258513,2024-02-21
8170926.405458983,2024-02-22
10470836.533209402,2024-02-23
11215671.532308366,2024-02-24
11236646.314806957,2024-02-25
12033126.841120364,2024-02-26
11190777.236378036,2024-02-27
10277064.876605725,2024-02-28
10193279.797084315,2024-02-29
10087068.65189489,2024-03-01
8087372.731485478,2024-03-02
8501780.232920201,2024-03-03
8361211.51870623,2024-03-04
9037063.058482876,2024-03-05
8127569.631561585,2024-03-06
9820359.375363903,2024-03-07
12003268.944384351,2024-03-08
11182604.30348923,2024-03-09
11285581.25048259,2024-03-10
10166635.0444172,2024-03-11
11241470.009304194,2024-03-12
9805866.536768205,2024-03-13
9127015.236387257,2024-03-14
10001142.409806004,2024-03-15
9029404.031634055,2024-03-16
8149071.609217847,2024-03-17
9714780.700942509,2024-03-18
9156440.342496647,2024-03-19
8917720.868663216,2024-03-20
9948265.59519016,2024-03-21
10213243.501460873,2024-03-22
9912010.40523997,2024-03-23
9699351.268312104,2024-03-24
9562777.387400035,2024-03-25
9523483.916182887,2024-03-26
