MarketCap,Date
0.0,2021-09-30
0.0,2021-10-01
0.0,2021-10-02
0.0,2021-10-03
0.0,2021-10-04
0.0,2021-10-05
0.0,2021-10-06
0.0,2021-10-07
6269682.814551351,2021-10-08
5776024.710346031,2021-10-09
5436277.200602523,2021-10-10
4802601.917589334,2021-10-11
4698545.16782471,2021-10-12
4509360.815387894,2021-10-13
5020147.81342399,2021-10-14
4966200.912264216,2021-10-15
4677895.677107516,2021-10-16
4461347.596681082,2021-10-17
4228088.5762133915,2021-10-18
4220585.59494243,2021-10-19
4342131.367375951,2021-10-20
4465248.370735933,2021-10-21
4648784.121632194,2021-10-22
4355159.459905808,2021-10-23
4249167.105575826,2021-10-24
3859624.911862731,2021-10-25
3753360.0024774764,2021-10-26
3831597.829774656,2021-10-27
3375494.5534217395,2021-10-28
3116398.0737176463,2021-10-29
3870033.907903331,2021-10-30
3476706.5814381363,2021-10-31
3297441.0751189576,2021-11-01
3276275.746531524,2021-11-02
3268165.231925155,2021-11-03
3543987.5087819463,2021-11-04
3351231.943917833,2021-11-05
3379407.271848185,2021-11-06
3387086.470295431,2021-11-07
3224217.926623962,2021-11-08
3164316.8500344716,2021-11-09
2934340.811788055,2021-11-10
2682988.8923690384,2021-11-11
2297143.9764522016,2021-11-12
2204559.8429733235,2021-11-13
2448168.9883782608,2021-11-14
2798975.344517021,2021-11-15
3079518.785721092,2021-11-16
3169955.6400803137,2021-11-17
3363201.7612183583,2021-11-18
4538948.700136103,2021-11-19
5701247.126431354,2021-11-20
5178630.915547119,2021-11-21
6264720.964638321,2021-11-22
7691979.474104507,2021-11-23
7866469.145226398,2021-11-24
8252091.76094837,2021-11-25
7117501.548013621,2021-11-26
6388177.036888303,2021-11-27
6134725.58853568,2021-11-28
6231807.328031926,2021-11-29
6877223.15916809,2021-11-30
7057573.548447914,2021-12-01
7128978.61584901,2021-12-02
7006627.256494252,2021-12-03
5861523.336708308,2021-12-04
7286729.517492805,2021-12-05
8572502.775877748,2021-12-06
7710601.838815698,2021-12-07
7264072.008789301,2021-12-08
7704602.986688735,2021-12-09
8354265.816715149,2021-12-10
7503045.969343007,2021-12-11
7382449.745580577,2021-12-12
7642826.801514897,2021-12-13
6744223.978382257,2021-12-14
7012132.551417883,2021-12-15
6595631.931138362,2021-12-16
5958577.826896765,2021-12-17
5427316.012725575,2021-12-18
5053283.859355837,2021-12-19
4772116.081877261,2021-12-20
4743715.212729774,2021-12-21
4911097.851912194,2021-12-22
4716530.061593598,2021-12-23
4966661.615096473,2021-12-24
5132488.018789039,2021-12-25
5379687.334006362,2021-12-26
5129725.23107561,2021-12-27
5065692.616245344,2021-12-28
4407830.329891439,2021-12-29
4248949.489347378,2021-12-30
4588746.821896085,2021-12-31
4552967.719498075,2022-01-01
4449613.640085039,2022-01-02
4309144.851891703,2022-01-03
4184234.766446556,2022-01-04
4145532.885109097,2022-01-05
3658513.0141678015,2022-01-06
3815656.1919632177,2022-01-07
3592939.016857023,2022-01-08
3393238.067654726,2022-01-09
3563676.521347409,2022-01-10
3413636.9242900033,2022-01-11
3755677.6399019235,2022-01-12
3844695.1644591386,2022-01-13
3480896.693409954,2022-01-14
