MarketCap,Date
0.0,2021-10-18
0.0,2021-10-19
0.0,2021-10-20
0.0,2021-10-21
0.0,2021-10-22
0.0,2021-10-23
0.0,2021-10-24
0.0,2021-10-25
0.0,2021-10-26
0.0,2021-10-27
0.0,2021-10-28
0.0,2021-10-29
0.0,2021-10-30
0.0,2021-10-31
0.0,2021-11-01
0.0,2021-11-02
0.0,2021-11-03
0.0,2021-11-04
0.0,2021-11-05
0.0,2021-11-06
10309506.892543247,2021-11-07
15365100.87198629,2021-11-08
15162774.457430016,2021-11-09
13723063.719358956,2021-11-10
12493217.311059736,2021-11-11
12616328.568686051,2021-11-12
12714683.006469991,2021-11-13
13391295.449541092,2021-11-14
12930503.540492022,2021-11-15
12742492.118664838,2021-11-16
10153690.593302794,2021-11-17
10156575.050819948,2021-11-18
9403031.67914814,2021-11-19
10321741.222290207,2021-11-20
29760436.769965354,2021-11-21
30537308.443939846,2021-11-22
28114028.569838427,2021-11-23
26938268.506198056,2021-11-24
26818531.400088552,2021-11-25
27113856.636258554,2021-11-26
29930029.04605443,2021-11-27
30580423.038290728,2021-11-28
28231490.159450658,2021-11-29
26747625.56816707,2021-11-30
23850474.592110448,2021-12-01
20125241.613627482,2021-12-02
19511105.014884748,2021-12-03
20559272.01022963,2021-12-04
20046588.287945967,2021-12-05
15828339.485513294,2021-12-06
15394511.804757101,2021-12-07
14787500.829468867,2021-12-08
19276098.95971963,2021-12-09
16214510.864689605,2021-12-10
13725363.114857871,2021-12-11
13582431.748980245,2021-12-12
12544383.015608367,2021-12-13
10681536.647767175,2021-12-14
11042900.175652795,2021-12-15
11825238.630293222,2021-12-16
11288065.20510816,2021-12-17
10968340.810599102,2021-12-18
11734289.967355067,2021-12-19
11094220.950817192,2021-12-20
10588365.675475856,2021-12-21
10075308.838703187,2021-12-22
8755458.474560717,2021-12-23
8899117.63677377,2021-12-24
8506987.842597928,2021-12-25
9302902.790081358,2021-12-26
9401895.420464272,2021-12-27
9054415.714997154,2021-12-28
8061784.425514005,2021-12-29
7309423.622493107,2021-12-30
7210191.005180481,2021-12-31
7006365.449613954,2022-01-01
7231626.3521293625,2022-01-02
6932235.697742279,2022-01-03
6437806.370913526,2022-01-04
5758755.023011507,2022-01-05
5478757.525189011,2022-01-06
6281616.302224396,2022-01-07
6480400.650146739,2022-01-08
5809316.507939124,2022-01-09
5414262.835647814,2022-01-10
5923753.756280642,2022-01-11
5475212.532164187,2022-01-12
5725444.87115686,2022-01-13
5260461.618083919,2022-01-14
5260146.198322806,2022-01-15
5270346.038185047,2022-01-16
4862891.869554272,2022-01-17
4464750.231871714,2022-01-18
4349468.516248813,2022-01-19
4193157.090807974,2022-01-20
3741898.234377635,2022-01-21
3217799.426749759,2022-01-22
2952239.801394024,2022-01-23
3460447.367979207,2022-01-24
3303586.359437677,2022-01-25
3348623.6686906777,2022-01-26
3170581.090622165,2022-01-27
3348105.184654302,2022-01-28
3136052.249383863,2022-01-29
3040195.844755696,2022-01-30
2903325.5085583,2022-01-31
2489716.275955735,2022-02-01
2517984.3150918093,2022-02-02
2706839.924885859,2022-02-03
2745447.8869925938,2022-02-04
2907633.6577057536,2022-02-05
2955023.844155162,2022-02-06
2807995.1275274926,2022-02-07
3078468.508652514,2022-02-08
2859272.7503674617,2022-02-09
