MarketCap,Date
0.0,2022-02-03
0.0,2022-02-04
0.0,2022-02-05
0.0,2022-02-06
0.0,2022-02-07
950252.562443468,2022-02-08
873635.7972362284,2022-02-09
1035955.9226704313,2022-02-10
981136.9477699167,2022-02-11
636661.6753730797,2022-02-12
754801.1287342232,2022-02-13
666000.1773438295,2022-02-14
518164.6814485322,2022-02-15
791378.2049184808,2022-02-16
694856.740674918,2022-02-17
698359.2390351926,2022-02-18
1150211.9545293304,2022-02-19
938073.9324097038,2022-02-20
918362.0278628509,2022-02-21
953645.8754568179,2022-02-22
914704.7884199778,2022-02-23
864427.619557097,2022-02-24
721915.3970503766,2022-02-25
817615.0601185963,2022-02-26
811751.3831298304,2022-02-27
678244.0867483068,2022-02-28
745622.5270470685,2022-03-01
624891.8666809343,2022-03-02
534433.5009830898,2022-03-03
414802.71330482874,2022-03-04
387190.89999548276,2022-03-05
389023.53819640575,2022-03-06
377229.5383413045,2022-03-07
345159.0006286534,2022-03-08
347737.2634761208,2022-03-09
393462.1118748114,2022-03-10
348903.39453700447,2022-03-11
353787.96426543343,2022-03-12
350916.18714323035,2022-03-13
351189.8651503089,2022-03-14
333164.3944908502,2022-03-15
334007.65768027626,2022-03-16
337984.7145305572,2022-03-17
335780.4151745027,2022-03-18
353483.72022615594,2022-03-19
360090.824222386,2022-03-20
348045.6437047412,2022-03-21
346396.28988558374,2022-03-22
381062.6338725798,2022-03-23
378215.6474589461,2022-03-24
407549.38739909284,2022-03-25
1999893.135498598,2022-03-26
2873510.865268208,2022-03-27
14682722.780451676,2022-03-28
24492704.466606513,2022-03-29
32104967.97499755,2022-03-30
31444461.538410872,2022-03-31
42739604.52655642,2022-04-01
86017171.53866205,2022-04-02
105747460.58025979,2022-04-03
129584668.77146813,2022-04-04
98350104.3764526,2022-04-05
81462569.98211047,2022-04-06
76896670.0338435,2022-04-07
81680578.43445633,2022-04-08
109246917.37939468,2022-04-09
187882498.11926025,2022-04-10
165250087.11313114,2022-04-11
119837385.73571956,2022-04-12
115367603.01968364,2022-04-13
108349288.11083937,2022-04-14
86721347.86761746,2022-04-15
146081542.5085536,2022-04-16
144747917.49147072,2022-04-17
112731739.36457536,2022-04-18
111882616.53480008,2022-04-19
100438640.9931077,2022-04-20
105387257.91425766,2022-04-21
98526255.24660741,2022-04-22
93643664.647311,2022-04-23
87494374.98034008,2022-04-24
80591448.80917157,2022-04-25
81469405.50523116,2022-04-26
73452598.69646841,2022-04-27
72891828.32365406,2022-04-28
63206124.28265581,2022-04-29
61246140.73751695,2022-04-30
53300949.86458851,2022-05-01
60212424.446139716,2022-05-02
67312245.59809823,2022-05-03
100217294.65090784,2022-05-04
104037080.83656208,2022-05-05
107148150.71116832,2022-05-06
103367525.59561884,2022-05-07
83393919.41279717,2022-05-08
89837803.88240351,2022-05-09
78680965.89317237,2022-05-10
80811610.84588142,2022-05-11
56005327.72698079,2022-05-12
43018792.487851314,2022-05-13
51453398.760240376,2022-05-14
48044488.009000435,2022-05-15
55982099.569360815,2022-05-16
52425951.39660144,2022-05-17
52691687.60976365,2022-05-18
44740312.61586492,2022-05-19
50440625.04422653,2022-05-20
48459296.16629218,2022-05-21
64561516.30428709,2022-05-22
70347299.82083501,2022-05-23
