MarketCap,Date
0.0,2021-04-07
0.0,2021-04-08
0.0,2021-04-09
0.0,2021-04-10
0.0,2021-04-11
0.0,2021-04-12
0.0,2021-04-13
0.0,2021-04-14
0.0,2021-04-15
0.0,2021-04-16
0.0,2021-04-17
0.0,2021-04-18
0.0,2021-04-19
0.0,2021-04-20
0.0,2021-04-21
0.0,2021-04-22
0.0,2021-04-23
0.0,2021-04-24
0.0,2021-04-25
0.0,2021-04-26
0.0,2021-04-27
0.0,2021-04-28
0.0,2021-04-29
0.0,2021-04-30
0.0,2021-05-01
0.0,2021-05-02
0.0,2021-05-03
0.0,2021-05-04
0.0,2021-05-05
0.0,2021-05-06
0.0,2021-05-07
0.0,2021-05-08
0.0,2021-05-09
0.0,2021-05-10
0.0,2021-05-11
0.0,2021-05-12
0.0,2021-05-13
0.0,2021-05-14
0.0,2021-05-15
0.0,2021-05-16
0.0,2021-05-17
0.0,2021-05-18
0.0,2021-05-19
0.0,2021-05-20
0.0,2021-05-21
0.0,2021-05-22
0.0,2021-05-23
0.0,2021-05-24
0.0,2021-05-25
0.0,2021-05-26
0.0,2021-05-27
0.0,2021-05-28
0.0,2021-05-29
0.0,2021-05-30
0.0,2021-05-31
0.0,2021-06-01
0.0,2021-06-02
0.0,2021-06-03
0.0,2021-06-04
0.0,2021-06-05
0.0,2021-06-06
0.0,2021-06-07
0.0,2021-06-08
0.0,2021-06-09
0.0,2021-06-10
0.0,2021-06-11
0.0,2021-06-12
0.0,2021-06-13
0.0,2021-06-14
0.0,2021-06-15
973611.9975947998,2021-06-16
928020.4728622095,2021-06-17
896844.4995180882,2021-06-18
823377.365862949,2021-06-19
823060.6959155839,2021-06-20
842228.1950567535,2021-06-21
714917.270992599,2021-06-22
687610.9961108156,2021-06-23
716459.9389706332,2021-06-24
739160.5071792965,2021-06-25
666063.8725195766,2021-06-26
633028.6993564895,2021-06-27
643177.3585078954,2021-06-28
733727.6975615507,2021-06-29
754076.07113923,2021-06-30
760444.9998727342,2021-07-01
713381.7293879102,2021-07-02
720128.6412927348,2021-07-03
730868.5182305883,2021-07-04
783213.6154524116,2021-07-05
781372.3165710967,2021-07-06
803361.1074325993,2021-07-07
781186.8202375044,2021-07-08
730457.2053425165,2021-07-09
764116.7379991773,2021-07-10
723157.3254126312,2021-07-11
729281.842581105,2021-07-12
689924.5118010981,2021-07-13
671097.0551358286,2021-07-14
664666.8910325853,2021-07-15
659733.9257422904,2021-07-16
615836.73517949,2021-07-17
579926.7005712872,2021-07-18
530034.9383588075,2021-07-19
535244.8170201418,2021-07-20
557857.2367495354,2021-07-21
547478.5313413278,2021-07-22
571217.9753234896,2021-07-23
593344.3384065328,2021-07-24
641191.2982952374,2021-07-25
623954.2243862856,2021-07-26
639210.691181691,2021-07-27
625835.5804723615,2021-07-28
629738.7883730016,2021-07-29
632887.6437698287,2021-07-30
666024.2298651066,2021-07-31
703903.4385778663,2021-08-01
687814.6998143748,2021-08-02
705980.5256293701,2021-08-03
672430.7304696367,2021-08-04
755852.4996827127,2021-08-05
720012.6541920917,2021-08-06
694901.6540650054,2021-08-07
840905.2100260517,2021-08-08
768268.3527506023,2021-08-09
805914.1614343415,2021-08-10
731829.2956845963,2021-08-11
810083.7121355367,2021-08-12
723007.4008926156,2021-08-13
881625.2154591155,2021-08-14
803585.3190742077,2021-08-15
797065.5459763982,2021-08-16
733315.8562298381,2021-08-17
692324.105614351,2021-08-18
637252.2781768638,2021-08-19
673608.7987962147,2021-08-20
739749.9769454818,2021-08-21
785145.2178053524,2021-08-22
704802.6107866425,2021-08-23
726686.7186819675,2021-08-24
717351.2082271914,2021-08-25
787054.9838782592,2021-08-26
758093.530519186,2021-08-27
782370.0678033876,2021-08-28
700923.3254040274,2021-08-29
719472.7975781444,2021-08-30
706311.7224351167,2021-08-31
760360.4397918849,2021-09-01
779911.0175508984,2021-09-02
819774.7896450219,2021-09-03
856884.6586042288,2021-09-04
837923.4216514089,2021-09-05
832958.1284615106,2021-09-06
836019.7268818924,2021-09-07
740720.4425568674,2021-09-08
778097.320500528,2021-09-09
732555.9205089166,2021-09-10
715797.2762559156,2021-09-11
687459.8761975275,2021-09-12
708845.8490622942,2021-09-13
691293.7469031248,2021-09-14
701316.9919041643,2021-09-15
732187.9145381346,2021-09-16
693064.3716875346,2021-09-17
661148.1221335471,2021-09-18
665738.1046600827,2021-09-19
626446.2358566613,2021-09-20
560490.0801956925,2021-09-21
518455.2359340886,2021-09-22
546106.2998302286,2021-09-23
589761.8790610094,2021-09-24
563475.915512133,2021-09-25
570653.0361749195,2021-09-26
762393.6428261052,2021-09-27
807569.4543818752,2021-09-28
894633.9403449596,2021-09-29
1082294.5317148592,2021-09-30
1166943.3145229304,2021-10-01
1795157.2814421884,2021-10-02
1588430.7849107161,2021-10-03
1679008.9991409557,2021-10-04
1743671.5802663867,2021-10-05
1589790.626380639,2021-10-06
1546389.5070931278,2021-10-07
1462860.5976667413,2021-10-08
1287056.6706543805,2021-10-09
1261616.610346248,2021-10-10
1154782.8634279591,2021-10-11
1264642.6343304454,2021-10-12
1099600.0075369605,2021-10-13
1023514.3887982344,2021-10-14
1032148.8592879047,2021-10-15
1056549.1992658633,2021-10-16
1028057.2651969928,2021-10-17
1015567.6996233136,2021-10-18
947094.6276300233,2021-10-19
984677.6718571207,2021-10-20
1020169.8378433022,2021-10-21
952788.1384467452,2021-10-22
944136.8884264099,2021-10-23
965845.0898778804,2021-10-24
920514.1669610966,2021-10-25
954819.6922759952,2021-10-26
963785.4617487164,2021-10-27
898507.8124157203,2021-10-28
948328.9101239641,2021-10-29
959959.1346946427,2021-10-30
889584.790239233,2021-10-31
910404.3352914128,2021-11-01
914066.4326584704,2021-11-02
901628.7385365708,2021-11-03
946818.3605057686,2021-11-04
895794.4471803133,2021-11-05
885090.9534590773,2021-11-06
889186.1822045078,2021-11-07
905277.9451493745,2021-11-08
952628.3257837933,2021-11-09
955374.126503097,2021-11-10
923118.7245556808,2021-11-11
944006.5326438332,2021-11-12
908168.8746534588,2021-11-13
980293.3714876714,2021-11-14
949632.3117521672,2021-11-15
951943.4722402006,2021-11-16
884299.305690477,2021-11-17
878642.1574862471,2021-11-18
823402.2792689356,2021-11-19
902160.7641017517,2021-11-20
919668.8243069919,2021-11-21
891175.0531638522,2021-11-22
839305.4849792512,2021-11-23
885596.1854403077,2021-11-24
831950.5456549339,2021-11-25
937401.3495055817,2021-11-26
797068.9849394691,2021-11-27
806216.7220211374,2021-11-28
867050.7854672777,2021-11-29
913703.2257666233,2021-11-30
954114.8407184525,2021-12-01
921474.0214687672,2021-12-02
883455.4966345013,2021-12-03
787394.7437899397,2021-12-04
779707.3490579961,2021-12-05
785028.9550744961,2021-12-06
794296.6815864708,2021-12-07
741185.8062120524,2021-12-08
811748.93626247,2021-12-09
726870.0883158476,2021-12-10
681839.5423765893,2021-12-11
673164.9725721125,2021-12-12
707903.0208423585,2021-12-13
633405.4438777252,2021-12-14
604595.4523399272,2021-12-15
638927.056479302,2021-12-16
637378.8602219059,2021-12-17
602183.6142175982,2021-12-18
