MarketCap,Date
6572334.559595953,2020-09-17
6572334.559595953,2020-09-18
6411140.430868252,2020-09-19
6534932.720286024,2020-09-20
5942951.0139244925,2020-09-21
6121573.296833174,2020-09-22
4661153.410550475,2020-09-23
5423816.996780056,2020-09-24
6191735.7122675,2020-09-25
5990731.885632597,2020-09-26
5343203.027813072,2020-09-27
5146251.248721396,2020-09-28
5128835.862916019,2020-09-29
4837477.517629388,2020-09-30
4892343.609077322,2020-10-01
4684728.963096986,2020-10-02
4550663.925438513,2020-10-03
4660508.638079431,2020-10-04
4401396.726545812,2020-10-05
4354587.8008965915,2020-10-06
3963322.5278381556,2020-10-07
3660176.573455524,2020-10-08
3700111.811183347,2020-10-09
3728970.891416007,2020-10-10
3784004.402026825,2020-10-11
3797144.444184055,2020-10-12
4331703.554375258,2020-10-13
4151258.053612466,2020-10-14
4165372.712378039,2020-10-15
4566517.461161271,2020-10-16
4493904.352229628,2020-10-17
4308570.68694639,2020-10-18
4189555.692043812,2020-10-19
3906779.4071627664,2020-10-20
3553514.312665255,2020-10-21
3537132.8638768876,2020-10-22
3603419.2034834735,2020-10-23
3692214.775166797,2020-10-24
3997679.278533223,2020-10-25
3978196.382617,2020-10-26
3824578.0054850397,2020-10-27
3816375.479185234,2020-10-28
3670793.55322596,2020-10-29
3515295.03709504,2020-10-30
3511861.229970897,2020-10-31
3327828.4316574135,2020-11-01
3335463.7816820643,2020-11-02
3106516.37270892,2020-11-03
2825170.840992659,2020-11-04
2764611.6239971444,2020-11-05
2386600.3417430837,2020-11-06
2605871.708070642,2020-11-07
2436895.6299840393,2020-11-08
2440193.602255537,2020-11-09
2466132.120227406,2020-11-10
2880912.177953944,2020-11-11
2794423.0959817218,2020-11-12
2845212.8962889947,2020-11-13
2890236.9943091925,2020-11-14
3351576.6872190326,2020-11-15
3800618.547230828,2020-11-16
3853728.9146105167,2020-11-17
5416242.8554273425,2020-11-18
4586582.074519663,2020-11-19
5100088.467029961,2020-11-20
5216912.805550999,2020-11-21
5404634.568474919,2020-11-22
5412950.164799327,2020-11-23
7239065.481560118,2020-11-24
9543993.441588398,2020-11-25
8170670.976098543,2020-11-26
6402666.953469537,2020-11-27
6847315.580183446,2020-11-28
7956053.0220920695,2020-11-29
8656056.072406568,2020-11-30
7100018.868166135,2020-12-01
7077555.348841375,2020-12-02
7493824.12300762,2020-12-03
8999739.422450777,2020-12-04
9455863.430907566,2020-12-05
9404395.455404537,2020-12-06
10474411.423690133,2020-12-07
10662323.985968053,2020-12-08
9160822.286934897,2020-12-09
8950108.295099607,2020-12-10
8983907.024848584,2020-12-11
8650034.602202883,2020-12-12
8502907.774672456,2020-12-13
9055555.868152883,2020-12-14
8137951.441634407,2020-12-15
7976946.627907423,2020-12-16
7692556.339202936,2020-12-17
8115219.783370225,2020-12-18
7927862.799388006,2020-12-19
7563700.106507376,2020-12-20
7217019.538069648,2020-12-21
6945628.717126987,2020-12-22
7081504.566902907,2020-12-23
6774028.289202221,2020-12-24
6681712.538427709,2020-12-25
6301218.984413279,2020-12-26
6189078.227818319,2020-12-27
6425171.764808088,2020-12-28
5809487.585960208,2020-12-29
5128284.171436558,2020-12-30
5254489.729426743,2020-12-31
5337921.827722573,2021-01-01
6419697.387422807,2021-01-02
6593637.747175167,2021-01-03
6491946.680025875,2021-01-04
7105307.492175304,2021-01-05
8265309.819208071,2021-01-06
8260566.998495438,2021-01-07
7967482.135429085,2021-01-08
8203536.976656396,2021-01-09
7852123.431803964,2021-01-10
7918406.844606743,2021-01-11
7212180.651853687,2021-01-12
7669444.55907141,2021-01-13
8583334.786914868,2021-01-14
8752778.912472716,2021-01-15
9012069.3182665,2021-01-16
9599744.098390343,2021-01-17
13277126.351942666,2021-01-18
13647207.138517465,2021-01-19
13417435.166476125,2021-01-20
14900926.044456815,2021-01-21
13860274.109521322,2021-01-22
14162384.94405765,2021-01-23
14009187.105488405,2021-01-24
16685311.65241338,2021-01-25
14900584.645833723,2021-01-26
14359698.467353309,2021-01-27
21323959.48576413,2021-01-28
32823029.71929604,2021-01-29
