MarketCap,Date
33169781.578880776,2017-11-08 00:00:00.000
37956738.751202285,2017-11-09 00:00:00.000
32870839.31336963,2017-11-10 00:00:00.000
33457946.947578955,2017-11-11 00:00:00.000
29545281.201287515,2017-11-12 00:00:00.000
30584107.789715197,2017-11-13 00:00:00.000
32996879.2320039,2017-11-14 00:00:00.000
28401762.3402678,2017-11-15 00:00:00.000
28892322.3559028,2017-11-16 00:00:00.000
30303730.9431559,2017-11-17 00:00:00.000
30167230.8338687,2017-11-18 00:00:00.000
29153430.474045,2017-11-19 00:00:00.000
29008630.6383433,2017-11-20 00:00:00.000
31607741.3109749,2017-11-21 00:00:00.000
42576770.9924943,2017-11-22 00:00:00.000
40104498.7602995,2017-11-23 00:00:00.000
39259073.8098916,2017-11-24 00:00:00.000
36930252.261853,2017-11-25 00:00:00.000
35033848.5664844,2017-11-26 00:00:00.000
37277332.5922998,2017-11-27 00:00:00.000
36119296.4411716,2017-11-28 00:00:00.000
34561258.5288573,2017-11-29 00:00:00.000
52052095.3060477,2017-11-30 00:00:00.000
48828694.6058876,2017-12-01 00:00:00.000
44943736.1239918,2017-12-02 00:00:00.000
44132705.4816342,2017-12-03 00:00:00.000
53886946.3754612,2017-12-04 00:00:00.000
51432892.2959168,2017-12-05 00:00:00.000
52832473.8131418,2017-12-06 00:00:00.000
42728587.968159,2017-12-07 00:00:00.000
44708964.5988197,2017-12-08 00:00:00.000
44859347.2720333,2017-12-09 00:00:00.000
40327888.8409238,2017-12-10 00:00:00.000
50488448.1469214,2017-12-11 00:00:00.000
47874629.3284616,2017-12-12 00:00:00.000
50834734.5475954,2017-12-13 00:00:00.000
48988422.6715028,2017-12-14 00:00:00.000
50005914.5461296,2017-12-15 00:00:00.000
53048643.219022,2017-12-16 00:00:00.000
66162474.658996,2017-12-17 00:00:00.000
71955553.1740323,2017-12-18 00:00:00.000
75618487.205287,2017-12-19 00:00:00.000
88153795.0160361,2017-12-20 00:00:00.000
89054433.9989368,2017-12-21 00:00:00.000
77763269.767239,2017-12-22 00:00:00.000
96333603.4371931,2017-12-23 00:00:00.000
114004658.75501,2017-12-24 00:00:00.000
194231987.216503,2017-12-25 00:00:00.000
201321940.729564,2017-12-26 00:00:00.000
216051566.05149,2017-12-27 00:00:00.000
206583932.908291,2017-12-28 00:00:00.000
200639289.143225,2017-12-29 00:00:00.000
207494049.119341,2017-12-30 00:00:00.000
206082940.322629,2017-12-31 00:00:00.000
251795948.80139,2018-01-01 00:00:00.000
398926584.473957,2018-01-02 00:00:00.000
438659428.6489439,2018-01-03 00:00:00.000
427185571.06511515,2018-01-04 00:00:00.000
396899720.0344645,2018-01-05 00:00:00.000
440096267.6659724,2018-01-06 00:00:00.000
463234637.68121004,2018-01-07 00:00:00.000
536372376.8863483,2018-01-08 00:00:00.000
574308308.8809992,2018-01-09 00:00:00.000
612956041.8966197,2018-01-10 00:00:00.000
514704388.0175622,2018-01-11 00:00:00.000
542751237.9726691,2018-01-12 00:00:00.000
514145140.56615424,2018-01-13 00:00:00.000
486295261.1742236,2018-01-14 00:00:00.000
428125856.2354215,2018-01-15 00:00:00.000
297360922.2323648,2018-01-16 00:00:00.000
333871654.3554125,2018-01-17 00:00:00.000
361614184.2717138,2018-01-18 00:00:00.000
385625026.91007453,2018-01-19 00:00:00.000
399019501.0453423,2018-01-20 00:00:00.000
334756999.4873321,2018-01-21 00:00:00.000
301165227.5509174,2018-01-22 00:00:00.000
326491392.46317935,2018-01-23 00:00:00.000
325248111.0804233,2018-01-24 00:00:00.000
312990169.1796393,2018-01-25 00:00:00.000
302603025.5498607,2018-01-26 00:00:00.000
318179698.82710326,2018-01-27 00:00:00.000
329156168.14383894,2018-01-28 00:00:00.000
301772823.7239017,2018-01-29 00:00:00.000
301766460.35877544,2018-01-30 00:05:22.003
252416134.90789217,2018-01-31 00:00:00.000
247620482.23549518,2018-02-01 00:00:00.000
216918309.5820225,2018-02-02 00:00:00.000
