MarketCap,Date
0.0,2022-05-05
0.0,2022-05-06
0.0,2022-05-07
0.0,2022-05-09
0.0,2022-05-10
0.0,2022-05-13
0.0,2022-05-14
0.0,2022-05-15
0.0,2022-05-16
0.0,2022-05-17
0.0,2022-05-18
0.0,2022-05-19
0.0,2022-05-20
0.0,2022-05-21
0.0,2022-05-22
0.0,2022-05-23
0.0,2022-05-24
1553958.0726319866,2022-05-25
1517176.800022581,2022-05-26
1482147.6779739487,2022-05-27
1391093.70243939,2022-05-28
1462097.524793251,2022-05-29
1430706.6312274449,2022-05-30
1324121.654720906,2022-05-31
1537368.5701526196,2022-06-01
1439206.4284449534,2022-06-02
1444069.4137008062,2022-06-03
1388188.5393689282,2022-06-04
1418668.109863685,2022-06-05
1355595.9244240075,2022-06-06
1295683.884624728,2022-06-07
1312281.8544609486,2022-06-08
1265024.6484575449,2022-06-09
1155292.5500904638,2022-06-10
1301717.8945370784,2022-06-11
1321620.90101448,2022-06-12
1217454.1131059835,2022-06-13
1039415.7575477659,2022-06-14
1081792.648740653,2022-06-15
1249892.830055336,2022-06-16
1118154.4454981328,2022-06-17
1074288.2643475886,2022-06-18
1101216.3628085256,2022-06-19
980680.1456667157,2022-06-20
1159126.3527815556,2022-06-21
1092559.6586978924,2022-06-22
1080935.0023800437,2022-06-23
1069997.6470445395,2022-06-24
1126719.8051939562,2022-06-25
1035662.6309420316,2022-06-26
1048606.8128562113,2022-06-27
978519.6010060549,2022-06-28
999559.4853889387,2022-06-29
976341.3629059618,2022-06-30
987581.2627869135,2022-07-01
937604.6844689598,2022-07-02
915730.8310059034,2022-07-03
785201.3342935035,2022-07-04
915437.4686818392,2022-07-05
854012.7974772298,2022-07-06
813955.1311116724,2022-07-07
819418.4950611802,2022-07-08
791128.1803536356,2022-07-09
798037.2460003922,2022-07-10
803128.1588287738,2022-07-11
570773.3820070293,2022-07-12
723294.9404191291,2022-07-13
729628.6824267451,2022-07-14
739753.8834706466,2022-07-15
702846.5474981848,2022-07-16
773756.0544982093,2022-07-17
725759.2479169999,2022-07-18
674879.649180966,2022-07-19
694584.5816008077,2022-07-20
702739.2699742208,2022-07-21
851014.1058803936,2022-07-22
743471.6918811206,2022-07-23
689776.1994616364,2022-07-24
641276.6930981929,2022-07-25
715543.6571390841,2022-07-26
721841.2942552743,2022-07-27
705385.7874319247,2022-07-28
744543.6605305317,2022-07-29
709882.4587291834,2022-07-30
671313.2171024551,2022-07-31
662235.106545932,2022-08-01
673064.4285298749,2022-08-02
656152.0792921918,2022-08-03
677409.050462697,2022-08-04
655079.7735971032,2022-08-05
789448.3461896317,2022-08-06
