MarketCap,Date
447319431.31425947,2017-07-09 00:00:00.000
342368074.0370698,2017-07-10 00:00:00.000
336943371.9399453,2017-07-11 00:00:00.000
424851917.5616451,2017-07-12 00:00:00.000
366887077.3036328,2017-07-13 00:00:00.000
333664022.2996209,2017-07-14 00:00:00.000
288269690.0747745,2017-07-15 00:00:00.000
275396332.43558824,2017-07-16 00:00:00.000
344436687.27124995,2017-07-17 00:00:00.000
378682708.7903274,2017-07-18 00:00:00.000
347445699.428998,2017-07-19 00:00:00.000
393644409.4243181,2017-07-20 00:00:00.000
420899166.1502024,2017-07-21 00:00:00.000
468775485.44454885,2017-07-22 00:00:00.000
449381938.6921426,2017-07-23 00:00:00.000
446940459.2912165,2017-07-24 00:00:00.000
398750539.4152255,2017-07-25 00:00:00.000
402136835.47015274,2017-07-26 00:00:00.000
469681025.7220087,2017-07-27 00:00:00.000
452361906.97443503,2017-07-28 00:00:00.000
454631623.7525268,2017-07-29 00:00:00.000
448591240.27948797,2017-07-30 00:00:00.000
440741933.9047368,2017-07-31 00:00:00.000
456026377.6041561,2017-08-01 00:00:00.000
454168375.78155476,2017-08-02 00:00:00.000
462397935.99516267,2017-08-03 00:00:00.000
462873692.15699756,2017-08-04 00:00:00.000
490367474.943463,2017-08-05 00:00:00.000
461971879.4482387,2017-08-06 00:00:00.000
483495268.0819007,2017-08-07 00:00:00.000
505038948.9457945,2017-08-08 00:00:00.000
496828167.0459212,2017-08-09 00:00:00.000
502522920.6951349,2017-08-10 00:00:00.000
477895869.89085543,2017-08-11 00:00:00.000
459173848.6037375,2017-08-12 00:00:00.000
453332382.440592,2017-08-13 00:00:00.000
451576099.94631356,2017-08-14 00:00:00.000
468313930.6306788,2017-08-15 00:00:00.000
456786145.9279876,2017-08-16 00:00:00.000
457158834.55898803,2017-08-17 00:00:00.000
416887695.9660938,2017-08-18 00:00:00.000
415874064.73666906,2017-08-19 00:00:00.000
403751217.4813724,2017-08-20 00:00:00.000
396931083.95265484,2017-08-21 00:00:00.000
384205529.54027575,2017-08-22 00:00:00.000
424531469.6168375,2017-08-23 00:00:00.000
415030490.02521706,2017-08-24 00:00:00.000
417161392.5672646,2017-08-25 00:00:00.000
413016821.7154098,2017-08-26 00:00:00.000
414351284.7665003,2017-08-27 00:00:00.000
412881184.44696426,2017-08-28 00:00:00.000
407964009.8257314,2017-08-29 00:00:00.000
390269191.3034665,2017-08-30 00:00:00.000
411675584.49718666,2017-08-31 00:00:00.000
416936349.4731568,2017-09-01 00:00:00.000
395908576.8089106,2017-09-02 00:00:00.000
407792897.3433838,2017-09-03 00:00:00.000
291190319.7023708,2017-09-04 00:00:00.000
301724848.98451006,2017-09-05 00:00:00.000
300087546.6902438,2017-09-06 00:00:00.000
317963882.0286547,2017-09-07 00:00:00.000
278627527.7579731,2017-09-08 00:00:00.000
267262617.78592792,2017-09-09 00:00:00.000
249300771.440176,2017-09-10 00:00:00.000
248616156.27098218,2017-09-11 00:00:00.000
286254762.14148706,2017-09-12 00:00:00.000
252445206.85990354,2017-09-13 00:00:00.000
206363427.61667222,2017-09-14 00:00:00.000
228944757.73398873,2017-09-15 00:00:00.000
227212101.6503647,2017-09-16 00:00:00.000
226560203.17007983,2017-09-17 00:00:00.000
249735948.54433882,2017-09-18 00:00:00.000
238890018.9152341,2017-09-19 00:00:00.000
228631320.3123582,2017-09-20 00:00:00.000
213554839.56603846,2017-09-21 00:00:00.000
221941925.45019844,2017-09-22 00:00:00.000
223803448.0218574,2017-09-23 00:00:00.000
216080468.99460852,2017-09-24 00:00:00.000
222019995.75019276,2017-09-25 00:00:00.000
221193965.96661472,2017-09-26 00:00:00.000
239038962.7042076,2017-09-27 00:00:00.000
299043991.70299137,2017-09-28 00:00:00.000
268547683.4236254,2017-09-29 00:00:00.000
271918112.6564308,2017-09-30 00:00:00.000
267573392.74673936,2017-10-01 00:00:00.000
254171639.25775036,2017-10-02 00:00:00.000
250907759.6899321,2017-10-03 00:00:00.000
243860430.95519692,2017-10-04 00:00:00.000
244239170.12663507,2017-10-05 00:00:00.000
245750109.9294011,2017-10-06 00:00:00.000
230075279.5531918,2017-10-07 00:00:00.000
238335728.02281564,2017-10-08 00:00:00.000
222118854.63123694,2017-10-09 00:00:00.000
221516083.20103148,2017-10-10 00:00:00.000
247666459.10448658,2017-10-11 00:00:00.000
241589343.81274956,2017-10-12 00:00:00.000
239471397.91920748,2017-10-13 00:00:00.000
235469873.4414683,2017-10-14 00:00:00.000
233920076.34749323,2017-10-15 00:00:00.000
231917955.4269516,2017-10-16 00:00:00.000
229817220.92574638,2017-10-17 00:00:00.000
227310255.13852826,2017-10-18 00:00:00.000
237274408.70935237,2017-10-19 00:00:00.000
227912898.07139817,2017-10-20 00:00:00.000
224254137.53401783,2017-10-21 00:00:00.000
223950942.95916325,2017-10-22 00:00:00.000
212933336.83347315,2017-10-23 00:00:00.000
222618933.9312724,2017-10-24 00:00:00.000
218917089.06408873,2017-10-25 00:00:00.000
224778919.64266133,2017-10-26 00:00:00.000
225306392.09302798,2017-10-27 00:00:00.000
231243494.9082156,2017-10-28 00:00:00.000
286552270.4109378,2017-10-29 00:00:00.000
310932959.3419208,2017-10-30 00:00:00.000
340526508.81007284,2017-10-31 00:00:00.000
460265860.93161196,2017-11-01 00:00:00.000
501643005.3379427,2017-11-02 00:00:00.000
545531686.5626886,2017-11-03 00:00:00.000
501287376.4343022,2017-11-04 00:00:00.000
491757470.2104643,2017-11-05 00:00:00.000
420627391.0904226,2017-11-06 00:00:00.000
435367365.11194026,2017-11-07 00:00:00.000
521628330.6785038,2017-11-08 00:00:00.000
545099200.0820798,2017-11-09 00:00:00.000
480955371.4655083,2017-11-10 00:00:00.000
537227866.4338233,2017-11-11 00:00:00.000
511983298.38096076,2017-11-12 00:00:00.000
547671087.9082556,2017-11-13 00:00:00.000
780362961.053093,2017-11-14 00:00:00.000
798978531.004959,2017-11-15 00:00:00.000
777338775.829763,2017-11-16 00:00:00.000
843604382.917452,2017-11-17 00:00:00.000
937590047.897031,2017-11-18 00:00:00.000
911472621.047999,2017-11-19 00:00:00.000
980023780.91273,2017-11-20 00:00:00.000
928569428.562146,2017-11-21 00:00:00.000
939374539.900494,2017-11-22 00:00:00.000
950988149.359796,2017-11-23 00:00:00.000
935607461.554804,2017-11-24 00:00:00.000
1010405651.46303,2017-11-25 00:00:00.000
1261481356.97871,2017-11-26 00:00:00.000
1437181333.59954,2017-11-27 00:00:00.000
1422141874.39354,2017-11-28 00:00:00.000
1375177418.92391,2017-11-29 00:00:00.000
1460555709.34785,2017-11-30 00:00:00.000
1656657333.14079,2017-12-01 00:00:00.000
2038238766.83159,2017-12-02 00:00:00.000
1871959261.2143,2017-12-03 00:00:00.000
2050596661.14505,2017-12-04 00:00:00.000
2271873542.8635,2017-12-05 00:00:00.000
2498815243.17559,2017-12-06 00:00:00.000
2273159083.09325,2017-12-07 00:00:00.000
2282000745.06163,2017-12-08 00:00:00.000
2162420023.57658,2017-12-09 00:00:00.000
2018793899.0976,2017-12-10 00:00:00.000
2331547596.22799,2017-12-11 00:00:00.000
2900217999.85511,2017-12-12 00:00:00.000
3866232720.46337,2017-12-13 00:00:00.000
4582474926.85535,2017-12-14 00:00:00.000
4360661041.49936,2017-12-15 00:00:00.000
4615661141.82987,2017-12-16 00:00:00.000
4430551268.16548,2017-12-17 00:00:00.000
4859866078.80548,2017-12-18 00:00:00.000
6352824382.55945,2017-12-19 00:00:00.000
5933245554.40895,2017-12-20 00:00:00.000
6054154962.56747,2017-12-21 00:00:00.000
4892289840.71399,2017-12-22 00:00:00.000
4786744889.31526,2017-12-23 00:00:00.000
4541515382.20993,2017-12-24 00:00:00.000
4537931643.77043,2017-12-25 00:00:00.000
4891744952.44793,2017-12-26 00:00:00.000
5030261458.8017,2017-12-27 00:00:00.000
5470120005.17076,2017-12-28 00:00:00.000
5513276620.7997,2017-12-29 00:00:00.000
4262853860.92278,2017-12-30 00:00:00.000
5159781007.60689,2017-12-31 00:00:00.000
4428201167.60274,2018-01-01 00:00:00.000
5504239082.02358,2018-01-02 00:00:00.000
5864935801.648773,2018-01-03 00:00:00.000
6830739948.855685,2018-01-04 00:00:00.000
5658765233.146178,2018-01-05 00:00:00.000
5880167373.024582,2018-01-06 00:00:00.000
6099479767.762308,2018-01-07 00:00:00.000
5857804415.504547,2018-01-08 00:00:00.000
5685411957.232013,2018-01-09 00:00:00.000
7328320250.118864,2018-01-10 00:00:00.000
7374060275.846529,2018-01-11 00:00:00.000
9994107608.14793,2018-01-12 00:00:00.000
11296921629.501423,2018-01-13 00:00:00.000
9597669436.355255,2018-01-14 00:00:00.000
9024250357.337833,2018-01-15 00:00:00.000
6737870073.754916,2018-01-16 00:00:00.000
7157986245.587546,2018-01-17 00:00:00.000
7480758891.80446,2018-01-18 00:00:00.000
7775141791.784244,2018-01-19 00:00:00.000
11223153629.494791,2018-01-20 00:00:00.000
9547858119.494568,2018-01-21 00:00:00.000
9548273014.285055,2018-01-22 00:00:00.000
8373101740.062737,2018-01-23 00:00:00.000
9290959036.950645,2018-01-24 00:00:00.000
9387601828.730097,2018-01-25 00:00:00.000
9472904896.493206,2018-01-26 00:00:00.000
9314619354.503584,2018-01-27 00:00:00.000
9578028867.181465,2018-01-28 00:00:00.000
8866908577.10427,2018-01-29 00:00:00.000
8833887658.387598,2018-01-30 00:05:19.614
7250665189.9207,2018-01-31 00:00:00.000
7783649450.186087,2018-02-01 00:00:00.000
6539361965.086966,2018-02-02 00:00:00.000
6248929605.271808,2018-02-03 00:00:00.000
6111897542.754411,2018-02-04 00:00:00.000
5635913916.003189,2018-02-05 00:00:00.000
4543180864.759182,2018-02-06 00:00:00.000
5388361123.086533,2018-02-07 00:00:00.000
4901634284.218452,2018-02-08 00:05:17.796
5422036967.351962,2018-02-09 00:00:00.000
6061197697.133652,2018-02-10 00:00:00.000
5965944518.473359,2018-02-11 00:00:00.000
5617321538.9332905,2018-02-12 00:00:00.000
6058930841.917848,2018-02-13 00:00:00.000
6029765281.052793,2018-02-14 00:00:00.000
6631447567.262826,2018-02-15 00:00:00.000
6765211083.9414015,2018-02-16 00:00:00.000
6601196814.4789,2018-02-17 00:00:00.000
6723398683.094851,2018-02-18 00:00:00.000
6297432599.3941555,2018-02-19 00:00:00.000
6417640682.957868,2018-02-20 00:00:00.000
6393876502.878721,2018-02-21 00:00:00.000
5491535368.750083,2018-02-22 00:00:00.000
5568917241.71095,2018-02-23 00:00:00.000
5850847971.325825,2018-02-24 00:00:00.000
5541899409.070447,2018-02-25 00:00:00.000
5380726142.57612,2018-02-26 00:00:00.000
5575262468.815396,2018-02-27 00:00:00.000
5919645742.652942,2018-02-28 00:00:00.000
5841756890.370968,2018-03-01 00:00:00.000
5612148909.533057,2018-03-02 00:00:00.000
5565255390.812287,2018-03-03 00:00:00.000
5391092089.411936,2018-03-04 00:00:00.000
5495972164.326086,2018-03-05 00:00:00.000
5522701554.060905,2018-03-06 00:00:00.000
5037408364.161643,2018-03-07 00:00:00.000
4628130940.558149,2018-03-08 00:00:00.000
4400414768.144652,2018-03-09 00:00:00.000
4235123092.4055448,2018-03-10 00:00:00.000
4152396767.454045,2018-03-11 00:00:00.000
4352726540.402116,2018-03-12 00:00:00.000
4135930421.807417,2018-03-13 00:00:00.000
4185602889.3588433,2018-03-14 00:00:00.000
3825196542.4273005,2018-03-15 00:00:00.000
3757995602.220555,2018-03-16 00:00:00.000
3708907000.1314535,2018-03-17 00:00:00.000
3402158665.2639837,2018-03-18 00:00:00.000
3400921314.288158,2018-03-19 00:00:00.000
4350569301.468718,2018-03-20 00:00:00.000
4427648646.308609,2018-03-21 00:00:00.000
5215370383.566101,2018-03-22 00:00:00.000
5201844346.139459,2018-03-23 00:00:00.000
5209695682.465857,2018-03-24 00:00:00.000
4882642814.112298,2018-03-25 00:00:00.000
4824371928.380931,2018-03-26 00:00:00.000
4417662064.729984,2018-03-27 00:00:00.000
4455747115.312938,2018-03-28 00:00:00.000
4713459765.264155,2018-03-29 00:00:00.000
4528501172.712924,2018-03-30 00:00:00.000
