MarketCap,Date
0.0,2022-06-05
0.0,2022-06-06
0.0,2022-06-07
0.0,2022-06-08
0.0,2022-06-09
0.0,2022-06-10
0.0,2022-06-11
0.0,2022-06-12
0.0,2022-06-13
0.0,2022-06-14
0.0,2022-06-15
0.0,2022-06-16
0.0,2022-06-17
0.0,2022-06-18
0.0,2022-06-19
0.0,2022-06-20
0.0,2022-06-21
0.0,2022-06-22
0.0,2022-06-23
0.0,2022-06-24
0.0,2022-06-25
0.0,2022-06-26
0.0,2022-06-27
0.0,2022-06-28
0.0,2022-06-29
0.0,2022-06-30
0.0,2022-07-01
0.0,2022-07-02
0.0,2022-07-03
0.0,2022-07-04
0.0,2022-07-05
0.0,2022-07-06
0.0,2022-07-07
0.0,2022-07-08
0.0,2022-07-09
0.0,2022-07-10
0.0,2022-07-11
0.0,2022-07-12
0.0,2022-07-13
0.0,2022-07-14
0.0,2022-07-15
0.0,2022-07-16
0.0,2022-07-17
0.0,2022-07-18
0.0,2022-07-19
0.0,2022-07-20
0.0,2022-07-21
0.0,2022-07-22
0.0,2022-07-23
0.0,2022-07-24
0.0,2022-07-25
0.0,2022-07-26
0.0,2022-07-27
11412375.463214977,2022-07-28
11078348.601978112,2022-07-29
10812695.322420755,2022-07-30
10632790.680322984,2022-07-31
10581934.650320081,2022-08-01
10372874.540416148,2022-08-02
10615868.293516038,2022-08-03
11046104.390718184,2022-08-04
11220765.312108519,2022-08-05
11426939.60622733,2022-08-06
13108331.870982857,2022-08-07
12989625.88807069,2022-08-08
12540467.373271437,2022-08-09
12369851.033615509,2022-08-10
12468763.658529617,2022-08-11
12256487.508969374,2022-08-12
12252770.928703552,2022-08-13
12166911.407509329,2022-08-14
11622042.499472836,2022-08-15
11423364.523509897,2022-08-16
10919404.801947085,2022-08-17
10673528.013755351,2022-08-18
9759936.430633254,2022-08-19
9230515.8113453,2022-08-20
9021038.073338388,2022-08-21
9154964.28804032,2022-08-22
8930926.380048957,2022-08-23
9024887.096660161,2022-08-24
9123756.269478606,2022-08-25
8977075.711360754,2022-08-26
8441776.176489417,2022-08-27
8583137.423744975,2022-08-28
8322149.821834833,2022-08-29
8019021.942931712,2022-08-30
7907482.724195101,2022-08-31
8558407.785539687,2022-09-01
8165761.151990506,2022-09-02
8318761.4721520385,2022-09-03
7944107.707088612,2022-09-04
7870122.5380161805,2022-09-05
7939018.750630494,2022-09-06
7559243.491859725,2022-09-07
7756657.2110712,2022-09-08
7357571.222255222,2022-09-09
7478355.582620453,2022-09-10
6892079.270627166,2022-09-11
6832582.773862028,2022-09-12
6722961.731071873,2022-09-13
6698777.444481773,2022-09-14
6445733.746072186,2022-09-15
6259257.616090152,2022-09-16
6121440.712205376,2022-09-17
6053987.764228218,2022-09-18
6102902.061047159,2022-09-19
5893458.212892893,2022-09-20
5971621.636389832,2022-09-21
5676825.052035075,2022-09-22
5707785.219304338,2022-09-23
5528939.529061564,2022-09-24
5528658.022029828,2022-09-25
5422563.45151829,2022-09-26
5222258.334819843,2022-09-27
5206654.276400244,2022-09-28
5103064.694668374,2022-09-29
4597434.77932321,2022-09-30
5453991.818906736,2022-10-01
5593977.00183329,2022-10-02
5320572.673906017,2022-10-03
5013557.796097909,2022-10-04
4702100.304853419,2022-10-05
5053969.422490196,2022-10-06
5247355.875999969,2022-10-07
5517165.557397146,2022-10-08
5373818.368347793,2022-10-09
5287769.786286237,2022-10-10
5024082.387488313,2022-10-11
4985654.740627782,2022-10-12
5114748.69178901,2022-10-13
5959154.76019432,2022-10-14
5982101.067338533,2022-10-15
5866420.983489392,2022-10-16
6127801.93189845,2022-10-17
6017016.929711181,2022-10-18
6207998.060871864,2022-10-19
6090020.127558076,2022-10-20
6018693.780331122,2022-10-21
5882126.150544737,2022-10-22
5724366.323609525,2022-10-23
5631005.755626165,2022-10-24
5921839.852602859,2022-10-25
6220717.280385826,2022-10-26
6100722.103727497,2022-10-27
5993790.134675791,2022-10-28
5850629.615456001,2022-10-29
5891152.128096092,2022-10-30
5963704.122479829,2022-10-31
6395086.700258079,2022-11-01
5952410.462911433,2022-11-02
5714307.151000215,2022-11-03
5645873.111367913,2022-11-04
6359246.175733537,2022-11-05
6107720.646437073,2022-11-06
6052815.760048668,2022-11-07
5932122.055290388,2022-11-08
5595290.854149413,2022-11-09
5271015.791621166,2022-11-10
5259276.34581703,2022-11-11
5104310.3938629925,2022-11-12
4972045.756233066,2022-11-13
4460376.987005686,2022-11-14
4544291.307286518,2022-11-15
4541794.768895516,2022-11-16
4460348.740238025,2022-11-17
4422857.963537034,2022-11-18
4458327.317714253,2022-11-19
4426217.705646286,2022-11-20
4303423.8858790705,2022-11-21
3932861.362511106,2022-11-22
3988053.6495178114,2022-11-23
3914232.209137572,2022-11-24
3887171.447058956,2022-11-25
3826636.4258819344,2022-11-26
3773452.8004686492,2022-11-27
3796382.0919068814,2022-11-28
3660739.650791479,2022-11-29
3649877.718733557,2022-11-30
3491925.1686730995,2022-12-01
3474160.6468285997,2022-12-02
3486001.9305163594,2022-12-03
3408273.024801466,2022-12-04
3488145.56658006,2022-12-05
3219526.6260838793,2022-12-06
3259638.9854481574,2022-12-07
3137745.6269605556,2022-12-08
3211684.22771203,2022-12-09
3236724.317295067,2022-12-10
3236013.0050744056,2022-12-11
3210947.30084777,2022-12-12
3184438.782328818,2022-12-13
3172437.097219503,2022-12-14
3153896.636370415,2022-12-15
3180295.0719111776,2022-12-16
2954125.947244278,2022-12-17
2926759.3494132333,2022-12-18
2705618.900992841,2022-12-19
2729326.4401565674,2022-12-20
3806018.8362802807,2022-12-21
3751808.9037093082,2022-12-22
3725767.330084476,2022-12-23
3753672.808066667,2022-12-24
3698407.517610931,2022-12-25
3669106.6779358434,2022-12-26
3713162.9046294778,2022-12-27
3502849.3146775807,2022-12-28
2967807.545624729,2022-12-29
2955855.291311974,2022-12-30
2957357.4306163723,2022-12-31
2936492.5762534384,2023-01-01
2936550.4280067584,2023-01-02
2930579.2805665205,2023-01-03
2927363.624558739,2023-01-04
2896846.769391943,2023-01-05
2890604.4508778434,2023-01-06
2897410.6950255884,2023-01-07
3017904.686296724,2023-01-08
3060149.0859729857,2023-01-09
3261009.2703403807,2023-01-10
3758466.2311395677,2023-01-11
3831361.6261137472,2023-01-12
4109995.3016826604,2023-01-13
4403883.088882198,2023-01-14
4579050.621088947,2023-01-15
