MarketCap,Date
65097.45141613584,2023-11-07
65097.45141613584,2023-11-08
64400.83375875393,2023-11-09
73467.86955042643,2023-11-10
93560.05546079227,2023-11-11
99258.03107115239,2023-11-12
88463.08199751611,2023-11-13
90708.27562650463,2023-11-14
85166.98126276975,2023-11-15
92548.56805286398,2023-11-16
97306.76293757638,2023-11-17
96792.73139841069,2023-11-18
98400.31626414727,2023-11-19
96256.74625361686,2023-11-20
95996.1549959662,2023-11-21
96929.07098310838,2023-11-22
84627.44029956823,2023-11-23
75685.82961946506,2023-11-24
76584.80548550076,2023-11-25
73481.62087802743,2023-11-26
80295.51134259648,2023-11-27
91858.39906893918,2023-11-28
106381.54689399748,2023-11-29
96071.0902100289,2023-11-30
97628.52590243821,2023-12-01
85124.868623157,2023-12-02
93399.23866953782,2023-12-03
73308.92975856116,2023-12-04
84917.81830687527,2023-12-05
110099.58927717348,2023-12-06
111441.64884226621,2023-12-07
133991.30668404288,2023-12-08
94128.61338974278,2023-12-09
112528.87516422411,2023-12-10
102259.26837440302,2023-12-11
95983.79362288561,2023-12-12
95695.51296449895,2023-12-13
98682.9196531635,2023-12-14
103664.99090120057,2023-12-15
94025.61842221978,2023-12-16
94105.03653686479,2023-12-17
85675.63493749914,2023-12-18
73249.1212861925,2023-12-19
75990.86093725533,2023-12-20
76886.05093880228,2023-12-21
77206.26591805041,2023-12-22
79805.65244345229,2023-12-23
78050.99302241788,2023-12-24
78176.68672841863,2023-12-25
76578.43270969254,2023-12-26
74903.18407902298,2023-12-27
74653.08108028794,2023-12-28
78888.43352445672,2023-12-29
77003.82652647563,2023-12-30
77715.98443337898,2023-12-31
77715.98443337898,2024-01-01
79168.11038372148,2024-01-02
89323.40834183546,2024-01-03
89634.42485739353,2024-01-04
124920.63446581118,2024-01-05
123399.46676643007,2024-01-06
118521.22834243238,2024-01-07
82650.64690658594,2024-01-08
114127.79570368906,2024-01-09
89015.90087323237,2024-01-10
75153.75467722678,2024-01-11
67775.35510076839,2024-01-12
47593.6193900001,2024-01-13
67934.36398309098,2024-01-14
78778.78718345288,2024-01-15
78139.91476917511,2024-01-16
88532.83378980601,2024-01-17
75975.49113621868,2024-01-18
74758.86379878143,2024-01-19
66514.48557589663,2024-01-20
51256.266493996205,2024-01-21
55539.379347877155,2024-01-22
77149.76246332834,2024-01-23
98418.45369267635,2024-01-24
103307.8420095362,2024-01-25
144022.86554273686,2024-01-26
107318.05240797257,2024-01-27
114012.57016254021,2024-01-28
105880.56072745849,2024-01-29
114834.40276624938,2024-01-30
122535.82781293216,2024-01-31
104322.47225171067,2024-02-01
112876.77889871137,2024-02-02
111179.95244114421,2024-02-03
111345.21667254355,2024-02-04
114949.06108115171,2024-02-05
119637.85004914942,2024-02-06
125773.31880182844,2024-02-07
125467.5102151795,2024-02-08
124775.81931178759,2024-02-09
129378.37987911968,2024-02-10
129378.37987911968,2024-02-11
129840.17550826342,2024-02-12
134726.4027427841,2024-02-13
134178.38134403827,2024-02-14
150032.86144797926,2024-02-15
150419.6002268926,2024-02-16
146544.6986540588,2024-02-17
142001.5225228635,2024-02-18
141400.9368161823,2024-02-19
167080.12844698687,2024-02-20
169054.4579820875,2024-02-21
142137.1940701189,2024-02-22
143988.27072230913,2024-02-23
138270.00056098864,2024-02-24
150855.1172722551,2024-02-25
162045.77921339916,2024-02-26
173917.27255261684,2024-02-27
179610.65289390384,2024-02-28
165961.35240018062,2024-02-29
165873.81129861684,2024-03-01
170659.70191447996,2024-03-02
139776.52447283553,2024-03-03
149250.20047528177,2024-03-04
150601.61054612903,2024-03-05
137840.09331699606,2024-03-06
132174.4204523512,2024-03-07
131426.49624147112,2024-03-08
145643.1210142244,2024-03-09
146691.77165173355,2024-03-10
135385.2545145976,2024-03-11
134345.898028388,2024-03-12
125135.21398678409,2024-03-13
125723.60636586124,2024-03-14
111209.16478760024,2024-03-15
114800.29167571756,2024-03-16
108998.64488009247,2024-03-17
111464.47689313417,2024-03-18
109037.71547324429,2024-03-19
103758.03646654438,2024-03-20
189222.66676475437,2024-03-21
204941.4898378988,2024-03-22
193900.11874447545,2024-03-23
194093.00844450263,2024-03-24
197489.70748765135,2024-03-25
203495.1019998328,2024-03-26
