MarketCap,Date
61334.0,2014-04-11 00:00:00.000
73164.0,2014-04-12 00:00:00.000
61705.0,2014-04-13 00:00:00.000
61634.0,2014-04-14 00:00:00.000
59341.0,2014-04-15 00:00:00.000
62493.0,2014-04-16 00:00:00.000
52798.0,2014-04-17 00:00:00.000
59801.0,2014-04-18 00:00:00.000
54590.0,2014-04-19 00:00:00.000
58448.0,2014-04-20 00:00:00.000
58163.0,2014-04-21 00:00:00.000
56203.0,2014-04-22 00:00:00.000
51510.0,2014-04-23 00:00:00.000
47355.0,2014-04-24 00:00:00.000
42539.0,2014-04-25 00:00:00.000
58863.0,2014-04-26 00:00:00.000
54245.0,2014-04-27 00:00:00.000
53698.0,2014-04-28 00:00:00.000
54612.0,2014-04-29 00:00:00.000
115937.0,2014-04-30 00:00:00.000
129938.0,2014-05-01 00:00:00.000
108725.0,2014-05-02 00:00:00.000
122591.0,2014-05-03 00:00:00.000
108942.0,2014-05-04 00:00:00.000
88937.0,2014-05-05 00:00:00.000
89078.0,2014-05-06 00:00:00.000
82817.0,2014-05-07 00:00:00.000
90638.0,2014-05-08 00:00:00.000
75965.0,2014-05-09 00:00:00.000
81720.0,2014-05-10 00:00:00.000
73325.0,2014-05-11 00:00:00.000
75328.0,2014-05-12 00:00:00.000
78581.0,2014-05-13 00:00:00.000
80549.0,2014-05-14 00:00:00.000
75709.0,2014-05-15 00:00:00.000
69618.0,2014-05-16 00:00:00.000
74472.0,2014-05-17 00:00:00.000
75820.0,2014-05-18 00:00:00.000
73251.0,2014-05-19 00:00:00.000
69857.0,2014-05-20 00:00:00.000
77934.0,2014-05-21 00:00:00.000
69380.0,2014-05-22 00:00:00.000
73039.0,2014-05-23 00:00:00.000
75513.0,2014-05-24 00:00:00.000
75970.0,2014-05-25 00:00:00.000
75847.0,2014-05-26 00:00:00.000
71739.0,2014-05-27 00:00:00.000
76525.0,2014-05-28 00:00:00.000
95741.0,2014-05-29 00:00:00.000
170225.0,2014-05-30 00:00:00.000
152830.0,2014-05-31 00:00:00.000
132454.0,2014-06-01 00:00:00.000
163810.0,2014-06-02 00:00:00.000
145621.0,2014-06-03 00:00:00.000
142950.0,2014-06-04 00:00:00.000
145154.0,2014-06-05 00:00:00.000
134762.0,2014-06-06 00:00:00.000
127094.0,2014-06-07 00:00:00.000
113857.0,2014-06-08 00:00:00.000
105085.1958727725,2014-06-09 00:00:00.000
94532.1785519996,2014-06-10 00:00:00.000
94180.66818326867,2014-06-11 00:00:00.000
86942.26893681876,2014-06-12 00:00:00.000
90029.295085656,2014-06-13 00:00:00.000
100053.2686324122,2014-06-14 00:00:00.000
93224.568561768,2014-06-15 00:00:00.000
93754.6548980672,2014-06-16 00:00:00.000
84672.36410313543,2014-06-17 00:00:00.000
87009.00940609221,2014-06-18 00:00:00.000
88726.47437263404,2014-06-19 00:00:00.000
88385.34255945911,2014-06-20 00:00:00.000
88742.63422531214,2014-06-21 00:00:00.000
84841.72589584862,2014-06-22 00:00:00.000
70752.30594068783,2014-06-23 00:00:00.000
68717.22602001371,2014-06-24 00:00:00.000
58663.31752512888,2014-06-25 00:00:00.000
59082.225218123385,2014-06-26 00:00:00.000
81120.09751253878,2014-06-27 00:00:00.000
74324.19782546548,2014-06-28 00:00:00.000
75838.19461292832,2014-06-29 00:00:00.000
71012.71903833051,2014-06-30 00:00:00.000
65428.21198071125,2014-07-01 00:00:00.000
65501.65745919903,2014-07-02 00:00:00.000
74940.49317807196,2014-07-03 00:00:00.000
74086.32129491774,2014-07-04 00:00:00.000
62605.77723440989,2014-07-05 00:00:00.000
64476.657714473135,2014-07-06 00:00:00.000
56383.67123959558,2014-07-07 00:00:00.000
54601.954936500144,2014-07-08 00:00:00.000
60116.54700277997,2014-07-09 00:00:00.000
55599.09303635227,2014-07-10 00:00:00.000
47313.09565411631,2014-07-11 00:00:00.000
41015.29132070952,2014-07-12 00:00:00.000
34322.66299158225,2014-07-13 00:00:00.000
25784.275340144104,2014-07-14 00:00:00.000
30903.128074756027,2014-07-15 00:00:00.000
28922.1093240468,2014-07-16 00:00:00.000
36342.57362996378,2014-07-17 00:00:00.000
