MarketCap,Date
0.0,2020-08-18
0.0,2020-08-19
0.0,2020-08-20
0.0,2020-08-21
10263940.684458373,2020-08-22
8495158.010683542,2020-08-23
9291574.753627071,2020-08-24
10224131.373989008,2020-08-25
20882898.3049172,2020-08-26
27172343.926456843,2020-08-27
23728893.355465516,2020-08-28
24184354.611152384,2020-08-29
31455471.498863116,2020-08-30
56420075.95276537,2020-08-31
90141147.76721928,2020-09-01
104393946.45189206,2020-09-02
94554586.67058584,2020-09-03
61287967.02384865,2020-09-04
35258159.01589973,2020-09-05
17052783.96965598,2020-09-06
21932899.955318168,2020-09-07
20607088.171411935,2020-09-08
16808608.71991737,2020-09-09
18829944.260135055,2020-09-10
24422013.751282226,2020-09-11
21660591.56378657,2020-09-12
20380974.956966996,2020-09-13
17040651.455882892,2020-09-14
15648085.426086796,2020-09-15
13362522.527603427,2020-09-16
11780344.021386841,2020-09-17
11131340.525839472,2020-09-18
13618214.357146388,2020-09-19
19175634.840278734,2020-09-20
18759008.5545945,2020-09-21
18353335.42533211,2020-09-22
0.0,2020-09-23
11657655.470904911,2020-09-24
14328111.349814331,2020-09-25
14817333.358162472,2020-09-26
14301816.103876648,2020-09-27
11952113.599228747,2020-09-28
12174275.288700815,2020-09-29
8870898.326819532,2020-09-30
9131580.450159358,2020-10-01
8485166.834851239,2020-10-02
7738310.403964522,2020-10-03
7152932.953332725,2020-10-04
5980960.232578046,2020-10-05
5528297.564899023,2020-10-06
4880308.504773055,2020-10-07
5029798.56961856,2020-10-08
5281424.8308842415,2020-10-09
5608357.361325475,2020-10-10
5466789.638103281,2020-10-11
5021455.068557846,2020-10-12
4957305.954347054,2020-10-13
5425927.1907986095,2020-10-14
5306860.912951128,2020-10-15
5203808.323512537,2020-10-16
4905009.431098179,2020-10-17
4870835.86809312,2020-10-18
4499797.987937351,2020-10-19
4611995.05345457,2020-10-20
4194780.718413027,2020-10-21
4036828.206462112,2020-10-22
3540778.1739811487,2020-10-23
2901551.4925536034,2020-10-24
2967983.2034403053,2020-10-25
2785205.2978709517,2020-10-26
2473610.2480350984,2020-10-27
2418030.4307667487,2020-10-28
2326879.011374777,2020-10-29
2484199.282290418,2020-10-30
2353137.513760245,2020-10-31
2269262.7916491386,2020-11-01
2357757.39788123,2020-11-02
2470863.6388067924,2020-11-03
2364387.199557589,2020-11-04
2366771.2501778677,2020-11-05
2384437.3035763623,2020-11-06
2900290.7435688144,2020-11-07
3210024.5519811707,2020-11-08
3240762.663180179,2020-11-09
3785018.674235365,2020-11-10
4770942.184574173,2020-11-11
4696864.6309869,2020-11-12
4341727.823549167,2020-11-13
5752276.271381233,2020-11-14
6140753.81333797,2020-11-15
6276106.596530067,2020-11-16
5846637.1087642275,2020-11-17
5341450.895404751,2020-11-18
5513181.1354277395,2020-11-19
4880514.192108959,2020-11-20
6201413.421386226,2020-11-21
6676239.817950971,2020-11-22
6260992.589296691,2020-11-23
6390712.834491528,2020-11-24
6086193.714041446,2020-11-25
5945320.028634593,2020-11-26
5687938.924075214,2020-11-27
6639720.283509466,2020-11-28
8498705.156648317,2020-11-29
7573717.664838067,2020-11-30
7211433.604725822,2020-12-01
7157898.389374421,2020-12-02
8234201.422436596,2020-12-03
7355314.701103495,2020-12-04
5829062.603049024,2020-12-05
6782050.764187067,2020-12-06
7226261.161820661,2020-12-07
11555662.076103466,2020-12-08
9859815.86375451,2020-12-09
10954331.711113224,2020-12-10
11827728.466868352,2020-12-11
12762814.115992304,2020-12-12
14604021.542261133,2020-12-13
15406520.658569612,2020-12-14
15168530.692663616,2020-12-15
