MarketCap,Date
0.0,2021-03-31
0.0,2021-04-01
0.0,2021-04-02
0.0,2021-04-03
0.0,2021-04-04
0.0,2021-04-05
0.0,2021-04-06
0.0,2021-04-07
18524474.376926057,2021-04-08
23827503.644748718,2021-04-09
23806211.011598848,2021-04-10
26315571.94872513,2021-04-11
33654787.61236994,2021-04-12
46467248.11977773,2021-04-13
34734855.37650937,2021-04-14
30385596.632471718,2021-04-15
27235484.655063186,2021-04-16
25069098.91592971,2021-04-17
25960028.339827944,2021-04-18
23495782.27186389,2021-04-19
27111699.909567125,2021-04-20
30809482.04651102,2021-04-21
30273573.146660667,2021-04-22
26997222.275834084,2021-04-23
24403103.57110674,2021-04-24
20923942.961485915,2021-04-25
19991057.12956758,2021-04-26
19618283.10366115,2021-04-27
18934312.739397958,2021-04-28
18347212.219570488,2021-04-29
19367545.73857477,2021-04-30
22445647.697810642,2021-05-01
22758527.865699057,2021-05-02
22598887.70123859,2021-05-03
23420895.89553334,2021-05-04
17404810.010645732,2021-05-05
19825063.61361908,2021-05-06
21881490.067570772,2021-05-07
23328727.902623832,2021-05-08
24846959.785457917,2021-05-09
24850156.970197666,2021-05-10
21410642.587149534,2021-05-11
23428309.257075652,2021-05-12
19958341.00165213,2021-05-13
18439658.150168702,2021-05-14
21708910.13103236,2021-05-15
19865665.515019957,2021-05-16
19880129.03835159,2021-05-17
18915536.439661168,2021-05-18
20536280.233253382,2021-05-19
13436498.62165816,2021-05-20
14859913.79026727,2021-05-21
11145164.92747571,2021-05-22
9136158.393447159,2021-05-23
7440800.409845605,2021-05-24
10380505.887321956,2021-05-25
9902541.653561216,2021-05-26
10670165.688246313,2021-05-27
10541986.070480745,2021-05-28
8461784.42968608,2021-05-29
7907817.688788613,2021-05-30
7952696.700609767,2021-05-31
8985125.729071675,2021-06-01
8745439.354828449,2021-06-02
9557840.260791773,2021-06-03
10084747.13816859,2021-06-04
8791846.806180399,2021-06-05
8078061.752546482,2021-06-06
8896618.197450357,2021-06-07
9387101.15612385,2021-06-08
8469638.732334081,2021-06-09
8781633.83407468,2021-06-10
7952889.072553977,2021-06-11
7287288.61270922,2021-06-12
7168559.625234996,2021-06-13
7733265.754457392,2021-06-14
7941331.4256135095,2021-06-15
7630509.149992846,2021-06-16
7063115.7150236415,2021-06-17
7273715.556763581,2021-06-18
6570267.115716309,2021-06-19
6719813.046724577,2021-06-20
6827947.835938011,2021-06-21
5416066.255996704,2021-06-22
5085892.4401018005,2021-06-23
5546173.8550408445,2021-06-24
5707857.167397174,2021-06-25
6360881.754412631,2021-06-26
6943943.653774229,2021-06-27
7751074.802048662,2021-06-28
8690585.9878045,2021-06-29
10329193.1201467,2021-06-30
9986514.857233265,2021-07-01
9558543.246530062,2021-07-02
9958404.06828551,2021-07-03
10613277.114158658,2021-07-04
10568791.146483827,2021-07-05
9626867.984949742,2021-07-06
10370161.345686004,2021-07-07
10448543.731632367,2021-07-08
10151915.187970845,2021-07-09
10624222.292884357,2021-07-10
10759765.195650535,2021-07-11
11792851.011124285,2021-07-12
10475953.496832257,2021-07-13
9746365.634516083,2021-07-14
9380912.736683657,2021-07-15
9462045.283208318,2021-07-16
8882957.42051361,2021-07-17
9363352.636175776,2021-07-18
8930885.882475352,2021-07-19
7928299.641226135,2021-07-20
6798381.138199484,2021-07-21
18472072.16263996,2021-07-22
19129954.150438968,2021-07-23
19724880.425448157,2021-07-24
20280896.2245112,2021-07-25
20658548.782761067,2021-07-26
21191729.86963504,2021-07-27
22089670.572663933,2021-07-28
22386792.418468483,2021-07-29
23652621.621207636,2021-07-30
24951552.948271308,2021-07-31
26240139.998642076,2021-08-01
25409397.78527457,2021-08-02
25038472.374097228,2021-08-03
23088936.341298133,2021-08-04
16337567.12430734,2021-08-05
16748854.60120942,2021-08-06
16506212.83963125,2021-08-07
16242152.405420855,2021-08-08
14357865.48344412,2021-08-09
15214131.484829813,2021-08-10
15549253.170575494,2021-08-11
15899694.188175878,2021-08-12
14617820.538503727,2021-08-13
14935119.409570917,2021-08-14
14887036.226227598,2021-08-15
14359002.650140228,2021-08-16
15172561.914281674,2021-08-17
14117954.53291874,2021-08-18
14099655.666804973,2021-08-19
15669924.879388595,2021-08-20
19441400.465833317,2021-08-21
21801166.37996037,2021-08-22
21755442.340221807,2021-08-23
20581642.864513513,2021-08-24
18806252.523169685,2021-08-25
19477259.348120105,2021-08-26
18655132.372096006,2021-08-27
19774496.30560186,2021-08-28
20452707.44172174,2021-08-29
20726703.550688785,2021-08-30
24227345.43252541,2021-08-31
23224645.63281759,2021-09-01
24350165.00165125,2021-09-02
24762958.54215076,2021-09-03
26458598.317537334,2021-09-04
32459865.66445304,2021-09-05
32732470.83812667,2021-09-06
39331258.248199925,2021-09-07
35829533.272733815,2021-09-08
38485342.346272685,2021-09-09
37960447.638354704,2021-09-10
33767572.50378606,2021-09-11
33633178.83075024,2021-09-12
32915213.536685605,2021-09-13
30164553.793060385,2021-09-14
28822957.67685131,2021-09-15
32224235.683289237,2021-09-16
31291394.266686182,2021-09-17
35297408.61312984,2021-09-18
45943437.12517071,2021-09-19
59481293.682120755,2021-09-20
55150281.502718545,2021-09-21
52821021.11301672,2021-09-22
99800964.58126363,2021-09-23
86561139.68677747,2021-09-24
93375369.80715336,2021-09-25
89571938.92176852,2021-09-26
84464814.42717353,2021-09-27
72040555.99695343,2021-09-28
70512879.8423373,2021-09-29
71100331.46843004,2021-09-30
78525290.83381101,2021-10-01
106155109.0432955,2021-10-02
106939114.43866315,2021-10-03
109539592.6622318,2021-10-04
117968572.55425492,2021-10-05
167009840.20767498,2021-10-06
182166828.44108948,2021-10-07
202810192.8656472,2021-10-08
188979933.38703328,2021-10-09
257485974.23379222,2021-10-10
244569776.95629603,2021-10-11
309129110.23391885,2021-10-12
245343968.27198777,2021-10-13
229050511.10335192,2021-10-14
211771779.21123588,2021-10-15
252469521.2897299,2021-10-16
248219786.7804557,2021-10-17
328051376.20111805,2021-10-18
289814939.2383807,2021-10-19
337379223.0110878,2021-10-20
360823023.57101125,2021-10-21
375488372.6057674,2021-10-22
357608882.2657331,2021-10-23
392842723.5296439,2021-10-24
383680005.2771679,2021-10-25
373117451.28537166,2021-10-26
320961989.32070905,2021-10-27
316312420.783015,2021-10-28
339766557.3739819,2021-10-29
279418999.60663134,2021-10-30
287791089.2350214,2021-10-31
332113132.7630282,2021-11-01
413408933.2497736,2021-11-02
503924641.8929953,2021-11-03
531460027.6585005,2021-11-04
608809876.7852638,2021-11-05
630450022.9128817,2021-11-06
582967470.2098465,2021-11-07
521632859.1506005,2021-11-08
454585394.86426365,2021-11-09
448151207.7143757,2021-11-10
380812206.6625537,2021-11-11
379063155.5127242,2021-11-12
337239131.16640276,2021-11-13
372750658.7379818,2021-11-14
328737325.8345776,2021-11-15
302758731.51005465,2021-11-16
283543765.5940778,2021-11-17
263312532.80174527,2021-11-18
219811201.59933665,2021-11-19
304366983.877108,2021-11-20
282653798.70498747,2021-11-21
252305694.19233426,2021-11-22
210875073.96502817,2021-11-23
237380980.40854257,2021-11-24
204871408.94075894,2021-11-25
212336709.2510303,2021-11-26
162424483.22386223,2021-11-27
167247854.70979077,2021-11-28
155678683.87911552,2021-11-29
171769230.01129067,2021-11-30
196099759.5764818,2021-12-01
198511820.75625482,2021-12-02
192029702.81245604,2021-12-03
174822957.9362107,2021-12-04
146883726.79370368,2021-12-05
123027943.50981596,2021-12-06
146260485.19575533,2021-12-07
160655480.35135332,2021-12-08
182762948.3243865,2021-12-09
142597238.94548795,2021-12-10
130465575.65683435,2021-12-11
129469814.50313771,2021-12-12
127054616.90346034,2021-12-13
111123452.44802085,2021-12-14
110791027.12728652,2021-12-15
134327797.37749672,2021-12-16
123604753.10382926,2021-12-17
115752449.41880456,2021-12-18
130167483.99818887,2021-12-19
142227234.5511307,2021-12-20
135183748.30569002,2021-12-21
155532647.7852593,2021-12-22
215747618.76601624,2021-12-23
222004182.49302873,2021-12-24
218323238.0867334,2021-12-25
232423535.67388853,2021-12-26
244469768.76755953,2021-12-27
279361748.5860418,2021-12-28
234469646.5592936,2021-12-29
204331158.52061275,2021-12-30
221113524.84236804,2021-12-31
231372510.2731312,2022-01-01
266195332.9756719,2022-01-02
246203877.6274561,2022-01-03
244217023.0232253,2022-01-04
231910851.65771115,2022-01-05
190032460.58174032,2022-01-06
175505885.3790461,2022-01-07
147172396.43345988,2022-01-08
146002021.96332505,2022-01-09
157774020.59967124,2022-01-10
148643036.1627234,2022-01-11
173440882.05618936,2022-01-12
200463809.03448743,2022-01-13
225055828.53075522,2022-01-14
212660048.13073778,2022-01-15
198031117.67838395,2022-01-16
210008540.49346042,2022-01-17
168788041.42369094,2022-01-18
162550749.06200826,2022-01-19
148140271.7899061,2022-01-20
145880255.09412408,2022-01-21
110017394.98774116,2022-01-22
111504288.1107695,2022-01-23
109668961.73832487,2022-01-24
98311751.93121776,2022-01-25
104204820.51931286,2022-01-26
81889525.70156452,2022-01-27
46271585.7007473,2022-01-28
65201514.08119105,2022-01-29
78660163.29204552,2022-01-30
68909901.48962551,2022-01-31
67979964.94673328,2022-02-01
63320670.837510176,2022-02-02
52342811.301094785,2022-02-03
54652531.04194842,2022-02-04
60241003.18827099,2022-02-05
59520748.133846514,2022-02-06
57065730.48229454,2022-02-07
59897035.09543912,2022-02-08
55170226.09415054,2022-02-09
51920377.231890626,2022-02-10
49448727.75121914,2022-02-11
40970706.09860882,2022-02-12
37353670.16871247,2022-02-13
37613089.044613026,2022-02-14
37020213.54308085,2022-02-15
45742234.71004341,2022-02-16
49586463.740541734,2022-02-17
41014294.139092736,2022-02-18
42847877.57339659,2022-02-19
42567910.768601395,2022-02-20
38874475.4439273,2022-02-21
36562798.015661284,2022-02-22
36299242.6427863,2022-02-23
36004897.836397536,2022-02-24
32535804.968308564,2022-02-25
33692985.08188893,2022-02-26
33026900.034502614,2022-02-27
28209977.500252265,2022-02-28
29862903.80426696,2022-03-01
29852853.97476494,2022-03-02
30815767.78450953,2022-03-03
28702397.18613801,2022-03-04
26299625.211279217,2022-03-05
26347972.45825766,2022-03-06
22215580.844027508,2022-03-07
20242549.51089052,2022-03-08
19906240.260220066,2022-03-09
20937939.967043355,2022-03-10
18783719.325555667,2022-03-11
17262490.153926764,2022-03-12
17329738.729995213,2022-03-13
16223937.168969335,2022-03-14
15966926.770126376,2022-03-15
19242712.013170566,2022-03-16
32629444.759170108,2022-03-17
35106956.805514574,2022-03-18
36030311.40580247,2022-03-19
35249656.97887866,2022-03-20
30848353.614932146,2022-03-21
30243204.80641833,2022-03-22
31261719.669325102,2022-03-23
29648347.18460338,2022-03-24
29168179.030071605,2022-03-25
28088976.045982137,2022-03-26
28128722.120289493,2022-03-27
29908006.692233443,2022-03-28
30571777.98862302,2022-03-29
31026449.26773477,2022-03-30
30180406.71110248,2022-03-31
28902528.55745013,2022-04-01
29302966.486228134,2022-04-02
27577955.57381966,2022-04-03
28426571.84249382,2022-04-04
28771963.615567602,2022-04-05
26170418.39158071,2022-04-06
23397920.860099122,2022-04-07
23807731.069654804,2022-04-08
23222906.19905586,2022-04-09
