MarketCap,Date
0.0,2023-10-28
0.0,2023-10-29
0.0,2023-10-30
0.0,2023-10-31
0.0,2023-11-01
0.0,2023-11-02
0.0,2023-11-03
0.0,2023-11-04
0.0,2023-11-05
0.0,2023-11-06
0.0,2023-11-07
0.0,2023-11-08
0.0,2023-11-09
0.0,2023-11-10
0.0,2023-11-11
0.0,2023-11-12
0.0,2023-11-13
182408.27501697495,2023-11-14
178327.79548373487,2023-11-15
190628.5193807246,2023-11-16
191569.3107803082,2023-11-17
193739.2111237844,2023-11-18
203423.5084641268,2023-11-19
221999.032738924,2023-11-20
199722.5730734074,2023-11-21
208559.5730141902,2023-11-22
239890.4348052396,2023-11-23
275138.947952615,2023-11-24
303462.4352006928,2023-11-25
369931.1915602868,2023-11-26
316067.523548459,2023-11-27
291665.1150351382,2023-11-28
323391.7922211274,2023-11-29
320795.0745775234,2023-11-30
396344.1868035818,2023-12-01
465801.16517221485,2023-12-02
564489.2755984757,2023-12-03
610513.5098815386,2023-12-04
597938.8986136126,2023-12-05
557126.4318765814,2023-12-06
482670.8609608884,2023-12-07
443165.94247829367,2023-12-08
286467.00243018,2023-12-09
324488.35237708525,2023-12-10
345420.34526137786,2023-12-11
318968.87312997377,2023-12-12
279692.7728098487,2023-12-13
279559.6548938985,2023-12-14
261640.93593737995,2023-12-15
250029.39104754766,2023-12-16
269787.7391864311,2023-12-17
261442.8651773038,2023-12-18
290119.93510094425,2023-12-19
421231.4008203556,2023-12-20
366576.5370935099,2023-12-21
343501.13152026606,2023-12-22
407139.5838647433,2023-12-23
396452.0335455369,2023-12-24
418030.69974809256,2023-12-25
407735.08170773514,2023-12-26
387618.47871650226,2023-12-27
380226.26051256515,2023-12-28
376748.69330039265,2023-12-29
366888.30119229143,2023-12-30
387294.4131837762,2023-12-31
422809.47767611704,2024-01-01
438696.314133038,2024-01-02
501979.8592770608,2024-01-03
464998.6383614736,2024-01-04
456335.6383457198,2024-01-05
354421.21304429,2024-01-06
350693.94297160045,2024-01-07
343772.6373400189,2024-01-08
364424.80695815664,2024-01-09
533411.1825065074,2024-01-10
482533.45513204834,2024-01-11
598025.8760892642,2024-01-12
550772.9129851529,2024-01-13
606296.8529953501,2024-01-14
566444.1812723936,2024-01-15
563772.0037737015,2024-01-16
633496.8649279731,2024-01-17
629373.7563809718,2024-01-18
612503.8862299923,2024-01-19
560722.3488555383,2024-01-20
553362.8794909441,2024-01-21
558851.6518684163,2024-01-22
530801.4463888503,2024-01-23
496766.93441766826,2024-01-24
520185.9424447375,2024-01-25
462839.5527715686,2024-01-26
484521.45523649926,2024-01-27
871280.4112149548,2024-01-28
841104.7633471714,2024-01-29
797186.3381892735,2024-01-30
783205.5338640888,2024-01-31
719333.1728645377,2024-02-01
697716.5042589164,2024-02-02
604860.0409781224,2024-02-03
577829.9228128946,2024-02-04
575845.3343729292,2024-02-05
572952.705908034,2024-02-06
592268.8049889683,2024-02-07
586863.5731735522,2024-02-08
620938.0854012929,2024-02-09
624793.6331280243,2024-02-10
606897.6990377324,2024-02-11
599282.5571296926,2024-02-12
628652.5648519297,2024-02-13
621737.9717651991,2024-02-14
638470.7162757617,2024-02-15
660018.5069457032,2024-02-16
650785.1879766904,2024-02-17
808534.4653788162,2024-02-18
973739.0076591561,2024-02-19
893790.9802305759,2024-02-20
907548.6055450061,2024-02-21
884521.05779422,2024-02-22
1069119.4335467515,2024-02-23
1006173.5661718708,2024-02-24
885520.008798613,2024-02-25
915169.3137309216,2024-02-26
1018794.5173875428,2024-02-27
1072764.3770332152,2024-02-28
1109845.3486763637,2024-02-29
1160984.6357879837,2024-03-01
983397.3264860122,2024-03-02
977189.2408076181,2024-03-03
993241.1844939489,2024-03-04
945485.809254999,2024-03-05
904723.5661551027,2024-03-06
950077.6315953089,2024-03-07
978805.5674649552,2024-03-08
972661.5258052995,2024-03-09
962157.3140213188,2024-03-10
1401330.44606179,2024-03-11
2381064.0247915043,2024-03-12
1973999.760932903,2024-03-13
2293683.509978923,2024-03-14
2322855.3711550026,2024-03-15
2069341.2964408034,2024-03-16
1773265.3297030383,2024-03-17
1919370.1139903616,2024-03-18
1950619.9481833603,2024-03-19
1717306.6449382994,2024-03-20
1923759.3540382972,2024-03-21
1806790.700829683,2024-03-22
1690376.4233694647,2024-03-23
1646678.1024916426,2024-03-24
1631222.0875203123,2024-03-25
1684692.9164574589,2024-03-26
