MarketCap,Date
0.0,2022-04-10
0.0,2022-04-11
0.0,2022-04-12
0.0,2022-04-13
0.0,2022-04-14
0.0,2022-04-15
0.0,2022-04-16
0.0,2022-04-17
0.0,2022-04-18
0.0,2022-04-19
0.0,2022-04-20
0.0,2022-04-21
0.0,2022-04-22
0.0,2022-04-23
0.0,2022-04-24
0.0,2022-04-25
0.0,2022-04-26
0.0,2022-04-27
0.0,2022-04-28
0.0,2022-04-29
0.0,2022-04-30
0.0,2022-05-01
0.0,2022-05-02
0.0,2022-05-03
0.0,2022-05-04
0.0,2022-05-05
1304667.7920240029,2022-05-06
1303277.5991773058,2022-05-07
1299361.2982633784,2022-05-08
1175791.822486251,2022-05-09
1180428.1015495982,2022-05-10
1178574.2410013832,2022-05-11
1173350.3207676315,2022-05-12
1164301.8701052733,2022-05-13
1170895.8588861425,2022-05-14
1137163.5020761322,2022-05-15
1131979.552799707,2022-05-16
1134556.1624844319,2022-05-17
1135394.1091691442,2022-05-18
1129427.8549908942,2022-05-19
1132040.5650715162,2022-05-20
1130836.6926490196,2022-05-21
1129833.1917499367,2022-05-22
1126860.1715031506,2022-05-23
1126142.2973769358,2022-05-24
1126896.4176851152,2022-05-25
1128227.7295618802,2022-05-26
1130435.5562126623,2022-05-27
1124173.6344351752,2022-05-28
1126380.7169517127,2022-05-29
1128930.269397928,2022-05-30
1124109.8600857926,2022-05-31
1127663.350516392,2022-06-01
1128576.5236950652,2022-06-02
1123387.619046972,2022-06-03
1121491.1254217091,2022-06-04
1123566.8995295025,2022-06-05
1125229.0111702203,2022-06-06
1120486.1638501526,2022-06-07
1113559.8646984661,2022-06-08
1113007.7853936877,2022-06-09
1118241.3047615949,2022-06-10
1121684.6005717004,2022-06-11
1123770.6832397077,2022-06-12
1128978.1261692962,2022-06-13
1114692.5287766252,2022-06-14
1116507.8185171199,2022-06-15
1114691.7737701803,2022-06-16
1116951.820296191,2022-06-17
1109839.8121050247,2022-06-18
1109658.7513807523,2022-06-19
1111955.3677934192,2022-06-20
1109157.812713184,2022-06-21
1102607.3709265762,2022-06-22
1100560.7367422986,2022-06-23
1099314.39864328,2022-06-24
1100403.8455062588,2022-06-25
1104693.960393252,2022-06-26
1108603.8148449908,2022-06-27
1104302.074674745,2022-06-28
1106865.4683527849,2022-06-29
1104748.6086132864,2022-06-30
1102435.5382393238,2022-07-01
1099624.5313198937,2022-07-02
1094096.0811516768,2022-07-03
1091928.4237816855,2022-07-04
1099983.9222431504,2022-07-05
1091946.1848964128,2022-07-06
1042046.8799898926,2022-07-07
1063925.707517925,2022-07-08
1038385.7721698924,2022-07-09
991917.0763940619,2022-07-10
991805.7355576005,2022-07-11
981678.5384040966,2022-07-12
898393.6052154778,2022-07-13
868115.5063336263,2022-07-14
874685.9646272534,2022-07-15
856048.7423945518,2022-07-16
873365.5930878946,2022-07-17
861904.9387472407,2022-07-18
862450.8480856067,2022-07-19
858965.9941051506,2022-07-20
864299.3590127535,2022-07-21
860018.8435693642,2022-07-22
851367.8084502001,2022-07-23
857722.7717038693,2022-07-24
865092.5023223569,2022-07-25
854399.9583064013,2022-07-26
850509.2258512728,2022-07-27
858167.6006528497,2022-07-28
864564.3104841941,2022-07-29
855331.624463334,2022-07-30
854753.6251689035,2022-07-31
860552.6252888546,2022-08-01
849586.4091154734,2022-08-02
861391.4716472855,2022-08-03
851032.6447581328,2022-08-04
856131.8830100835,2022-08-05
844749.1528484036,2022-08-06
842234.2401419925,2022-08-07
851768.345476806,2022-08-08
839939.3605573348,2022-08-09
853179.7728715695,2022-08-10
831792.9581425118,2022-08-11
831271.6644440782,2022-08-12
840488.1054705587,2022-08-13
838533.0477630398,2022-08-14
835245.0515591837,2022-08-15
835279.5185698037,2022-08-16
827442.2261048296,2022-08-17
830962.8884809914,2022-08-18
822907.5020171122,2022-08-19
814734.4517739628,2022-08-20
819952.4308422375,2022-08-21
751477.8391418163,2022-08-22
744023.3196102846,2022-08-23
742707.9221687643,2022-08-24
743073.2234369408,2022-08-25
746497.871843647,2022-08-26
727754.1815145343,2022-08-27
682064.1882932791,2022-08-28
686902.5690848567,2022-08-29
682125.5271302988,2022-08-30
671834.2207806642,2022-08-31
669263.571057686,2022-09-01
672302.1396818657,2022-09-02
666618.5097808288,2022-09-03
665695.3600259188,2022-09-04
656664.6642432009,2022-09-05
657325.4408875027,2022-09-06
640303.7583818303,2022-09-07
633567.8061290798,2022-09-08
631030.2155679249,2022-09-09
630397.2978165428,2022-09-10
615701.660191317,2022-09-11
620762.4625870221,2022-09-12
625242.4129232706,2022-09-13
613919.0886582332,2022-09-14
616012.3556765858,2022-09-15
610022.486420076,2022-09-16
604711.2076131775,2022-09-17
571979.1715785444,2022-09-18
567154.1452913324,2022-09-19
566662.3121886537,2022-09-20
562844.4526241763,2022-09-21
521716.6579747319,2022-09-22
511921.9165072814,2022-09-23
510454.12357022567,2022-09-24
513315.91048645147,2022-09-25
504556.7330232441,2022-09-26
474396.03920739505,2022-09-27
459422.1399813986,2022-09-28
468898.8931840214,2022-09-29
460161.6500611557,2022-09-30
452507.2106703174,2022-10-01
444589.3809535465,2022-10-02
441163.3765474898,2022-10-03
435057.924342574,2022-10-04
426442.16819333076,2022-10-05
422134.23238903814,2022-10-06
415234.29187681,2022-10-07
415548.78237844846,2022-10-08
411693.74568335194,2022-10-09
407386.4602807351,2022-10-10
401418.2633805254,2022-10-11
406262.8848235698,2022-10-12
389649.1026586934,2022-10-13
365081.3444902485,2022-10-14
371964.03876865626,2022-10-15
365431.712364766,2022-10-16
364573.44803123665,2022-10-17
333557.3435872645,2022-10-18
329798.24562243413,2022-10-19
329348.18980881036,2022-10-20
327596.25945466204,2022-10-21
327726.97979204595,2022-10-22
305815.4346577921,2022-10-23
306340.4159736988,2022-10-24
301318.9803879227,2022-10-25
305654.43747156946,2022-10-26
298641.0741623088,2022-10-27
299241.57469873613,2022-10-28
290711.54069336795,2022-10-29
291369.3753418847,2022-10-30
294947.3268486715,2022-10-31
291944.8597764653,2022-11-01
287229.9196527758,2022-11-02
282741.8053195749,2022-11-03
274224.85132880125,2022-11-04
269280.65279514954,2022-11-05
275528.7801406954,2022-11-06
273532.6624126288,2022-11-07
270955.01454655954,2022-11-08
268892.28951338714,2022-11-09
263820.5535943,2022-11-10
253274.4424621278,2022-11-11
249808.67073697085,2022-11-12
250155.91818994886,2022-11-13
248723.8386922938,2022-11-14
249566.48712005714,2022-11-15
242533.30213258642,2022-11-16
240437.89100307616,2022-11-17
237077.0228400576,2022-11-18
236685.8126618181,2022-11-19
237077.08464960317,2022-11-20
219784.35845833182,2022-11-21
218587.8281233501,2022-11-22
214903.2292795457,2022-11-23
215094.48865428756,2022-11-24
204682.0893491213,2022-11-25
207450.22952745084,2022-11-26
207413.75278865575,2022-11-27
205180.33318643697,2022-11-28
206247.7470955941,2022-11-29
203501.8866533836,2022-11-30
197983.7720536623,2022-12-01
194419.1458035249,2022-12-02
190782.02805968063,2022-12-03
195302.06652733585,2022-12-04
193468.59913160183,2022-12-05
192273.39043573613,2022-12-06
189226.37745525016,2022-12-07
186126.0734526675,2022-12-08
185860.92769545014,2022-12-09
186960.9405035096,2022-12-10
188992.7451151295,2022-12-11
185434.4622182759,2022-12-12
188970.37881408227,2022-12-13
180796.44849172977,2022-12-14
180263.685546763,2022-12-15
175032.2140371711,2022-12-16
173946.3496454043,2022-12-17
176654.03476219013,2022-12-18
177629.54720624673,2022-12-19
173061.84260399526,2022-12-20
175423.01407460464,2022-12-21
173607.53878778868,2022-12-22
165823.9743629356,2022-12-23
162741.13738605805,2022-12-24
161469.89517592313,2022-12-25
163580.45452889949,2022-12-26
162446.666486331,2022-12-27
156810.54731543493,2022-12-28
156366.99701448038,2022-12-29
156492.16173950778,2022-12-30
156321.6543490841,2022-12-31
150735.91102975013,2023-01-01
150718.57637708678,2023-01-02
149756.28918849837,2023-01-03
143737.21079282806,2023-01-04
142901.41746414476,2023-01-05
143910.94951639688,2023-01-06
144881.20399713668,2023-01-07
141859.33614577734,2023-01-08
137418.9857294966,2023-01-09
138389.5690878542,2023-01-10
136742.1858747884,2023-01-11
134962.15734983078,2023-01-12
132582.99194706933,2023-01-13
129538.46968449338,2023-01-14
128777.00167375496,2023-01-15
126551.02862046448,2023-01-16
127269.69193623391,2023-01-17
128243.36317651269,2023-01-18
128315.18980289977,2023-01-19
122508.94924112021,2023-01-20
124545.69815531485,2023-01-21
121931.65881955308,2023-01-22
122615.86841602426,2023-01-23
120294.86831014001,2023-01-24
120216.29259945167,2023-01-25
118326.32025629349,2023-01-26
121541.60594719663,2023-01-27
121134.44028456479,2023-01-28
117826.91882864347,2023-01-29
118914.77852828438,2023-01-30
