MarketCap,Date
0.0,2024-01-11
0.0,2024-01-12
0.0,2024-01-13
0.0,2024-01-14
0.0,2024-01-15
0.0,2024-01-16
0.0,2024-01-17
0.0,2024-01-18
0.0,2024-01-19
0.0,2024-01-20
0.0,2024-01-21
0.0,2024-01-22
0.0,2024-01-23
0.0,2024-01-24
0.0,2024-01-25
0.0,2024-01-26
0.0,2024-01-27
0.0,2024-01-28
0.0,2024-01-29
0.0,2024-01-30
0.0,2024-01-31
0.0,2024-02-01
0.0,2024-02-02
0.0,2024-02-03
0.0,2024-02-04
0.0,2024-02-05
0.0,2024-02-06
0.0,2024-02-07
12754433.827822281,2024-02-08
11660468.434101917,2024-02-09
344169.11491888657,2024-02-10
332563.72769080056,2024-02-11
330068.3798792485,2024-02-12
359677.9280908493,2024-02-13
355412.09108581365,2024-02-14
342462.87576206337,2024-02-15
328047.2512991398,2024-02-16
320591.4066617258,2024-02-17
328958.9813532933,2024-02-18
302206.8115787863,2024-02-19
307551.1506233491,2024-02-20
272126.358015154,2024-02-21
266698.4178440937,2024-02-22
307995.55769328977,2024-02-23
271322.63856341055,2024-02-24
250638.52019376645,2024-02-25
145100.3646923022,2024-02-26
172208.29718288407,2024-02-27
170629.00783222637,2024-02-28
150767.8328791454,2024-02-29
141747.51411729102,2024-03-01
148046.7732852972,2024-03-02
152615.2717048662,2024-03-03
253004.1555295866,2024-03-04
339330.29537704174,2024-03-05
239856.11026620882,2024-03-06
315929.06566579954,2024-03-07
314784.8144578879,2024-03-08
309833.36627507734,2024-03-09
309957.911270753,2024-03-10
286498.7474787004,2024-03-11
221234.40940959717,2024-03-12
274202.82101261884,2024-03-13
332298.9938728479,2024-03-14
342886.43716708716,2024-03-15
305653.4642906008,2024-03-16
248015.69156086454,2024-03-17
253321.25096545074,2024-03-18
234794.52141167846,2024-03-19
245019.58826304416,2024-03-20
224808.99371002917,2024-03-21
243854.75518804198,2024-03-22
248987.3568685782,2024-03-23
221313.8805204436,2024-03-24
234633.7769167332,2024-03-25
249574.2659025761,2024-03-26
