MarketCap,Date
66331226.0,2013-12-24 00:00:00.000
82745535.0,2013-12-25 00:00:00.000
116200444.0,2013-12-26 00:00:00.000
112323751.0,2013-12-27 00:00:00.000
105407279.0,2013-12-29 00:00:00.000
107271908.0,2013-12-30 00:00:00.000
115922918.0,2013-12-31 00:00:00.000
108863347.0,2014-01-01 00:00:00.000
97017689.0,2014-01-02 00:00:00.000
89044387.0,2014-01-03 00:00:00.000
93619852.0,2014-01-04 00:00:00.000
107856076.0,2014-01-05 00:00:00.000
111125681.0,2014-01-06 00:00:00.000
108684937.0,2014-01-07 00:00:00.000
80844976.0,2014-01-08 00:00:00.000
77784136.0,2014-01-09 00:00:00.000
77128728.0,2014-01-10 00:00:00.000
84391488.0,2014-01-11 00:00:00.000
79846378.0,2014-01-12 00:00:00.000
78635298.0,2014-01-13 00:00:00.000
56411153.0,2014-01-14 00:00:00.000
71230678.0,2014-01-15 00:00:00.000
77604487.0,2014-01-16 00:00:00.000
63279678.0,2014-01-17 00:00:00.000
67317435.0,2014-01-18 00:00:00.000
77842986.0,2014-01-19 00:00:00.000
84399541.0,2014-01-20 00:00:00.000
82249952.0,2014-01-21 00:00:00.000
80406386.0,2014-01-22 00:00:00.000
78477331.0,2014-01-23 00:00:00.000
74622320.0,2014-01-24 00:00:00.000
70035085.0,2014-01-25 00:00:00.000
78516359.0,2014-01-26 00:00:00.000
66745657.0,2014-01-27 00:00:00.000
54984496.0,2014-01-28 00:00:00.000
57117854.0,2014-01-29 00:00:00.000
43983557.0,2014-01-30 00:00:00.000
50348013.0,2014-01-31 00:00:00.000
53106362.0,2014-02-01 00:00:00.000
48859902.0,2014-02-02 00:00:00.000
52254890.0,2014-02-03 00:00:00.000
50338225.0,2014-02-04 00:00:00.000
48928603.0,2014-02-05 00:00:00.000
40668855.0,2014-02-06 00:00:00.000
38435822.0,2014-02-07 00:00:00.000
40040208.0,2014-02-08 00:00:00.000
38390167.0,2014-02-09 00:00:00.000
38937476.0,2014-02-10 00:00:00.000
40890504.0,2014-02-11 00:00:00.000
46400761.0,2014-02-12 00:00:00.000
45805071.0,2014-02-13 00:00:00.000
35494169.0,2014-02-14 00:00:00.000
46361176.0,2014-02-15 00:00:00.000
47988235.0,2014-02-16 00:00:00.000
43621906.0,2014-02-17 00:00:00.000
38129800.0,2014-02-18 00:00:00.000
41866553.0,2014-02-19 00:00:00.000
37229079.0,2014-02-20 00:00:00.000
33632700.0,2014-02-21 00:00:00.000
27938334.0,2014-02-22 00:00:00.000
35577303.0,2014-02-23 00:00:00.000
34694919.0,2014-02-24 00:00:00.000
28249807.0,2014-02-25 00:00:00.000
36457024.0,2014-02-26 00:00:00.000
33134082.0,2014-02-27 00:00:00.000
33221552.0,2014-02-28 00:00:00.000
30503840.0,2014-03-01 00:00:00.000
32607959.0,2014-03-02 00:00:00.000
33553344.0,2014-03-03 00:00:00.000
38706534.0,2014-03-04 00:00:00.000
38677728.0,2014-03-05 00:00:00.000
37421117.0,2014-03-06 00:00:00.000
37670519.0,2014-03-07 00:00:00.000
35426584.0,2014-03-08 00:00:00.000
37386612.0,2014-03-09 00:00:00.000
44528574.0,2014-03-10 00:00:00.000
41901616.0,2014-03-11 00:00:00.000
47065894.0,2014-03-12 00:00:00.000
45920108.0,2014-03-13 00:00:00.000
43947876.0,2014-03-14 00:00:00.000
44632832.0,2014-03-15 00:00:00.000
35799076.0,2014-03-16 00:00:00.000
36771037.0,2014-03-17 00:00:00.000
33602345.0,2014-03-18 00:00:00.000
33581778.0,2014-03-19 00:00:00.000
