MarketCap,Date
17352251.441349793,2021-08-10
17352251.441349793,2021-08-11
15671879.592141949,2021-08-12
14173838.441674411,2021-08-13
14028469.279429479,2021-08-14
12585487.454891184,2021-08-15
12013413.22500185,2021-08-16
16415748.607764114,2021-08-17
18657177.397999622,2021-08-18
23170380.088046525,2021-08-19
21657420.298733328,2021-08-20
23263359.214741647,2021-08-21
20916064.12880006,2021-08-22
20310805.634567045,2021-08-23
19698906.637577098,2021-08-24
17948844.77217674,2021-08-25
17399275.884942073,2021-08-26
17319949.37201063,2021-08-27
19908112.424073163,2021-08-28
22341132.985401146,2021-08-29
21064471.209555175,2021-08-30
24121976.60321019,2021-08-31
22230977.101270575,2021-09-01
22175665.191529773,2021-09-02
23396360.488026965,2021-09-03
24186895.821851384,2021-09-04
23869297.111707013,2021-09-05
23624154.991879072,2021-09-06
26244908.553567555,2021-09-07
26920696.39357548,2021-09-08
28946656.73357553,2021-09-09
32074257.897775922,2021-09-10
29054813.615660872,2021-09-11
30355046.12931744,2021-09-12
30480904.509465605,2021-09-13
28855115.68220421,2021-09-14
27912396.66682147,2021-09-15
26599061.74655887,2021-09-16
24401259.27486539,2021-09-17
32901838.189460166,2021-09-18
38677232.70696963,2021-09-19
49047669.96136523,2021-09-20
41683412.19372386,2021-09-21
36027487.63728928,2021-09-22
85193788.03758559,2021-09-23
106914379.96793143,2021-09-24
131348813.15720683,2021-09-25
135478370.77130902,2021-09-26
127618233.3391249,2021-09-27
122065226.29351465,2021-09-28
118755341.16133943,2021-09-29
128992621.67251344,2021-09-30
135743577.1077808,2021-10-01
145987452.34543636,2021-10-02
141311502.83540112,2021-10-03
146335719.40420783,2021-10-04
141908439.89207628,2021-10-05
114793474.62642731,2021-10-06
119104226.53642368,2021-10-07
123148424.56671686,2021-10-08
117211297.42266348,2021-10-09
97522639.67595212,2021-10-10
85164319.58647797,2021-10-11
87256389.5858054,2021-10-12
89959980.66050564,2021-10-13
99950929.63835032,2021-10-14
107153874.01002297,2021-10-15
108779425.22138366,2021-10-16
104131295.45956737,2021-10-17
104128307.06904602,2021-10-18
100358869.09545678,2021-10-19
100084862.98974922,2021-10-20
108742710.0695505,2021-10-21
120244485.57085341,2021-10-22
119191584.50963117,2021-10-23
121534658.03302634,2021-10-24
122998503.50393802,2021-10-25
131633608.2533034,2021-10-26
130962335.7072836,2021-10-27
126024318.52707942,2021-10-28
131143153.67936262,2021-10-29
132890130.82654764,2021-10-30
131742095.30554889,2021-10-31
131720809.57986906,2021-11-01
132191447.9315369,2021-11-02
138296869.53402007,2021-11-03
151155003.19752756,2021-11-04
156429270.51139936,2021-11-05
169116770.3573385,2021-11-06
188721505.47792062,2021-11-07
208517090.37121102,2021-11-08
204349850.63227132,2021-11-09
193474744.1448216,2021-11-10
184266069.87424445,2021-11-11
184692504.91604888,2021-11-12
171106044.33157218,2021-11-13
173594415.68209085,2021-11-14
167130702.44035006,2021-11-15
182660516.79875103,2021-11-16
177999030.19848987,2021-11-17
174544278.242636,2021-11-18
169754718.8621644,2021-11-19
179674611.36826143,2021-11-20
179549552.9031273,2021-11-21
181895089.68253258,2021-11-22
172727733.62979215,2021-11-23
165964918.23285186,2021-11-24
152475404.78178182,2021-11-25
152275012.01013672,2021-11-26
135406213.3007286,2021-11-27
133412168.42856507,2021-11-28
137520999.78377485,2021-11-29
143494679.86337423,2021-11-30
148343586.04491514,2021-12-01
150767184.1803059,2021-12-02
154394040.30444425,2021-12-03
149569043.56055635,2021-12-04
129980070.28494981,2021-12-05
118779686.18870477,2021-12-06
118007121.94329983,2021-12-07
114871528.1927056,2021-12-08
113409718.60670224,2021-12-09
106795963.96447471,2021-12-10
99988141.47797962,2021-12-11
98186621.38277791,2021-12-12
95270018.34393924,2021-12-13
84151588.69005848,2021-12-14
82095002.48932792,2021-12-15
82466431.03914404,2021-12-16
84471760.38555907,2021-12-17
81738438.4101136,2021-12-18
74400662.16334999,2021-12-19
68476598.1478467,2021-12-20
63428619.564945556,2021-12-21
64041985.8630547,2021-12-22
66029995.21963934,2021-12-23
68369606.57864861,2021-12-24
67920829.83553234,2021-12-25
67944047.09478739,2021-12-26
68749708.2178263,2021-12-27
71934408.01979223,2021-12-28
66531180.152280435,2021-12-29
64769417.74729974,2021-12-30
67195788.31929,2021-12-31
64586613.66739306,2022-01-01
66504016.90485461,2022-01-02
64502689.64055839,2022-01-03
61817838.77854688,2022-01-04
60738256.85482885,2022-01-05
54458730.10222678,2022-01-06
51478856.75187098,2022-01-07
48670644.205772765,2022-01-08
48120587.698683605,2022-01-09
47381116.71976792,2022-01-10
45361940.84195729,2022-01-11
46031043.75865453,2022-01-12
48389573.21622467,2022-01-13
49662457.51569895,2022-01-14
49446539.42571801,2022-01-15
49581808.03133889,2022-01-16
49352042.48918639,2022-01-17
48693035.732207984,2022-01-18
49164110.253348134,2022-01-19
47721328.20491879,2022-01-20
46415604.11934179,2022-01-21
41277941.831832305,2022-01-22
34181204.51343996,2022-01-23
37064673.91011731,2022-01-24
34295123.701609634,2022-01-25
37953308.80661759,2022-01-26
35052318.56841297,2022-01-27
33625276.18061167,2022-01-28
34870744.55806401,2022-01-29
