MarketCap,Date
0.0,2022-02-16
0.0,2022-02-17
370626.4939594532,2022-02-18
139941.38747136385,2022-02-19
549141.6955426504,2022-02-20
448998.1116349851,2022-02-21
318512.2721071715,2022-02-22
279406.5163343931,2022-02-23
284731.7331118846,2022-02-24
244797.25692373954,2022-02-25
280814.9512677616,2022-02-26
265156.81444138155,2022-02-27
195882.50443122067,2022-02-28
233071.15778690457,2022-03-01
208318.62520878625,2022-03-02
230391.58436701578,2022-03-03
199430.24802413885,2022-03-04
173578.61966635444,2022-03-05
162236.26557076717,2022-03-06
125404.813372576,2022-03-07
106710.12438382888,2022-03-08
111686.51916961654,2022-03-09
128941.04308956988,2022-03-10
98060.3431667176,2022-03-11
88684.49858033263,2022-03-12
69465.6348861175,2022-03-13
65012.24321813685,2022-03-14
70903.95090094816,2022-03-15
80348.21680675614,2022-03-16
91790.1457430201,2022-03-17
89877.30062600352,2022-03-18
95623.52176274826,2022-03-19
111278.28608122349,2022-03-20
143719.05553279165,2022-03-21
241259.41000305887,2022-03-22
255730.0139231854,2022-03-23
269417.8017176992,2022-03-24
286165.2078318402,2022-03-25
239994.53741031303,2022-03-26
239515.47783917503,2022-03-27
289041.71271686227,2022-03-28
287121.4069534328,2022-03-29
256024.071405106,2022-03-30
254654.33711551703,2022-03-31
287801.7471346954,2022-04-01
313140.3060767704,2022-04-02
327031.0329198367,2022-04-03
354988.997086701,2022-04-04
295297.96687569027,2022-04-05
261571.92769297806,2022-04-06
247883.4924618638,2022-04-07
239942.70129965356,2022-04-08
203783.5070056972,2022-04-09
206680.56418659916,2022-04-10
195214.15449108207,2022-04-11
139603.38475598907,2022-04-12
141717.7868372084,2022-04-13
142913.77385064133,2022-04-14
134076.77762600023,2022-04-15
124600.32322220712,2022-04-16
119345.32362862953,2022-04-17
109128.45469889384,2022-04-18
70700.38268791033,2022-04-19
70112.29528612131,2022-04-20
78027.50700300792,2022-04-21
72095.50141067906,2022-04-22
66132.79380703601,2022-04-23
64056.34800470169,2022-04-24
60711.240571085546,2022-04-25
54556.58369407098,2022-04-26
46212.94296467363,2022-04-27
45738.24506395669,2022-04-28
41710.98482368311,2022-04-29
15426.953125450818,2022-04-30
11952.037527826158,2022-05-01
6221.411174706373,2022-05-02
72713.47941125272,2022-05-03
79630.85638343032,2022-05-04
81677.17244997201,2022-05-05
103674.34341940009,2022-05-06
95356.99435174261,2022-05-07
81953.19618213212,2022-05-08
106396.43784768971,2022-05-09
98437.92585418816,2022-05-10
120811.12939522705,2022-05-11
79114.04288874495,2022-05-12
89461.9583425673,2022-05-13
86052.0372002258,2022-05-14
84230.93855406143,2022-05-15
80941.81439676076,2022-05-16
56739.63876261973,2022-05-17
68431.13499670509,2022-05-18
59842.90064599125,2022-05-19
61249.48978921083,2022-05-20
58840.03378786403,2022-05-21
62533.70548398487,2022-05-22
65238.25090511402,2022-05-23
61372.54177164288,2022-05-24
54694.65514944036,2022-05-25
49675.79261404403,2022-05-26
44586.195874168836,2022-05-27
38403.66679117341,2022-05-28
39558.9935543406,2022-05-29
37389.515723602555,2022-05-30
40597.87786039627,2022-05-31
38747.141465631525,2022-06-01
32654.930235663356,2022-06-02
32294.660554617698,2022-06-03
28642.217491919466,2022-06-04
27674.888252581066,2022-06-05
26968.453821082843,2022-06-06
25561.549531888784,2022-06-07
24163.324311828554,2022-06-08
22102.87385516836,2022-06-09
21204.982296203718,2022-06-10
20812.800518322023,2022-06-11
2705.228162362221,2022-09-30
2705.228162362221,2022-10-01
2525.6253379693903,2022-10-02
2406.7232984630164,2022-10-03
2483.123695502104,2022-10-04
2996.7569791083324,2022-10-05
2464.786968498463,2022-10-06
2436.2177164276627,2022-10-07
2435.2481382536894,2022-10-08
2420.59913951312,2022-10-09
2401.807948145013,2022-10-10
2031.4750992457855,2022-10-11
2325.056664687632,2022-10-12
2368.1872947951315,2022-10-13
2335.705008098683,2022-10-14
2251.578046122824,2022-10-15
2249.9780371537277,2022-10-16
2288.144930702582,2022-10-17
2302.3902073133127,2022-10-18
1880.5705981301971,2022-10-19
1778.510630017537,2022-10-20
1746.702794541579,2022-10-21
1777.7074750549227,2022-10-22
1757.8039916379387,2022-10-23
1773.5371324448606,2022-10-24
1710.7135017289868,2022-10-25
1670.217838353163,2022-10-26
1714.1147453606943,2022-10-27
1652.8289938641265,2022-10-28
1694.6480189495937,2022-10-29
1693.1009222133973,2022-10-30
1766.0338668586617,2022-10-31
1748.2370398691512,2022-11-01
1694.7750668663828,2022-11-02
1576.2334403822115,2022-11-03
1823.6210905561875,2022-11-04
1951.8813517036313,2022-11-05
2032.9906516600386,2022-11-06
1865.4730984748676,2022-11-07
1750.8306684134561,2022-11-08
1434.4976765062643,2022-11-09
1157.6065834219787,2022-11-10
1316.3772801735674,2022-11-11
1233.2086217506999,2022-11-12
1160.3516408151154,2022-11-13
1133.1371676851672,2022-11-14
1140.441252820948,2022-11-15
1169.7093479348032,2022-11-16
1134.1803298867928,2022-11-17
1049.4141454006997,2022-11-18
1060.9896685388287,2022-11-19
1075.4979619333799,2022-11-20
1005.7644931247894,2022-11-21
984.6985695873938,2022-11-22
1022.4092826943094,2022-11-23
1047.7099276539318,2022-11-24
1020.879939999373,2022-11-25
1011.9814263203835,2022-11-26
1027.1697649318612,2022-11-27
1002.7828380122731,2022-11-28
1085.690353685548,2022-11-29
1150.4055496519966,2022-11-30
1327.9059437218364,2022-12-01
1319.0406222810127,2022-12-02
1283.032619515039,2022-12-03
1203.555478374334,2022-12-04
1351.4455171307802,2022-12-05
1397.243434695504,2022-12-06
1357.5747085562082,2022-12-07
1251.0509487307984,2022-12-08
1268.1303616006692,2022-12-09
1294.2578948522046,2022-12-10
1279.435907911939,2022-12-11
1221.8019362956557,2022-12-12
1209.784303102649,2022-12-13
1293.4597406915977,2022-12-14
1237.1141757157536,2022-12-15
1162.575762835889,2022-12-16
995.1516127397477,2022-12-17
1026.8981073852485,2022-12-18
1031.864922940759,2022-12-19
1014.3161320800531,2022-12-20
1041.1594812325689,2022-12-21
1027.473667291501,2022-12-22
1011.3624501522967,2022-12-23
1027.4990687264537,2022-12-24
1031.4740157074789,2022-12-25
1019.3678721406508,2022-12-26
1015.3934437544714,2022-12-27
980.7662651754509,2022-12-28
980.9085021771857,2022-12-29
958.7258573516508,2022-12-30
938.7842492617038,2022-12-31
940.8780838187217,2023-01-01
915.9483642741112,2023-01-02
951.9412431498829,2023-01-03
968.8894813567338,2023-01-04
984.3859697699397,2023-01-05
967.7147634265415,2023-01-06
986.6482210033107,2023-01-07
1008.020282560423,2023-01-08
1029.64237224187,2023-01-09
1025.7170808126725,2023-01-10
1033.7830286935443,2023-01-11
1076.9630534714763,2023-01-12
1105.2916929162263,2023-01-13
1170.5169308349602,2023-01-14
1367.9420486011222,2023-01-15
1262.1010789709405,2023-01-16
1235.3412703322713,2023-01-17
1241.9944932129497,2023-01-18
1150.1250949162404,2023-01-19
1162.5034061758934,2023-01-20
1192.943697970792,2023-01-21
1223.2467513145564,2023-01-22
1386.7951105003935,2023-01-23
1422.0506265488318,2023-01-24
1342.3563049350219,2023-01-25
1460.279677323598,2023-01-26
1671.0208792695832,2023-01-27
1649.2070950170269,2023-01-28
1581.078578064709,2023-01-29
1731.159007288926,2023-01-30
1885.2285574705961,2023-01-31
2070.441151864351,2023-02-01
2187.3214478237146,2023-02-02
2280.1867269600407,2023-02-03
2296.599907951538,2023-02-04
2293.058541951992,2023-02-05
2124.3923229120983,2023-02-06
2129.4214813127346,2023-02-07
2287.928090168425,2023-02-08
2131.657511336645,2023-02-09
1884.1084770723162,2023-02-10
1807.8721575019279,2023-02-11
1933.270201529369,2023-02-12
1822.9095242234964,2023-02-13
1884.5139476469642,2023-02-14
2083.5428179634123,2023-02-15
2268.002038505225,2023-02-16
2140.1765380574934,2023-02-17
2265.965695476133,2023-02-18
2142.4120004562806,2023-02-19
2086.6895812027087,2023-02-20
1996.9977938825336,2023-02-21
1914.7513406121311,2023-02-22
1928.3163226025388,2023-02-23
1853.8881684150383,2023-02-24
1767.7809343689557,2023-02-25
1732.4377987477953,2023-02-26
1792.1933436975944,2023-02-27
1728.6351188732363,2023-02-28
1662.5230085974376,2023-03-01
1833.8086489694545,2023-03-02
1735.5145160769189,2023-03-03
1733.024630656244,2023-03-04
1639.8947516742044,2023-03-05
1623.2625375452594,2023-03-06
1695.1923594687667,2023-03-07
1605.252489137129,2023-03-08
1467.1893506051588,2023-03-09
1304.960901455316,2023-03-10
1262.3869515434153,2023-03-11
1226.6180378121285,2023-03-12
1465.803993142178,2023-03-13
1535.4158898398591,2023-03-14
1652.1790170191673,2023-03-15
1434.6791025338307,2023-03-16
1510.8724417043447,2023-03-17
1785.745298997928,2023-03-18
1792.2415718121906,2023-03-19
1835.201104214302,2023-03-20
1673.3142166956627,2023-03-21
1758.3751278217328,2023-03-22
1648.6482024641368,2023-03-23
1735.1658874470606,2023-03-24
1564.2295737540278,2023-03-25
1481.9302549239974,2023-03-26
1493.6954644459925,2023-03-27
1414.809527925476,2023-03-28
1435.3940966237103,2023-03-29
1547.421638827052,2023-03-30
1490.1462929567813,2023-03-31
1574.8081474158032,2023-04-01
1549.6992917830821,2023-04-02
1503.6581296338197,2023-04-03
1508.8149129010308,2023-04-04
