MarketCap,Date
0.0,2021-10-07
0.0,2021-10-08
0.0,2021-10-09
0.0,2021-10-10
0.0,2021-10-11
10101965.09924399,2021-10-12
11444165.832948206,2021-10-13
11378870.748225257,2021-10-14
9463518.455512758,2021-10-15
9231978.495994657,2021-10-16
10073495.198858611,2021-10-17
9776820.834405921,2021-10-18
9371074.394524485,2021-10-19
10003183.593633065,2021-10-20
11653090.932603672,2021-10-21
10239506.13713499,2021-10-22
10107838.388347358,2021-10-23
10387860.839917887,2021-10-24
10003136.977621995,2021-10-25
9416831.754037578,2021-10-26
9347071.497657474,2021-10-27
9000187.959191574,2021-10-28
8850195.29557513,2021-10-29
11078645.724085571,2021-10-30
11627623.761566617,2021-10-31
14145866.73322722,2021-11-01
13094667.495173534,2021-11-02
12755594.349674253,2021-11-03
11972193.35938636,2021-11-04
10904193.077675577,2021-11-05
12144762.128630742,2021-11-06
10931461.231140947,2021-11-07
10762174.454434708,2021-11-08
10394333.965712165,2021-11-09
10716671.8342484,2021-11-10
10482320.943074599,2021-11-11
12369793.363553865,2021-11-12
12259660.85253597,2021-11-13
11873650.585607031,2021-11-14
12659922.927626943,2021-11-15
18619498.174315404,2021-11-16
16149240.963034676,2021-11-17
31761023.614835724,2021-11-18
33288985.489286758,2021-11-19
32980086.140134823,2021-11-20
37427490.18843463,2021-11-21
37377207.982953854,2021-11-22
32859183.095696576,2021-11-23
33973821.8464404,2021-11-24
41435700.89372593,2021-11-25
40946243.17336832,2021-11-26
39756908.89867387,2021-11-27
41908116.337593004,2021-11-28
40208619.22645409,2021-11-29
40973551.74037204,2021-11-30
39628285.16423001,2021-12-01
37912631.72784866,2021-12-02
37552720.55997085,2021-12-03
36116418.01666509,2021-12-04
35462170.50399502,2021-12-05
33829259.201382406,2021-12-06
28266971.672435533,2021-12-07
26949490.29594725,2021-12-08
24616452.941798296,2021-12-09
23744482.180019114,2021-12-10
21553661.374254283,2021-12-11
21525776.552685354,2021-12-12
20684798.381943647,2021-12-13
17731378.137842275,2021-12-14
18208947.289339136,2021-12-15
19503572.569321685,2021-12-16
18828524.536597393,2021-12-17
18484654.000832636,2021-12-18
16833685.623723842,2021-12-19
16775508.141057564,2021-12-20
16077207.74731007,2021-12-21
16504468.144351898,2021-12-22
17405501.884000592,2021-12-23
16926374.765917886,2021-12-24
18635541.158035707,2021-12-25
18172182.427008823,2021-12-26
18144110.006032396,2021-12-27
17270115.22088433,2021-12-28
16311425.404683873,2021-12-29
16097014.752458999,2021-12-30
15684017.609864581,2021-12-31
15620580.30705257,2022-01-01
15496865.714933129,2022-01-02
15026806.397178313,2022-01-03
15374346.066821683,2022-01-04
14980177.522322347,2022-01-05
14392609.435040997,2022-01-06
14332995.699063534,2022-01-07
12156702.860143004,2022-01-08
11555720.888851581,2022-01-09
11784493.991469394,2022-01-10
10935061.565639041,2022-01-11
11310774.025074795,2022-01-12
11353311.82039503,2022-01-13
11242786.192333423,2022-01-14
11167208.98284264,2022-01-15
11408691.930099318,2022-01-16
11349347.837798316,2022-01-17
11275410.57794898,2022-01-18
11660848.211918568,2022-01-19
11370173.622373618,2022-01-20
11334160.226616014,2022-01-21
10850509.943945274,2022-01-22
9815761.21694478,2022-01-23
9621404.653738173,2022-01-24
9482754.640296204,2022-01-25
9332939.681132166,2022-01-26
9208525.604861718,2022-01-27
10220110.855244493,2022-01-28
9874726.225209622,2022-01-29
9685731.550883519,2022-01-30
9636047.758820698,2022-01-31
9378848.765695734,2022-02-01
9178018.564339645,2022-02-02
8996554.258966982,2022-02-03
8905885.425800234,2022-02-04
8798173.618845325,2022-02-05
9112179.270791547,2022-02-06
9076754.948101955,2022-02-07
9551852.812570445,2022-02-08
9683917.841450904,2022-02-09
9546134.576296413,2022-02-10
9517339.245956782,2022-02-11
9553650.562911961,2022-02-12
9395768.581791118,2022-02-13
9233765.416044546,2022-02-14
9068916.945632141,2022-02-15
9045048.764262415,2022-02-16
9156875.665853813,2022-02-17
9143879.112556193,2022-02-18
9127539.704273516,2022-02-19
9153862.587960526,2022-02-20
8980854.007132584,2022-02-21
8806447.702996124,2022-02-22
8321288.979841229,2022-02-23
8210706.973743678,2022-02-24
7739020.727504959,2022-02-25
7699910.956530711,2022-02-26
7740152.534499767,2022-02-27
7795901.999851587,2022-02-28
7813218.428757695,2022-03-01
8045787.933122312,2022-03-02
8145680.098387587,2022-03-03
8387738.723339661,2022-03-04
8532610.189875532,2022-03-05
8348888.668426033,2022-03-06
8345461.054534224,2022-03-07
8430517.486437945,2022-03-08
8117909.569415686,2022-03-09
8119044.386150879,2022-03-10
7749996.821642976,2022-03-11
7726137.615310834,2022-03-12
7762631.579211602,2022-03-13
7630031.781067713,2022-03-14
6929125.0281925555,2022-03-15
6916218.64189706,2022-03-16
6954896.982603059,2022-03-17
6936615.629028928,2022-03-18
7006185.250359994,2022-03-19
6973549.525377185,2022-03-20
6902292.4708233075,2022-03-21
6949243.95482522,2022-03-22
6829724.6329098735,2022-03-23
6815001.344233826,2022-03-24
6734268.670358178,2022-03-25
7193450.770545594,2022-03-26
7213952.866186469,2022-03-27
7183801.051318287,2022-03-28
7137838.394502259,2022-03-29
7214507.146271547,2022-03-30
7319735.3947243495,2022-03-31
7320379.511627305,2022-04-01
7348820.605754355,2022-04-02
7271065.654886077,2022-04-03
7166100.236518063,2022-04-04
7343994.401014371,2022-04-05
7480403.760412429,2022-04-06
7466901.649072199,2022-04-07
7536355.951341198,2022-04-08
8463074.2970942,2022-04-09
8010191.898948043,2022-04-10
7872825.40375254,2022-04-11
7693643.148096993,2022-04-12
8701405.76546021,2022-04-13
8703334.92113411,2022-04-14
8858759.27899597,2022-04-15
8887512.993151484,2022-04-16
8933567.586056132,2022-04-17
8820069.98978082,2022-04-18
8910132.953303022,2022-04-19
8975803.9944829,2022-04-20
8947914.115706338,2022-04-21
9005931.378390465,2022-04-22
8607568.98171959,2022-04-23
8625844.902563052,2022-04-24
9579699.977951325,2022-04-25
9512093.721753236,2022-04-26
9561511.841556033,2022-04-27
9540113.08580957,2022-04-28
9779035.06269927,2022-04-29
11964395.47789401,2022-04-30
11570757.322062403,2022-05-01
9799413.183038475,2022-05-02
9743664.927961003,2022-05-03
9567300.063256603,2022-05-04
9687651.216377852,2022-05-05
9340256.112402536,2022-05-06
9149266.896027742,2022-05-07
9231628.174310664,2022-05-08
8879415.489323795,2022-05-09
7304977.3256546315,2022-05-10
6675537.787813722,2022-05-11
6461735.640297606,2022-05-12
5666857.636205628,2022-05-13
5633088.604549919,2022-05-14
5642898.5666598845,2022-05-15
5537574.117832092,2022-05-16
5012697.624491592,2022-05-17
4897859.475913501,2022-05-18
5029477.207288743,2022-05-19
5587217.131593554,2022-05-20
5435534.364333253,2022-05-21
5496307.282014036,2022-05-22
5413289.856802635,2022-05-23
5084159.774032571,2022-05-24
4902349.382235483,2022-05-25
4781548.824482442,2022-05-26
4692305.802058384,2022-05-27
4828777.252957977,2022-05-28
5472837.151347354,2022-05-29
5286321.621890236,2022-05-30
5241758.868723962,2022-05-31
5274851.254845615,2022-06-01
4965460.512087306,2022-06-02
4987597.626295827,2022-06-03
4928977.358774835,2022-06-04
4938062.460138919,2022-06-05
4915844.867957692,2022-06-06
5041936.058066438,2022-06-07
4974912.053700182,2022-06-08
5025586.269429522,2022-06-09
4977108.649184166,2022-06-10
4884874.066776711,2022-06-11
4778305.728860967,2022-06-12
4723670.478207376,2022-06-13
4733149.106701212,2022-06-14
4603361.3290549945,2022-06-15
4669324.810134837,2022-06-16
4272044.478255722,2022-06-17
3906572.3209063993,2022-06-18
3854174.337159721,2022-06-19
3813076.420169085,2022-06-20
6497527.8389061885,2022-06-21
6413784.304584103,2022-06-22
6389971.166724452,2022-06-23
6396928.965918287,2022-06-24
6677455.176169353,2022-06-25
6722032.185795362,2022-06-26
6699561.933950551,2022-06-27
6746273.486915768,2022-06-28
6666552.026068657,2022-06-29
6720406.817074986,2022-06-30
6798842.893907847,2022-07-01
6680976.961119034,2022-07-02
6668671.097658464,2022-07-03
6602619.0944923675,2022-07-04
6504160.992180621,2022-07-05
6356567.0147874635,2022-07-06
6517814.142955552,2022-07-07
6341288.688068806,2022-07-08
6375567.168095407,2022-07-09
6403825.923831602,2022-07-10
6332719.4059098335,2022-07-11
6331812.149165065,2022-07-12
6303396.440844527,2022-07-13
6345905.386542732,2022-07-14
6365401.049605978,2022-07-15
6343667.668089723,2022-07-16
6389209.198386605,2022-07-17
6398431.2552160695,2022-07-18
6325870.4992268775,2022-07-19
6394337.699016939,2022-07-20
6331600.876424578,2022-07-21
6353719.325295887,2022-07-22
6349740.342915955,2022-07-23
6042250.925918809,2022-07-24
6055043.758492829,2022-07-25
6046397.448947794,2022-07-26
6129864.948720464,2022-07-27
6050627.9514510175,2022-07-28
6057036.529705649,2022-07-29
6092787.558500472,2022-07-30
6181549.645201206,2022-07-31
6144011.202322946,2022-08-01
6102344.080577654,2022-08-02
6165978.799820286,2022-08-03
6218604.996167553,2022-08-04
6084359.17539367,2022-08-05
6099560.183248138,2022-08-06
5998949.436421173,2022-08-07
5999515.907811763,2022-08-08
5993462.039239512,2022-08-09
6026721.530546031,2022-08-10
5988690.654389848,2022-08-11
5990603.886635609,2022-08-12
6019922.258837713,2022-08-13
5989669.155861167,2022-08-14
5851476.560986832,2022-08-15
5822872.337420208,2022-08-16
5845733.725194323,2022-08-17
5810264.390354086,2022-08-18
5931978.997701123,2022-08-19
5919048.609995942,2022-08-20
5879688.149056899,2022-08-21
5858652.779727195,2022-08-22
5805362.293824374,2022-08-23
5642016.483232427,2022-08-24
5518448.651014768,2022-08-25
5527373.873244043,2022-08-26
5479181.765539307,2022-08-27
5391103.656010485,2022-08-28
5318649.876165582,2022-08-29
5470521.51735184,2022-08-30
5414026.640292921,2022-08-31
5299048.986846505,2022-09-01
5289383.478875155,2022-09-02
5300504.5727910325,2022-09-03
5285030.298096833,2022-09-04
5268927.548456433,2022-09-05
5279506.946684018,2022-09-06
5236167.775163078,2022-09-07
5231000.34930099,2022-09-08
5263555.949293451,2022-09-09
5343236.630082216,2022-09-10
5320228.520733786,2022-09-11
5344207.568069814,2022-09-12
5333843.447127539,2022-09-13
5030947.430003668,2022-09-14
5064299.170007102,2022-09-15
4923833.779477574,2022-09-16
4895931.111144292,2022-09-17
4891096.123174775,2022-09-18
4874000.548306119,2022-09-19
4905552.8232079735,2022-09-20
4882452.011531063,2022-09-21
4902715.660322571,2022-09-22
4908016.259707647,2022-09-23
4890921.588229852,2022-09-24
4930028.536191864,2022-09-25
4933767.436701816,2022-09-26
4973630.432533442,2022-09-27
4963699.116301743,2022-09-28
4939445.063911599,2022-09-29
4892637.090219244,2022-09-30
4917777.804900533,2022-10-01
4897813.371478311,2022-10-02
4867194.713579624,2022-10-03
4833510.544412961,2022-10-04
4902361.808880009,2022-10-05
4903388.005248419,2022-10-06
4899077.247108542,2022-10-07
4942117.011967086,2022-10-08
4925581.907117516,2022-10-09
4919831.148936819,2022-10-10
4958778.680948355,2022-10-11
4933682.822186477,2022-10-12
4963860.45307838,2022-10-13
5000283.137961701,2022-10-14
4975461.312133914,2022-10-15
5013203.758649962,2022-10-16
4952618.295205524,2022-10-17
4964982.894151405,2022-10-18
4939140.819191439,2022-10-19
4938442.008083885,2022-10-20
4906465.985919894,2022-10-21
4908220.277588811,2022-10-22
4901329.955236042,2022-10-23
4888200.2711504465,2022-10-24
4865983.543355389,2022-10-25
4879692.137718701,2022-10-26
4882734.157737631,2022-10-27
4852800.815970099,2022-10-28
4856945.627447469,2022-10-29
4845167.376113122,2022-10-30
4827390.990441266,2022-10-31
4811112.537593183,2022-11-01
4847916.335061179,2022-11-02
4873869.5172802415,2022-11-03
4876831.732726608,2022-11-04
4870871.322533683,2022-11-05
4896712.768146653,2022-11-06
4839526.683608976,2022-11-07
4827878.574750749,2022-11-08
4803263.026738164,2022-11-09
4744038.190718246,2022-11-10
4764995.318977595,2022-11-11
4788219.792834441,2022-11-12
4811487.159345537,2022-11-13
4819142.810440643,2022-11-14
4766292.474074226,2022-11-15
4756800.75192179,2022-11-16
4525781.169186907,2022-11-17
4487367.446159789,2022-11-18
4512479.413131948,2022-11-19
4472243.268896899,2022-11-20
4473886.430489501,2022-11-21
