MarketCap,Date
941683.5327974088,2021-06-24
941683.5327974088,2021-06-25
877343.8010207786,2021-06-26
863423.5880895283,2021-06-27
896225.9590623748,2021-06-28
1061672.2386963817,2021-06-29
1118583.568321976,2021-06-30
1113956.5923794482,2021-07-01
1117601.1926648351,2021-07-02
1110559.6141158752,2021-07-03
1184649.6901241094,2021-07-04
1253255.9396838557,2021-07-05
1209704.6882228,2021-07-06
1218581.828400822,2021-07-07
1299067.7205535714,2021-07-23
1299067.7205535714,2021-07-24
1272234.1067892765,2021-07-25
1378774.6871661446,2021-07-26
1503212.8878066165,2021-07-27
1442217.8768358396,2021-07-28
1490994.7863540673,2021-07-29
1501883.315576743,2021-07-30
1613159.9091582575,2021-07-31
1627810.4209910885,2021-08-01
1697996.1926897916,2021-08-02
1740599.6016881922,2021-08-03
1687374.408811097,2021-08-04
1865658.2496594975,2021-08-05
1840338.225261505,2021-08-06
1983364.7875570825,2021-08-07
2138999.8008465692,2021-08-08
2088926.8583592237,2021-08-09
2218850.9440384503,2021-08-10
2208035.8057118016,2021-08-11
2271740.4537299117,2021-08-12
2224384.453655296,2021-08-13
2335929.2716541286,2021-08-14
2357945.7327766498,2021-08-15
2305460.66735062,2021-08-16
2404824.192950663,2021-08-17
2358598.53794463,2021-08-18
2293726.9152003117,2021-08-19
2289589.14647212,2021-08-20
2422019.6916719233,2021-08-21
2476506.8709012875,2021-08-22
2483045.750184036,2021-08-23
2547319.9019678123,2021-08-24
2543496.8071423727,2021-08-25
2592921.001485773,2021-08-27
2592921.001485773,2021-08-28
2543645.5432723435,2021-08-29
2542203.579396162,2021-08-30
2521372.3483783356,2021-08-31
2695539.6497659665,2021-09-01
2839210.264052956,2021-09-02
3018596.4790120125,2021-09-03
3208716.327766665,2021-09-04
3208716.327766665,2021-09-05
3206197.0449733273,2021-09-06
3209904.306964664,2021-09-07
2846582.5488115107,2021-09-08
2846582.5488115107,2021-09-09
2795047.8631515913,2021-09-10
2795047.8631515913,2021-09-11
2798121.72515832,2021-09-12
2924125.5653211805,2021-09-13
2887334.472996482,2021-09-14
2887334.472996482,2021-09-15
2931018.591092766,2021-09-16
3116994.1948138503,2021-09-17
3003970.62095784,2021-09-18
