MarketCap,Date
0.0,2021-07-30
0.0,2021-07-31
0.0,2021-08-01
0.0,2021-08-02
0.0,2021-08-03
0.0,2021-08-04
0.0,2021-08-05
0.0,2021-08-06
0.0,2021-08-07
0.0,2021-08-08
0.0,2021-08-09
0.0,2021-08-10
0.0,2021-08-11
0.0,2021-08-12
0.0,2021-08-13
0.0,2021-08-14
0.0,2021-08-15
0.0,2021-08-16
0.0,2021-08-17
0.0,2021-08-18
0.0,2021-08-19
0.0,2021-08-20
0.0,2021-08-21
0.0,2021-08-22
0.0,2021-08-23
0.0,2021-08-24
0.0,2021-08-25
0.0,2021-08-26
0.0,2021-08-27
0.0,2021-08-28
0.0,2021-08-29
0.0,2021-08-30
0.0,2021-08-31
0.0,2021-09-01
0.0,2021-09-02
0.0,2021-09-03
0.0,2021-09-04
0.0,2021-09-05
0.0,2021-09-06
0.0,2021-09-07
0.0,2021-09-08
0.0,2021-09-09
0.0,2021-09-10
0.0,2021-09-11
0.0,2021-09-12
0.0,2021-09-13
0.0,2021-09-14
0.0,2021-09-15
0.0,2021-09-16
0.0,2021-09-17
0.0,2021-09-18
0.0,2021-09-19
0.0,2021-09-20
0.0,2021-09-21
0.0,2021-09-22
0.0,2021-09-23
0.0,2021-09-24
0.0,2021-09-25
0.0,2021-09-26
0.0,2021-09-27
0.0,2021-09-28
0.0,2021-09-29
0.0,2021-09-30
0.0,2021-10-01
0.0,2021-10-02
0.0,2021-10-03
0.0,2021-10-04
0.0,2021-10-05
0.0,2021-10-06
0.0,2021-10-07
0.0,2021-10-08
0.0,2021-10-09
0.0,2021-10-10
0.0,2021-10-11
0.0,2021-10-12
0.0,2021-10-13
0.0,2021-10-14
0.0,2021-10-15
0.0,2021-10-16
0.0,2021-10-17
0.0,2021-10-18
0.0,2021-10-19
0.0,2021-10-20
0.0,2021-10-21
0.0,2021-10-22
0.0,2021-10-23
0.0,2021-10-24
0.0,2021-10-25
0.0,2021-10-26
0.0,2021-10-27
0.0,2021-10-28
0.0,2021-10-29
0.0,2021-10-30
0.0,2021-10-31
0.0,2021-11-01
0.0,2021-11-02
0.0,2021-11-03
0.0,2021-11-04
0.0,2021-11-05
0.0,2021-11-06
0.0,2021-11-07
0.0,2021-11-08
0.0,2021-11-09
0.0,2021-11-10
0.0,2021-11-11
0.0,2021-11-12
0.0,2021-11-13
0.0,2021-11-14
0.0,2021-11-15
0.0,2021-11-16
0.0,2021-11-17
0.0,2021-11-18
0.0,2021-11-19
0.0,2021-11-20
0.0,2021-11-21
0.0,2021-11-22
0.0,2021-11-23
0.0,2021-11-24
0.0,2021-11-25
0.0,2021-11-26
0.0,2021-11-27
0.0,2021-11-28
0.0,2021-11-29
4794435.862580264,2021-11-30
4157807.837762896,2021-12-01
4044940.8488903055,2021-12-02
3815344.614384876,2021-12-03
3532931.2424475173,2021-12-04
3205576.4347800543,2021-12-05
3256479.443098511,2021-12-06
3137760.8340618014,2021-12-07
3314391.2604456944,2021-12-08
3406327.727200639,2021-12-09
3089039.836752821,2021-12-10
2774871.8761730995,2021-12-11
2970462.5491862614,2021-12-12
2909039.869941197,2021-12-13
2826683.529241296,2021-12-14
2634431.417941613,2021-12-15
2748815.7251833742,2021-12-16
2872613.4861197853,2021-12-17
2244428.5523743746,2021-12-18
2247257.0801418675,2021-12-19
2397860.603649185,2021-12-20
2430923.8100330345,2021-12-21
2537717.3717254517,2021-12-22
2599578.165865422,2021-12-23
2793028.9633670505,2021-12-24
2551669.5451315884,2021-12-25
2698460.674422017,2021-12-26
2480473.4717310164,2021-12-27
2343619.8642459083,2021-12-28
2085600.6810348765,2021-12-29
1882138.287159938,2021-12-30
1904892.3147919755,2021-12-31
1919009.095532732,2022-01-01
1805806.5680103386,2022-01-02
1679958.5935702315,2022-01-03
1667332.4938666471,2022-01-04
1863352.1800690962,2022-01-05
1693670.433887188,2022-01-06
1481913.9427985214,2022-01-07
1529282.3620452972,2022-01-08
1481768.5755198565,2022-01-09
1601254.1384639726,2022-01-10
2033364.7953326053,2022-01-11
2135661.2087048516,2022-01-12
2083331.8774093138,2022-01-13
2194740.2103211777,2022-01-14
2090828.0037075495,2022-01-15
2007518.5126993977,2022-01-16
2401497.7449212736,2022-01-17
2785904.3508445,2022-01-18
5105427.495334753,2022-01-19
3691246.79811833,2022-01-20
3178301.4232052234,2022-01-21
2329477.990941065,2022-01-22
2104191.5238493895,2022-01-23
2033061.5154241356,2022-01-24
1778224.2941455473,2022-01-25
1984291.7388564888,2022-01-26
1966103.3163419429,2022-01-27
2002608.2188009308,2022-01-28
1865168.8886175721,2022-01-29
1794456.8887063148,2022-01-30
1710857.250154928,2022-01-31
1699135.6999246029,2022-02-01
1694851.5271745012,2022-02-02
1607381.7947299469,2022-02-03
1592218.9749143869,2022-02-04
1846303.8308076856,2022-02-05
1847753.1406357016,2022-02-06
1889158.013627834,2022-02-07
2330931.795873406,2022-02-08
2155247.2135862336,2022-02-09
2177486.343418686,2022-02-10
2013747.2681624528,2022-02-11
1747654.1503261402,2022-02-12
1810952.4135679842,2022-02-13
1719865.2910117293,2022-02-14
1800712.9260028957,2022-02-15
2387342.2850035247,2022-02-16
2340940.768837948,2022-02-17
1960544.0586541197,2022-02-18
1855698.8053931573,2022-02-19
1740987.5839338813,2022-02-20
