Open Time,Open,High,Low,Close
2022-10-19 02:00:00,1.00000000,100.00000000,1.00000000,7.32070000
2022-10-20 02:00:00,7.32190000,7.74800000,6.90000000,7.36850000
2022-10-21 02:00:00,7.36910000,7.70000000,6.99000000,7.49800000
2022-10-22 02:00:00,7.49800000,9.31520000,7.34110000,8.95530000
2022-10-23 02:00:00,8.95710000,10.33000000,8.88060000,9.78150000
2022-10-24 02:00:00,9.78080000,9.96800000,9.23540000,9.52930000
2022-10-25 02:00:00,9.52980000,9.56800000,8.52020000,8.78630000
2022-10-26 02:00:00,8.78330000,9.28630000,8.60610000,9.19510000
2022-10-27 02:00:00,9.19110000,9.63870000,8.60000000,8.70130000
2022-10-28 02:00:00,8.70150000,8.82640000,7.93370000,8.18450000
2022-10-29 02:00:00,8.18270000,8.36920000,7.59200000,7.95320000
2022-10-30 02:00:00,7.95800000,8.38000000,7.60260000,7.80490000
2022-10-31 01:00:00,7.80150000,8.22110000,7.70000000,7.94390000
2022-11-01 01:00:00,7.93370000,8.31500000,7.81500000,8.19250000
2022-11-02 01:00:00,8.19350000,8.21100000,7.12590000,7.37070000
2022-11-03 01:00:00,7.37450000,7.56350000,7.16590000,7.23280000
2022-11-04 01:00:00,7.23280000,7.79000000,7.16000000,7.65320000
2022-11-05 01:00:00,7.65270000,7.99800000,7.51610000,7.62490000
2022-11-06 01:00:00,7.62150000,8.23210000,7.23000000,7.30950000
2022-11-07 01:00:00,7.30950000,7.45860000,6.80000000,7.00060000
2022-11-08 01:00:00,7.00000000,7.02280000,4.50000000,5.37620000
2022-11-09 01:00:00,5.37370000,5.39000000,3.43560000,3.96260000
2022-11-10 01:00:00,3.96820000,5.50000000,3.85720000,5.15340000
2022-11-11 01:00:00,5.15070000,5.34460000,4.50000000,5.18410000
2022-11-12 01:00:00,5.17750000,5.18390000,4.42760000,4.54730000
2022-11-13 01:00:00,4.54420000,4.61940000,4.12010000,4.21960000
2022-11-14 01:00:00,4.21900000,4.51060000,3.77080000,4.19250000
2022-11-15 01:00:00,4.19170000,4.72000000,4.11100000,4.33460000
2022-11-16 01:00:00,4.33630000,4.96880000,4.15750000,4.50050000
2022-11-17 01:00:00,4.50070000,4.85000000,4.34130000,4.66040000
2022-11-18 01:00:00,4.65970000,4.94000000,4.53480000,4.71770000
2022-11-19 01:00:00,4.72000000,4.77350000,4.50000000,4.62260000
2022-11-20 01:00:00,4.62280000,4.63580000,4.02500000,4.10240000
2022-11-21 01:00:00,4.10110000,4.15070000,3.87000000,4.06370000
2022-11-22 01:00:00,4.06490000,4.52210000,3.85630000,4.31630000
2022-11-23 01:00:00,4.31640000,4.60000000,4.24360000,4.44300000
2022-11-24 01:00:00,4.44350000,4.74790000,4.22550000,4.43820000
2022-11-25 01:00:00,4.43800000,4.55470000,4.25440000,4.42590000
2022-11-26 01:00:00,4.42890000,5.04860000,4.40590000,4.76860000
2022-11-27 01:00:00,4.76660000,5.03000000,4.62160000,4.79440000
2022-11-28 01:00:00,4.79090000,4.79090000,4.31000000,4.47890000
2022-11-29 01:00:00,4.47750000,4.79410000,4.42000000,4.67220000
2022-11-30 01:00:00,4.67070000,4.87690000,4.57230000,4.77180000
2022-12-01 01:00:00,4.77170000,4.79220000,4.58500000,4.65460000
2022-12-02 01:00:00,4.65420000,5.06660000,4.52000000,4.89850000
