Open Time,Open,High,Low,Close
2021-12-03 01:00:00,3.20530000,3.28010000,2.74190000,2.77560000
2021-12-04 01:00:00,2.77500000,2.83470000,0.80000000,2.39450000
2021-12-05 01:00:00,2.42000000,2.58860000,2.06110000,2.18750000
2021-12-06 01:00:00,2.15880000,2.42140000,1.79430000,2.21130000
2021-12-07 01:00:00,2.17450000,3.26280000,2.14150000,2.85780000
2021-12-08 01:00:00,2.85780000,3.13540000,2.51610000,2.65550000
2021-12-09 01:00:00,2.65560000,2.73490000,2.28400000,2.31610000
2021-12-10 01:00:00,2.31750000,2.55360000,2.12640000,2.14330000
2021-12-11 01:00:00,2.14330000,2.51450000,2.10050000,2.29850000
2021-12-12 01:00:00,2.29850000,2.51960000,2.26340000,2.33360000
2021-12-13 01:00:00,2.33750000,2.36350000,1.90000000,1.98730000
2021-12-14 01:00:00,1.97250000,2.05590000,1.81320000,1.98210000
2021-12-15 01:00:00,1.97800000,2.05000000,1.75300000,1.98190000
2021-12-16 01:00:00,1.99060000,2.70000000,1.94550000,2.35240000
2021-12-17 01:00:00,2.35230000,2.73900000,2.10710000,2.17730000
2021-12-18 01:00:00,2.18070000,2.69620000,2.13000000,2.43170000
2021-12-19 01:00:00,2.42500000,2.63000000,2.33920000,2.35700000
2021-12-20 01:00:00,2.35700000,2.40540000,2.21830000,2.35930000
2021-12-21 01:00:00,2.35930000,2.56000000,2.35010000,2.40810000
2021-12-22 01:00:00,2.40900000,2.66620000,2.33900000,2.37860000
2021-12-23 01:00:00,2.37150000,2.59990000,2.28800000,2.57300000
2021-12-24 01:00:00,2.57350000,2.69530000,2.39040000,2.41400000
2021-12-25 01:00:00,2.41770000,2.56710000,2.25290000,2.33310000
2021-12-26 01:00:00,2.33170000,2.44070000,2.27000000,2.37190000
2021-12-27 01:00:00,2.37300000,2.47270000,2.33610000,2.39250000
2021-12-28 01:00:00,2.39250000,2.40250000,2.08000000,2.11140000
2021-12-29 01:00:00,2.11500000,2.19030000,2.03430000,2.07490000
2021-12-30 01:00:00,2.07520000,2.16740000,1.98430000,2.05440000
2021-12-31 01:00:00,2.05430000,2.14800000,1.99910000,2.04050000
2022-01-01 01:00:00,2.04040000,2.13660000,2.02120000,2.08610000
2022-01-02 01:00:00,2.08640000,2.12330000,2.05750000,2.07300000
