Open Time,Open,High,Low,Close
2024-01-18 01:00:00,0.05000000,3.33300000,0.05000000,2.17085000
2024-01-19 01:00:00,2.17030000,2.57800000,2.08888000,2.31273000
2024-01-20 01:00:00,2.31274000,2.48050000,2.15288000,2.26725000
2024-01-21 01:00:00,2.26734000,2.68900000,2.19126000,2.67282000
2024-01-22 01:00:00,2.67271000,2.80000000,2.32000000,2.43525000
2024-01-23 01:00:00,2.43493000,2.64499000,2.20000000,2.62945000
2024-01-24 01:00:00,2.63087000,3.28000000,2.47039000,3.24680000
2024-01-25 01:00:00,3.24676000,3.33000000,2.84971000,2.97699000
2024-01-26 01:00:00,2.97756000,3.51657000,2.83600000,3.48201000
2024-01-27 01:00:00,3.48175000,3.85000000,3.33202000,3.60673000
2024-01-28 01:00:00,3.60499000,3.89000000,3.39092000,3.47891000
2024-01-29 01:00:00,3.47888000,3.81759000,3.44400000,3.70788000
2024-01-30 01:00:00,3.70783000,3.78843000,3.32000000,3.37202000
2024-01-31 01:00:00,3.37160000,3.46179000,3.00000000,3.02826000
2024-02-01 01:00:00,3.02815000,3.19874000,2.87940000,3.03344000
2024-02-02 01:00:00,3.03365000,3.10378000,2.90278000,3.03188000
2024-02-03 01:00:00,3.03188000,3.08000000,2.85601000,2.87820000
2024-02-04 01:00:00,2.87801000,2.87814000,2.60000000,2.61836000
2024-02-05 01:00:00,2.61860000,2.85444000,2.48566000,2.72818000
2024-02-06 01:00:00,2.72819000,2.72819000,2.57542000,2.58886000
2024-02-07 01:00:00,2.58886000,2.81719000,2.53315000,2.74698000
2024-02-08 01:00:00,2.74701000,2.96799000,2.70321000,2.71229000
2024-02-09 01:00:00,2.71232000,2.84500000,2.71000000,2.79049000
2024-02-10 01:00:00,2.79020000,2.98081000,2.78999000,2.83039000
2024-02-11 01:00:00,2.83033000,3.03831000,2.82026000,2.85034000
2024-02-12 01:00:00,2.85137000,2.95205000,2.70000000,2.86983000
2024-02-13 01:00:00,2.86987000,2.92000000,2.63700000,2.76512000
2024-02-14 01:00:00,2.76481000,3.14499000,2.70918000,3.11922000
2024-02-15 01:00:00,3.11902000,3.16721000,2.92271000,2.98924000
2024-02-16 01:00:00,2.98920000,3.08086000,2.86100000,2.96411000
2024-02-17 01:00:00,2.96506000,3.02000000,2.76581000,2.91007000
2024-02-18 01:00:00,2.91012000,3.10000000,2.86823000,2.97952000
2024-02-19 01:00:00,2.98000000,3.27111000,2.96600000,3.13240000
2024-02-20 01:00:00,3.13242000,3.27000000,2.91524000,3.11142000
2024-02-21 01:00:00,3.11132000,3.24412000,2.97600000,3.20179000
2024-02-22 01:00:00,3.20119000,3.48999000,3.06786000,3.24218000
2024-02-23 01:00:00,3.24239000,3.32599000,2.92583000,2.96478000
2024-02-24 01:00:00,2.96553000,3.03000000,2.76300000,2.96488000
2024-02-25 01:00:00,2.96608000,3.06000000,2.91399000,2.94579000
2024-02-26 01:00:00,2.94619000,3.06355000,2.85000000,3.04300000
2024-02-27 01:00:00,3.04300000,3.07200000,2.82600000,2.90400000
2024-02-28 01:00:00,2.90400000,2.98600000,2.17900000,2.68200000
2024-02-29 01:00:00,2.68200000,2.91200000,2.56100000,2.66200000
2024-03-01 01:00:00,2.66300000,2.80600000,2.66000000,2.77900000
2024-03-02 01:00:00,2.78000000,2.91700000,2.73300000,2.91100000
2024-03-03 01:00:00,2.91100000,3.03000000,2.68000000,2.84400000
2024-03-04 01:00:00,2.84500000,2.90000000,2.67000000,2.74200000
2024-03-05 01:00:00,2.74100000,3.16000000,2.37000000,2.80500000
2024-03-06 01:00:00,2.80500000,3.15000000,2.78100000,3.14800000
2024-03-07 01:00:00,3.14800000,3.64600000,3.04000000,3.46100000
2024-03-08 01:00:00,3.46200000,3.66600000,3.25000000,3.53400000
2024-03-09 01:00:00,3.53400000,3.74700000,3.46500000,3.57300000
2024-03-10 01:00:00,3.57400000,3.68900000,3.33300000,3.49700000
2024-03-11 01:00:00,3.49800000,4.00100000,3.30000000,3.85700000
2024-03-12 01:00:00,3.85700000,4.08600000,3.55000000,3.93300000
2024-03-13 01:00:00,3.93200000,4.04400000,3.70700000,3.74200000
2024-03-14 01:00:00,3.74100000,3.86000000,3.35500000,3.60600000
2024-03-15 01:00:00,3.60600000,3.67000000,2.95000000,3.34500000
2024-03-16 01:00:00,3.34600000,3.52600000,3.00000000,3.07100000
2024-03-17 01:00:00,3.07100000,3.24500000,2.91400000,3.19200000
2024-03-18 01:00:00,3.19200000,3.24400000,2.85500000,2.90800000
2024-03-19 01:00:00,2.90800000,2.99700000,2.55500000,2.76300000
2024-03-20 01:00:00,2.76300000,3.08100000,2.63300000,3.04400000
2024-03-21 01:00:00,3.04300000,3.18900000,2.98700000,3.11900000
2024-03-22 01:00:00,3.11800000,3.18000000,2.88000000,3.00000000
2024-03-23 01:00:00,3.00000000,3.09800000,2.93500000,2.96800000
2024-03-24 01:00:00,2.96800000,3.09300000,2.91400000,3.07600000
2024-03-25 01:00:00,3.07700000,3.23700000,3.02900000,3.19500000
2024-03-26 01:00:00,3.19600000,3.40000000,3.07800000,3.17200000
2024-03-27 01:00:00,3.17200000,3.27400000,3.04400000,3.08700000
2024-03-28 01:00:00,3.08700000,3.19400000,3.00000000,3.17200000
2024-03-29 01:00:00,3.17200000,3.20300000,2.96700000,3.02000000
