Open Time,Open,High,Low,Close
2021-10-29 02:00:00,418.60,500.00,418.60,464.30
2021-10-30 02:00:00,465.20,472.40,436.90,440.80
2021-10-31 02:00:00,440.10,449.20,405.50,431.40
2021-11-01 01:00:00,431.50,524.90,421.40,504.60
2021-11-02 01:00:00,505.00,548.90,480.30,529.00
2021-11-03 01:00:00,525.70,539.60,485.70,510.40
2021-11-04 01:00:00,513.10,526.00,482.10,491.10
2021-11-05 01:00:00,491.10,515.50,469.60,487.00
2021-11-06 01:00:00,487.00,497.00,465.60,485.00
2021-11-07 01:00:00,484.00,508.00,480.90,492.80
2021-11-08 01:00:00,491.30,497.90,480.40,486.40
2021-11-09 01:00:00,486.00,502.50,470.00,478.50
2021-11-10 01:00:00,478.40,487.30,400.00,443.40
2021-11-11 01:00:00,442.70,465.60,435.70,458.60
2021-11-12 01:00:00,455.90,459.20,431.70,444.00
2021-11-13 01:00:00,444.40,462.10,438.20,455.50
2021-11-14 01:00:00,455.20,458.00,438.00,446.60
2021-11-15 01:00:00,446.10,484.00,444.00,450.80
2021-11-16 01:00:00,451.00,451.10,395.60,422.40
2021-11-17 01:00:00,422.20,432.20,401.10,418.00
2021-11-18 01:00:00,418.00,422.20,364.90,379.00
2021-11-19 01:00:00,379.60,405.80,371.50,399.00
2021-11-20 01:00:00,399.60,416.80,389.00,411.50
2021-11-21 01:00:00,410.00,428.00,401.00,410.30
2021-11-22 01:00:00,409.80,411.70,382.80,389.10
2021-11-23 01:00:00,389.10,397.50,377.00,384.10
2021-11-24 01:00:00,383.10,383.80,358.20,371.50
2021-11-25 01:00:00,371.10,389.40,368.70,383.00
2021-11-26 01:00:00,384.20,384.90,326.50,346.40
2021-11-27 01:00:00,347.70,369.80,344.10,352.50
2021-11-28 01:00:00,352.50,363.40,320.00,360.00
2021-11-29 01:00:00,363.40,376.80,348.90,364.70
2021-11-30 01:00:00,367.10,387.00,351.50,367.00
2021-12-01 01:00:00,368.90,382.00,355.20,358.70
2021-12-02 01:00:00,358.70,360.00,346.40,350.20
2021-12-03 01:00:00,352.30,358.20,326.10,337.00
2021-12-04 01:00:00,334.90,336.80,228.00,298.10
2021-12-05 01:00:00,299.90,320.30,273.50,282.50
2021-12-06 01:00:00,281.90,296.30,262.20,294.40
2021-12-07 01:00:00,292.90,307.50,282.10,286.50
2021-12-08 01:00:00,288.40,292.80,275.30,288.10
2021-12-09 01:00:00,288.10,298.20,263.90,265.00
2021-12-10 01:00:00,265.00,279.70,255.00,256.70
2021-12-11 01:00:00,256.80,277.40,254.70,271.90
2021-12-12 01:00:00,273.80,283.30,270.00,277.10
2021-12-13 01:00:00,277.10,278.90,244.00,248.80
2021-12-14 01:00:00,248.00,260.80,246.20,255.30
2021-12-15 01:00:00,255.30,264.40,244.00,258.00
2021-12-16 01:00:00,260.60,265.70,248.60,249.30
2021-12-17 01:00:00,249.70,254.30,232.30,242.90
2021-12-18 01:00:00,242.90,251.00,239.00,246.70
2021-12-19 01:00:00,245.30,311.30,244.30,277.00
2021-12-20 01:00:00,276.60,294.40,250.50,270.30
2021-12-21 01:00:00,270.30,280.10,266.30,276.30
2021-12-22 01:00:00,275.00,291.00,274.80,283.80
2021-12-23 01:00:00,285.10,306.90,280.20,294.10
2021-12-24 01:00:00,295.30,316.50,288.10,293.60
2021-12-25 01:00:00,293.60,306.00,290.90,297.90
2021-12-26 01:00:00,297.80,301.50,287.10,298.70
2021-12-27 01:00:00,298.90,308.70,296.10,296.40
2021-12-28 01:00:00,296.30,296.30,266.90,269.30
2021-12-29 01:00:00,268.50,277.20,261.30,263.00
2021-12-30 01:00:00,263.00,270.60,255.00,266.60
2021-12-31 01:00:00,267.70,283.90,258.90,263.00
2022-01-01 01:00:00,265.00,270.60,265.00,268.00
2022-01-02 01:00:00,268.00,271.90,261.20,264.70
2022-01-03 01:00:00,264.70,267.70,255.80,260.90
2022-01-04 01:00:00,260.10,266.20,252.00,255.80
2022-01-05 01:00:00,255.80,264.70,229.90,239.80
2022-01-06 01:00:00,239.70,242.30,229.00,234.30
2022-01-07 01:00:00,235.60,236.80,213.00,214.80
2022-01-08 01:00:00,213.90,220.70,198.60,203.80
2022-01-09 01:00:00,203.70,208.30,195.10,203.10
2022-01-10 01:00:00,203.30,208.00,180.00,188.70
2022-01-11 01:00:00,187.40,203.50,187.40,199.10
2022-01-12 01:00:00,199.40,214.80,199.20,212.70
2022-01-13 01:00:00,212.00,213.90,198.10,198.10
2022-01-14 01:00:00,198.10,206.10,195.10,201.70
2022-01-15 01:00:00,201.70,213.70,199.90,206.10
2022-01-16 01:00:00,206.10,209.00,201.80,204.20
2022-01-17 01:00:00,204.20,205.00,192.00,195.40
2022-01-18 01:00:00,197.40,198.90,185.30,192.00
2022-01-19 01:00:00,192.00,192.90,180.80,186.00
2022-01-20 01:00:00,186.10,194.50,178.00,178.00
2022-01-21 01:00:00,180.30,181.30,146.70,148.70
2022-01-22 01:00:00,150.80,155.30,125.00,136.10
2022-01-23 01:00:00,140.90,150.00,137.40,145.20
2022-01-24 01:00:00,142.40,142.60,125.40,138.60
2022-01-25 01:00:00,138.60,143.00,135.00,141.00
2022-01-26 01:00:00,141.00,150.30,137.60,138.80
2022-01-27 01:00:00,141.20,144.50,135.50,140.70
2022-01-28 01:00:00,141.00,145.00,136.50,144.30
2022-01-29 01:00:00,144.30,147.60,142.10,145.80
2022-01-30 01:00:00,146.20,151.10,143.50,145.20
2022-01-31 01:00:00,145.20,149.20,138.40,147.90
2022-02-01 01:00:00,147.90,165.00,145.50,148.30
2022-02-02 01:00:00,148.30,149.80,139.00,140.10
2022-02-03 01:00:00,140.40,142.00,137.20,142.00
2022-02-04 01:00:00,141.90,173.80,141.40,170.10
2022-02-05 01:00:00,170.00,179.80,163.00,167.00
