Open Time,Open,High,Low,Close
2021-09-24 02:00:00,1.35200000,1.35200000,0.50700000,1.26700000
2021-09-25 02:00:00,1.27500000,1.29900000,1.21000000,1.24800000
2021-09-26 02:00:00,1.25400000,1.29200000,1.16500000,1.24000000
2021-09-27 02:00:00,1.23700000,1.30000000,1.19700000,1.19700000
2021-09-28 02:00:00,1.20500000,1.22100000,1.12600000,1.13700000
2021-09-29 02:00:00,1.13400000,1.19000000,1.10700000,1.14100000
2021-09-30 02:00:00,1.13400000,1.21400000,1.13400000,1.19600000
2021-10-01 02:00:00,1.19600000,1.32100000,1.17100000,1.32100000
2021-10-02 02:00:00,1.32300000,1.37800000,1.30700000,1.32300000
2021-10-03 02:00:00,1.32500000,1.36600000,1.29900000,1.33100000
2021-10-04 02:00:00,1.31200000,1.43600000,1.27500000,1.41600000
2021-10-05 02:00:00,1.41600000,1.42600000,1.34300000,1.41100000
2021-10-06 02:00:00,1.40200000,1.44900000,1.33600000,1.37400000
2021-10-07 02:00:00,1.37800000,1.44400000,1.34900000,1.39700000
2021-10-08 02:00:00,1.40000000,1.48700000,1.38300000,1.43300000
2021-10-09 02:00:00,1.43300000,2.20000000,1.41400000,1.86400000
2021-10-10 02:00:00,1.86800000,2.62500000,1.72600000,2.03100000
2021-10-11 02:00:00,2.03000000,2.24900000,1.86100000,1.91500000
2021-10-12 02:00:00,1.91400000,2.20400000,1.83300000,2.04700000
2021-10-13 02:00:00,2.04400000,2.43500000,2.03200000,2.22400000
2021-10-14 02:00:00,2.22300000,2.32000000,2.10000000,2.21100000
2021-10-15 02:00:00,2.21400000,2.24600000,1.94600000,1.98700000
2021-10-16 02:00:00,1.98600000,2.05300000,1.92200000,1.96100000
2021-10-17 02:00:00,1.96200000,2.24000000,1.94300000,2.19800000
2021-10-18 02:00:00,2.19800000,2.81700000,2.19400000,2.56700000
2021-10-19 02:00:00,2.57000000,2.65600000,2.29400000,2.33900000
2021-10-20 02:00:00,2.32900000,2.43000000,2.20500000,2.40900000
2021-10-21 02:00:00,2.40300000,2.45700000,2.21800000,2.29400000
2021-10-22 02:00:00,2.29500000,2.31800000,2.16200000,2.19100000
2021-10-23 02:00:00,2.19000000,2.24300000,2.12100000,2.22100000
2021-10-24 02:00:00,2.21800000,2.38800000,2.13100000,2.20400000
